"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"1","UpstreamIntergenic","H3-3",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"2","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"3","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"4","UpstreamIntergenic","H2A-Z",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"5","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"6","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"7","UpstreamIntergenic","H3K4me3",0,-60,"Intermediate Expression","control6_Seedling"
"8","UpstreamIntergenic","H3K36me3",0,-60,"Intermediate Expression","control6_Seedling"
"9","UpstreamIntergenic","H3K27ac",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"10","UpstreamIntergenic","H4K5ac",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"11","UpstreamIntergenic","H4K8ac",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"12","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"13","UpstreamIntergenic","H3K9ac",33.3333333333333,-60,"Intermediate Expression","control6_Seedling"
"14","UpstreamIntergenic","H4K12ac",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"15","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"16","UpstreamIntergenic","H4K16ac",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"17","UpstreamIntergenic","H3K14ac",11.1111111111111,-60,"Intermediate Expression","control6_Seedling"
"18","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"19","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"20","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"21","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"22","Promotor1000","H3-3",22.2222222222222,-40,"Intermediate Expression","control6_Seedling"
"23","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"24","Promotor1000","H3K27me3",22.2222222222222,-40,"Intermediate Expression","control6_Seedling"
"25","Promotor1000","H2A-Z",55.5555555555556,-40,"Intermediate Expression","control6_Seedling"
"26","Promotor1000","H2AK121ub",33.3333333333333,-40,"Intermediate Expression","control6_Seedling"
"27","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"28","Promotor1000","H3K4me3",11.1111111111111,-40,"Intermediate Expression","control6_Seedling"
"29","Promotor1000","H3K36me3",11.1111111111111,-40,"Intermediate Expression","control6_Seedling"
"30","Promotor1000","H3K27ac",22.2222222222222,-40,"Intermediate Expression","control6_Seedling"
