"","Region","Modification","Proportion","axisGroup","Expression","SampleGenes"
"1","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"2","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"3","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"4","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"5","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"6","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"7","UpstreamIntergenic","H3-3",0.340217799474277,-60,"Intermediate Expression","control6_Seedling"
"8","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"9","UpstreamIntergenic","H3-3",0,-60,"Intermediate Expression","control6_Seedling"
"10","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"11","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"12","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"13","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"14","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"15","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"16","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"17","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"18","UpstreamIntergenic","H3K9me2",0,-60,"Intermediate Expression","control6_Seedling"
"19","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"20","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"21","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"22","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"23","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"24","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"25","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"26","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"27","UpstreamIntergenic","H3K27me3",0,-60,"Intermediate Expression","control6_Seedling"
"28","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"29","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"30","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"31","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"32","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"33","UpstreamIntergenic","H2A-Z",0.241748438893845,-60,"Intermediate Expression","control6_Seedling"
"34","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"35","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"36","UpstreamIntergenic","H2A-Z",0,-60,"Intermediate Expression","control6_Seedling"
"37","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"38","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"39","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"40","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"41","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"42","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"43","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"44","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"45","UpstreamIntergenic","H2AK121ub",0,-60,"Intermediate Expression","control6_Seedling"
"46","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"47","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"48","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"49","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"50","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"51","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"52","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"53","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"54","UpstreamIntergenic","H3ac",0,-60,"Intermediate Expression","control6_Seedling"
"55","UpstreamIntergenic","H3K4me3",0,-60,"Intermediate Expression","control6_Seedling"
"56","UpstreamIntergenic","H3K4me3",0,-60,"Intermediate Expression","control6_Seedling"
