geneId	readCount	Coverage	FPKM	TPM
AT1G18990	4	0.187107	0.158791	0.179455
AT5G46800	145	10.105139	9.806511	11.082652
AT1G23360	43	3.465278	3.621286	4.092531
AT1G05383	0	0.000000	0.000000	0.000000
AT5G03275	0	0.0	0.0	0.0
AT1G35830	0	0.0	0.0	0.0
AT1G67960	59	2.803153	2.520261	2.848228
ATCG00480	24705	1963.809082	1666.617676	1883.497925
AT5G02280	21	3.157833	2.691106	3.041305
AT2G29480	14	1.666667	1.414443	1.598508
AT3G42390	0	0.0	0.0	0.0
AT2G41070	3	0.200120	0.186338	0.210587
AT3G28610	0	0.0	0.0	0.0
AT1G64450	3	0.270913	0.229915	0.259834
AT4G02280	129	4.763880	4.230491	4.781013
AT4G35010	0	0.0	0.0	0.0
AT1G31670	0	0.0	0.0	0.0
AT4G03160	0	0.0	0.0	0.0
AT5G32440	187	17.052227	15.030585	16.986546
AT1G17760	104	4.461872	3.896233	4.403257
AT4G24030	0	0.000000	0.000000	0.000000
AT1G47317	0	0.0	0.0	0.0
AT3G13830	0	0.0	0.0	0.0
AT1G68790	159	4.837706	4.105596	4.639865
AT2G16190	0	0.0	0.0	0.0
AT4G12735	179	40.842003	34.661213	39.171745
AT1G29990	68	8.456177	7.977466	9.015590
AT1G52500	27	1.564921	1.521587	1.719594
AT5G42290	0	0.000000	0.000000	0.000000
AT4G32440	261	5.894681	9.951800	11.246848
AT3G02380	646	34.039524	28.888182	32.647457
AT2G40805	0	0.0	0.0	0.0
AT5G03160	35	2.335775	1.982292	2.240252
AT5G48000	0	0.0	0.0	0.0
AT3G19610	0	0.000000	0.000000	0.000000
AT3G20620	61	3.602919	3.063842	3.462546
AT3G03375	0	0.0	0.0	0.0
AT5G24030	181	4.723220	5.634898	6.368179
AT2G18480	0	0.0	0.0	0.0
AT2G21045	0	0.0	0.0	0.0
AT1G22830	55	2.031827	1.838968	2.078277
AT3G54990	8	0.564923	0.610778	0.690260
AT1G17235	4	0.432222	0.366812	0.414546
AT5G45475	4	0.448010	0.380211	0.429688
AT2G26240	78	10.569579	8.970041	10.137330
AT5G67000	1	0.196694	0.166927	0.188650
AT3G24490	44	2.857936	2.425433	2.741059
AT5G40270	48	2.799605	2.492819	2.817214
AT3G61530	50	3.074153	2.979310	3.367014
AT1G47790	0	0.0	0.0	0.0
AT2G17220	526	32.964661	28.339573	32.027458
AT2G46160	13	0.842134	0.850866	0.961590
AT5G54855	41	6.788005	5.760748	6.510406
