geneId	readCount	Coverage	FPKM	TPM
AT5G48790	284	16.071072	143.115692	177.161163
AT1G03502	0	0.0	0.0	0.0
AT1G62290	0	0.000000	0.000000	0.000000
AT5G51630	0	0.000000	0.000000	0.000000
AT3G63140	163	8.162786	70.367836	87.107491
AT3G06070	76	5.323348	44.107578	54.600231
AT3G11180	0	0.0	0.0	0.0
AT2G37390	6	0.286709	2.375580	2.940701
AT1G68000	52	3.655477	30.288126	37.493301
AT5G63530	57	2.562500	22.485479	27.834501
AT5G47960	0	0.000000	0.000000	0.000000
AT5G08780	6	0.163205	1.979326	2.450183
AT2G08695	0	0.000000	0.000000	0.000000
AT1G52315	0	0.000000	0.000000	0.000000
AT2G42920	4	0.063255	0.524111	0.648790
AT1G66800	0	0.0	0.0	0.0
AT5G55870	0	0.0	0.0	0.0
AT1G13250	40	1.811853	15.012441	18.583717
AT1G04670	0	0.0	0.0	0.0
AT4G35350	23	1.195753	11.142389	13.793026
AT4G08780	3	0.166184	1.376948	1.704507
AT5G44450	22	1.113451	9.254197	11.455657
AT3G55780	0	0.0	0.0	0.0
AT1G02420	1	0.004921	0.040774	0.050473
AT2G21720	0	0.0	0.0	0.0
AT3G08870	13	0.393561	3.613643	4.473285
AT3G01160	49	1.626434	13.476117	16.681921
AT1G02150	0	0.000000	0.000000	0.000000
AT4G17990	0	0.0	0.0	0.0
AT5G01375	1	0.003951	0.032737	0.040524
AT5G44120	0	0.0	0.0	0.0
AT4G11830	39	0.657739	5.541333	6.859548
ATMG01100	1	0.110063	0.911947	1.128888
AT2G20900	27	0.611129	6.426542	7.955338
AT4G29760	0	0.0	0.0	0.0
AT3G22250	0	0.000000	0.000000	0.000000
AT5G17990	300	10.972528	94.326897	116.766113
AT2G37600	71	6.559814	59.087799	73.144066
AT5G11830	0	0.0	0.0	0.0
AT1G09047	0	0.0	0.0	0.0
AT1G07827	0	0.0	0.0	0.0
AT1G07503	0	0.0	0.0	0.0
AT4G18760	19	0.845679	7.007028	8.673915
AT4G22350	8	0.199071	1.948047	2.411464
AT2G08305	0	0.0	0.0	0.0
AT1G11010	0	0.000000	0.000000	0.000000
AT2G04565	0	0.0	0.0	0.0
AT4G15670	14	1.346105	11.153399	13.806658
AT5G22350	173	6.264066	51.902069	64.248940
AT5G18760	37	1.579558	13.131606	16.255455
AT1G60270	12	0.466462	4.358120	5.394864
AT3G01275	0	0.0	0.0	0.0
AT3G05937	2	0.141395	1.171554	1.450253
AT5G15670	0	0.0	0.0	0.0
AT4G30972	0	0.000000	0.000000	0.000000
AT1G77320	0	0.000000	0.000000	0.000000
AT2G15950	0	0.0	0.0	0.0
AT3G19595	0	0.000000	0.000000	0.000000
AT1G15380	0	0.0	0.0	0.0
AT5G14360	0	0.000000	0.000000	0.000000
AT4G33280	0	0.0	0.0	0.0
AT1G08993	0	0.0	0.0	0.0
AT5G18500	87	2.428017	24.670616	30.539452
AT3G59180	0	0.0	0.0	0.0
AT5G13810	58	2.598870	21.533415	26.655951
AT4G19630	0	0.0	0.0	0.0
AT2G42388	0	0.0	0.0	0.0
AT4G14360	66	1.839242	15.239377	18.864639
AT5G33280	113	3.349313	27.751348	34.353054
AT2G04705	0	0.0	0.0	0.0
AT4G18500	0	0.000000	0.000000	0.000000
AT5G41761	19	1.464981	12.138369	15.025938
AT3G24010	21	1.010334	8.688202	10.755019
AT4G13810	28	0.723352	6.245409	7.731115
AT5G19630	13	0.996942	8.260345	10.225381
AT4G22490	89	9.021684	74.750816	92.533127
AT4G28630	15	0.469710	3.891868	4.817696
AT3G16990	16	0.720764	6.295031	7.792542
AT1G07763	0	0.0	0.0	0.0
AT2G37120	27	3.188759	26.421047	32.706291
AT5G52990	5	0.257669	2.134964	2.642846
AT5G53750	4	0.169143	1.401465	1.734857
AT2G11570	0	0.0	0.0	0.0
AT4G16855	0	0.000000	0.000000	0.000000
AT2G09290	0	0.0	0.0	0.0
AT4G03440	0	0.000000	0.000000	0.000000
AT5G44600	10	0.516484	4.450597	5.509339
AT5G22490	0	0.0	0.0	0.0
AT5G28630	9	0.868047	7.192362	8.903337
AT1G13030	14	0.481381	3.988570	4.937403
AT3G55252	0	0.000000	0.000000	0.000000
AT1G76220	1	0.071770	0.594664	0.736127
AT2G25800	35	0.803179	6.654887	8.238004
AT3G60680	9	0.316255	2.620389	3.243747
AT3G14260	0	0.0	0.0	0.0
AT5G03440	15	0.948566	9.716231	12.027604
AT1G26610	0	0.000000	0.000000	0.000000
AT4G32160	16	0.346287	3.124664	3.867983
AT2G23348	4	0.208574	2.498871	3.093322
AT2G34960	4	0.141447	1.171985	1.450786
AT1G55525	0	0.0	0.0	0.0
AT1G26750	40	3.060758	25.435286	31.486027
AT1G77190	0	0.0	0.0	0.0
AT3G44290	0	0.0	0.0	0.0
AT5G20470	0	0.0	0.0	0.0
AT1G73570	0	0.000000	0.000000	0.000000
AT5G59830	14	0.583646	5.239609	6.486048
AT1G05360	19	0.638912	5.487301	6.792664
AT2G37450	60	2.058671	17.281153	21.392126
AT5G04380	0	0.0	0.0	0.0
AT2G46440	29	0.873316	7.236020	8.957380
AT3G46960	16	0.271796	2.338344	2.894608
AT3G22030	0	0.0	0.0	0.0
AT2G36290	18	0.613309	5.583830	6.912155
AT3G14735	1	0.245875	2.037242	2.521878
AT5G50970	33	1.306847	10.828120	13.403998
AT2G05914	1	0.053521	0.443458	0.548951
AT5G53610	0	0.0	0.0	0.0
AT4G20470	0	0.000000	0.000000	0.000000
AT5G25160	1	0.061889	0.512793	0.634780
AT1G04477	3	0.611827	5.069405	6.275354
AT1G24180	37	1.766124	14.633545	18.114685
AT4G07070	2	0.316672	2.623844	3.248024
AT3G04280	0	0.0	0.0	0.0
AT4G35490	75	5.387331	56.695026	70.182083
AT5G44390	9	0.339547	2.813379	3.482647
AT4G25160	0	0.0	0.0	0.0
AT5G45240	0	0.000000	0.000000	0.000000
AT2G32800	25	0.712743	5.905563	7.310424
AT5G61460	32	0.531759	4.826518	5.974688
AT1G58260	0	0.0	0.0	0.0
AT5G61510	0	0.000000	0.000000	0.000000
AT5G07070	11	0.382576	3.169904	3.923985
AT5G35490	38	5.683301	47.090031	58.292175
AT4G38230	0	0.000000	0.000000	0.000000
AT1G16880	287	12.625077	141.365540	174.994675
AT2G01970	64	1.942159	20.375515	25.222601
AT5G01650	105	7.034512	90.382713	111.883659
AT3G06590	20	0.534683	8.188601	10.136568
AT1G54110	0	0.000000	0.000000	0.000000
AT3G10450	13	0.410454	4.462039	5.523504
AT4G01650	0	0.000000	0.000000	0.000000
AT1G05227	0	0.000000	0.000000	0.000000
AT1G22403	13	0.855390	7.087491	8.773519
AT3G07635	0	0.000000	0.000000	0.000000
AT1G29080	0	0.0	0.0	0.0
AT1G52770	8	0.343750	2.848204	3.525757
AT5G42640	0	0.0	0.0	0.0
AT5G08900	0	0.000000	0.000000	0.000000
AT3G25400	8	0.638978	5.294369	6.553835
AT4G23680	0	0.000000	0.000000	0.000000
AT3G46580	6	0.421992	3.784610	4.684923
AT2G41178	83	4.857458	48.690353	60.273197
AT2G06541	0	0.0	0.0	0.0
AT5G23680	43	2.291176	18.983961	23.500011
AT4G08900	26	1.371274	11.361942	14.064810
AT2G22955	0	0.0	0.0	0.0
AT1G18080	343	18.922705	156.787537	194.085373
AT3G55900	0	0.000000	0.000000	0.000000
AT1G04683	0	0.0	0.0	0.0
AT2G34580	0	0.000000	0.000000	0.000000
AT2G26300	112	3.746438	31.041801	38.426266
AT3G61100	8	0.661166	6.216848	7.695760
AT3G63470	0	0.000000	0.000000	0.000000
AT1G52130	0	0.0	0.0	0.0
AT3G18110	59	0.942557	7.809729	9.667568
AT3G46840	0	0.0	0.0	0.0
AT2G20780	15	0.544063	4.643554	5.748199
AT1G56680	0	0.0	0.0	0.0
AT1G06860	1	0.457746	3.792738	4.694984
AT3G57370	0	0.000000	0.000000	0.000000
AT5G24155	0	0.000000	0.000000	0.000000
AT2G34840	5	0.294981	2.453590	3.037269
AT1G16540	14	0.199136	1.689211	2.091053
AT1G43100	0	0.0	0.0	0.0
AT1G08060	16	0.192580	1.605103	1.986937
AT3G10120	0	0.000000	0.000000	0.000000
AT1G50790	1	0.026634	0.220681	0.273178
AT3G29110	0	0.0	0.0	0.0
AT5G57270	32	1.148524	9.928470	12.290331
AT1G06113	0	0.0	0.0	0.0
AT1G09210	268	9.710587	80.458847	99.599030
AT4G01710	8	0.529359	4.682174	5.796005
AT5G42325	0	0.0	0.0	0.0
AT2G27535	0	0.0	0.0	0.0
AT3G32400	0	0.0	0.0	0.0
AT3G54080	33	1.470459	12.183758	15.082125
AT3G13403	0	0.000000	0.000000	0.000000
AT3G48040	12	0.729575	6.045027	7.483066
AT2G26690	82	2.703015	24.736086	30.620501
AT5G01710	126	4.717381	39.086727	48.384979
AT1G27520	23	0.709184	6.484293	8.026827
AT4G12270	0	0.0	0.0	0.0
AT5G01400	58	0.907591	7.655417	9.476546
AT4G27875	0	0.0	0.0	0.0
AT3G27785	0	0.0	0.0	0.0
AT5G38050	8	0.352220	4.464939	5.527094
AT5G20140	62	3.266042	29.920408	37.038105
AT3G10600	0	0.0	0.0	0.0
AT5G12270	0	0.000000	0.000000	0.000000
AT4G01400	1	0.048450	0.401441	0.496939
AT3G56270	7	0.289416	2.398009	2.968467
AT2G46170	80	3.004746	36.402962	45.062778
AT2G04985	0	0.0	0.0	0.0
AT1G43620	41	1.066800	9.444975	11.691819
AT5G39635	0	0.0	0.0	0.0
AT4G38050	9	0.256412	2.124549	2.629953
AT4G20140	0	0.000000	0.000000	0.000000
AT5G40260	0	0.0	0.0	0.0
AT5G03730	80	1.765097	15.682090	19.412666
AT1G04147	0	0.000000	0.000000	0.000000
AT2G33020	3	0.075225	0.623291	0.771564
AT3G25650	0	0.0	0.0	0.0
AT2G08470	0	0.000000	0.000000	0.000000
AT1G65300	0	0.0	0.0	0.0
AT3G20530	4	0.168539	1.457037	1.803649
AT3G45851	0	0.000000	0.000000	0.000000
AT5G56370	4	0.167595	1.412228	1.748180
AT3G12370	20	1.542605	12.781537	15.822108
AT4G36850	9	0.391782	3.464733	4.288951
AT1G17130	50	2.617239	22.473373	27.819517
AT1G70209	0	0.000000	0.000000	0.000000
AT2G44995	6	0.266606	2.538485	3.142359
AT5G47840	115	6.059406	53.190609	65.844002
AT2G07771	0	0.0	0.0	0.0
AT1G48970	55	1.669077	14.796913	18.316917
AT5G49020	26	0.915430	7.994956	9.896857
AT3G02835	0	0.0	0.0	0.0
AT3G50800	3	0.245119	2.030978	2.514123
AT1G67970	47	2.148924	17.805305	22.040968
AT5G03265	0	0.000000	0.000000	0.000000
AT5G09850	66	1.786119	16.716648	20.693335
AT5G23212	0	0.0	0.0	0.0
ATMG00680	1	0.046070	0.381721	0.472528
AT1G73090	12	0.498067	4.126825	5.108547
AT3G61620	15	0.837279	7.604600	9.413642
AT2G05005	0	0.0	0.0	0.0
AT3G10390	14	0.317858	2.678587	3.315791
AT3G09995	0	0.000000	0.000000	0.000000
AT3G17712	4	0.050551	0.439622	0.544202
AT5G47580	6	0.173047	1.433813	1.774899
AT3G25710	0	0.000000	0.000000	0.000000
AT4G09850	0	0.0	0.0	0.0
AT2G41060	24	0.438802	5.438391	6.732118
AT3G51075	17	0.298625	2.867070	3.549111
AT1G65690	24	1.504396	12.464949	15.430208
AT3G53520	55	2.167247	18.868132	23.356632
AT1G17770	0	0.0	0.0	0.0
AT5G06635	0	0.000000	0.000000	0.000000
AT5G10290	34	1.029244	9.628736	11.919293
AT1G31660	35	0.784846	13.634299	16.877733
AT4G03170	0	0.0	0.0	0.0
AT2G27200	32	1.139920	9.445016	11.691871
AT3G04815	0	0.0	0.0	0.0
AT5G66040	212	11.909670	173.266602	214.484604
AT5G07590	26	0.963101	8.585467	10.627846
AT3G03365	0	0.0	0.0	0.0
AT5G02185	0	0.0	0.0	0.0
AT5G03170	6	0.503639	4.172993	5.165697
AT3G43432	0	0.0	0.0	0.0
AT4G10290	0	0.0	0.0	0.0
AT1G54445	0	0.0	0.0	0.0
AT1G10800	0	0.0	0.0	0.0
AT5G01310	4	0.123366	1.022172	1.265334
AT4G35987	10	0.415146	3.750780	4.643044
AT2G08985	0	0.0	0.0	0.0
AT1G50390	0	0.0	0.0	0.0
AT4G01310	779	55.084957	456.416534	564.992432
AT4G34050	187	9.105199	79.579979	98.511086
AT4G26385	0	0.000000	0.000000	0.000000
AT1G65560	10	0.388802	3.263797	4.040215
AT1G65410	21	0.963341	9.018577	11.163986
AT1G08147	0	0.0	0.0	0.0
AT5G64580	48	1.263019	10.464975	12.954466
