Gene,Emoy2_0dpi,Emoy2_1dpi,Emoy2_3dpi,Emoy2_5dpi,Waco9_1dpi,Waco9_3dpi,Waco9_5dpi
AT1G10920,0,1.856460773,1.846439952,1.688584632,0.992035944,2.3445728,2.506126545
AT1G12210,0,0.819714091,0.964404667,1.424406474,0.734096944,1.5777319,2.449077545
AT1G12220,8.311719,2.247632,3.098075095,3.296858789,1.901488778,3.2282543,3.611545364
AT1G12280,7.452621,5.598913227,6.733044048,8.561282684,4.435248389,7.3404491,7.190754545
AT1G12290,8.1414915,0.365860955,1.329970619,1.165091421,0.232590556,1.5445602,3.007069455
AT1G15890,0,0.563347591,1.795705381,1.695109316,0.614582944,1.9871985,2.440502455
AT1G17600,0,0.507264,0.60803819,1.085818474,0.432961556,0.8891367,2.204271364
AT1G17610,0,1.654889591,4.077854524,3.110403316,1.662231333,5.054582,5.759262909
AT1G17615,0,0,0,0,0,0,1.189054727
AT1G27170,0,0.155835182,0.161069381,0.222259684,0.213065111,0.1859826,0.123391909
AT1G27180,0,0.875059091,0.760480143,0.570218632,0.9475965,1.1782287,0.757816636
AT1G31540,0,5.864455682,7.130191762,6.400873579,3.992052889,9.2779456,13.02083409
AT1G50180,0,0,0,0,0,0,0
AT1G51480,0,0.076712182,0.019906905,0.100904474,0.021197556,0.0569814,0.068110545
AT1G52660,0,0,0,0,0,0,0
AT1G53350,0,2.823855455,3.799808286,3.039793105,3.831295889,4.3645976,3.862610182
AT1G56510,0,4.033524727,6.672820905,6.533717632,4.164486611,8.403201,11.07920682
AT1G56520,0,2.015099318,2.609970429,3.142387895,2.177643944,3.8373611,3.407470909
AT1G56540,0,0.294614773,0.464840857,0.568506316,0.1568905,0.5736966,0.957107273
AT1G57650,0,0.0228105,0.074742095,0.101752211,0,0.131693,1.318020273
AT1G58390,0,0.073410636,0.103957238,0,0,0.2894493,0
AT1G58400,0,0.023022773,0,0,0,0.0373284,0
AT1G58410,0,0.029208818,0,0.015078737,0,0.0663088,0
AT1G58602,0,24.61692023,29.16925952,30.64723705,17.70238061,34.0933197,41.38790845
AT1G58807,0,7.766796045,8.443925333,8.318188684,7.948494389,10.0909132,10.35533727
AT1G58848,0,15.58172195,13.85901667,14.06462421,16.21445322,19.7244039,21.00658409
AT1G59124,0,3.266530864,3.032547762,3.196897053,1.824136833,4.4744204,5.190628727
AT1G59218,0,9.613725682,11.08289638,11.13792984,11.920545,12.1330347,11.69874582
AT1G59620,0,2.230765091,2.48116519,2.013850053,1.804255389,4.0118084,3.825101727
AT1G59780,0,0,0,0,0,0,0
