geneId	readCount	Coverage	FPKM	TPM
ATCG00850	1	0.439189	3.514300	4.381392
AT2G16050	8	0.514261	4.115011	5.130317
AT4G37930	2082	83.728004	669.974304	835.278687
AT1G57580	0	0.0	0.0	0.0
AT2G16505	0	0.0	0.0	0.0
AT5G25550	0	0.0	0.0	0.0
AT4G31890	9	0.210711	1.748120	2.179438
AT5G20630	519	41.139881	329.192841	410.415405
AT3G24020	1	0.003605	0.028846	0.035964
AT4G13820	4	0.104160	0.833467	1.039110
AT5G37930	21	1.253262	10.028345	12.502663
AT1G64880	53	1.973497	15.791517	19.687798
AT5G65860	13	0.693253	5.593110	6.973112
AT1G03997	0	0.000000	0.000000	0.000000
AT4G25550	59	4.051082	32.415928	40.413986
AT2G29850	0	0.0	0.0	0.0
AT5G13820	0	0.000000	0.000000	0.000000
AT3G07300	40	1.381416	11.309007	14.099307
AT1G79860	0	0.0	0.0	0.0
AT4G20630	0	0.0	0.0	0.0
AT5G07200	0	0.0	0.0	0.0
AT4G10500	19	1.097938	8.785473	10.953135
AT1G76210	0	0.0	0.0	0.0
AT2G27590	17	0.912125	7.298636	9.099447
AT1G26620	24	0.560061	4.481493	5.587223
AT2G23170	38	1.429651	11.439774	14.262337
AT4G07200	0	0.000000	0.000000	0.000000
AT1G17640	0	0.000000	0.000000	0.000000
AT2G37110	218	12.596001	118.004585	147.120148
AT5G10500	0	0.0	0.0	0.0
AT2G18850	14	0.495958	3.968554	4.947725
AT1G09367	0	0.000000	0.000000	0.000000
AT1G34805	0	0.0	0.0	0.0
AT2G07213	0	0.0	0.0	0.0
AT2G07875	1	0.000764	0.006113	0.007622
AT1G50260	0	0.000000	0.000000	0.000000
AT3G06535	0	0.0	0.0	0.0
AT5G53620	46	1.432613	11.572611	14.427950
AT4G19470	0	0.0	0.0	0.0
AT2G21400	0	0.0	0.0	0.0
AT1G71015	0	0.000000	0.000000	0.000000
AT5G19470	0	0.0	0.0	0.0
AT3G07690	8	0.301704	2.686786	3.349704
AT1G02700	0	0.0	0.0	0.0
AT4G28470	41	0.994465	7.957504	9.920879
AT2G07641	1	0.044944	0.359633	0.448366
AT5G62080	0	0.0	0.0	0.0
AT5G58970	14	0.578629	6.322930	7.883002
AT5G61520	48	1.647545	14.424538	17.983540
AT5G06145	0	0.000000	0.000000	0.000000
AT1G64540	0	0.0	0.0	0.0
AT5G28470	0	0.0	0.0	0.0
AT3G05970	131	4.221550	33.779976	42.114590
AT4G06145	0	0.0	0.0	0.0
AT3G47680	0	0.000000	0.000000	0.000000
AT2G43300	0	0.0	0.0	0.0
AT1G53541	0	0.000000	0.000000	0.000000
AT1G16225	0	0.0	0.0	0.0
AT5G46680	31	1.379661	11.039762	13.763632
AT2G04155	0	0.000000	0.000000	0.000000
AT4G39300	23	1.671361	13.500659	16.831711
AT4G00780	206	11.208333	89.686775	111.815414
AT3G09930	0	0.0	0.0	0.0
AT4G32208	32	3.533099	28.271132	35.246536
AT1G12840	234	6.667479	53.351795	66.515411
AT3G23580	45	2.115385	16.926876	21.103285
AT2G16230	0	0.0	0.0	0.0
AT5G42130	44	2.098617	16.792702	20.936007
AT5G39300	0	0.0	0.0	0.0
AT5G00780	0	0.000000	0.000000	0.000000
AT1G60000	108	6.260264	77.590637	96.734764
AT3G01005	0	0.000000	0.000000	0.000000
AT1G02560	386	20.869507	166.993500	208.196213
AT3G01550	59	2.959975	23.685110	29.528997
AT1G02410	43	1.883160	18.840984	23.489668
AT1G45229	7	0.447205	4.651563	5.799254
AT3G45060	0	0.000000	0.000000	0.000000
AT5G06690	89	5.441568	53.684242	66.929893
AT5G50423	0	0.0	0.0	0.0
AT2G21710	8	0.265534	2.124748	2.648993
AT5G10235	0	0.0	0.0	0.0
AT4G07535	0	0.0	0.0	0.0
AT4G15430	0	0.000000	0.000000	0.000000
AT2G01021	1	0.367647	2.941836	3.667682
AT2G06785	0	0.0	0.0	0.0
AT2G13660	0	0.000000	0.000000	0.000000
AT1G05040	0	0.000000	0.000000	0.000000
AT1G52325	0	0.000000	0.000000	0.000000
AT2G42910	53	2.906555	23.257654	28.996073
AT5G53100	0	0.0	0.0	0.0
AT1G47270	29	1.261227	10.560535	13.166163
AT5G40790	0	0.0	0.0	0.0
AT5G07535	0	0.0	0.0	0.0
AT5G15430	0	0.0	0.0	0.0
AT4G21970	0	0.000000	0.000000	0.000000
AT5G42770	7	0.298981	4.093942	5.104050
AT2G43690	3	0.090395	0.784080	0.977538
AT1G52640	1	0.042431	0.339524	0.423296
AT1G68270	0	0.0	0.0	0.0
AT5G51470	0	0.0	0.0	0.0
AT4G39690	32	0.981769	7.855914	9.794223
AT5G10760	272	11.018801	88.170181	109.924622
AT1G05893	0	0.0	0.0	0.0
AT2G21650	27	2.925722	23.411024	29.187286
AT5G21970	10	0.392725	3.142504	3.917863
AT5G44110	19	1.075758	9.521688	11.870996
AT3G06200	17	0.923236	7.387545	9.210292
AT3G15090	37	1.800992	14.411167	17.966869
AT1G26100	13	1.104439	8.837494	11.017990
AT3G42880	0	0.000000	0.000000	0.000000
AT5G39690	0	0.0	0.0	0.0
AT2G19900	0	0.0	0.0	0.0
AT4G10760	67	2.343371	18.751173	23.377695
AT2G03680	258	17.861502	245.012680	305.465240
AT5G60960	12	0.481995	3.856825	4.808429
AT5G02955	0	0.0	0.0	0.0
AT5G03795	0	0.000000	0.000000	0.000000
AT5G14040	338	15.890458	127.152168	158.524750
AT5G06300	0	0.000000	0.000000	0.000000
AT3G49155	0	0.000000	0.000000	0.000000
AT1G77310	0	0.000000	0.000000	0.000000
AT2G11035	0	0.000000	0.000000	0.000000
AT1G04430	81	2.096267	18.792181	23.428823
AT2G44930	0	0.000000	0.000000	0.000000
AT2G31902	10	0.119287	6.326026	7.886863
AT2G28900	255	16.721401	168.474228	210.042282
AT1G12580	28	0.827652	6.922288	8.630241
AT4G14040	120	4.622587	36.988991	46.115376
AT3G23840	14	0.631399	5.402668	6.735681
AT1G33090	0	0.0	0.0	0.0
AT3G02890	9	0.152461	1.347054	1.679416
AT2G07656	0	0.0	0.0	0.0
AT4G22745	31	2.188172	19.658327	24.508677
AT4G06300	0	0.0	0.0	0.0
AT3G16552	0	0.0	0.0	0.0
AT2G04425	0	0.0	0.0	0.0
AT1G11020	24	1.267808	10.144738	12.647775
AT1G08340	0	0.000000	0.000000	0.000000
AT2G24380	0	0.000000	0.000000	0.000000
AT2G36500	0	0.000000	0.000000	0.000000
AT1G43610	0	0.0	0.0	0.0
AT1G69350	0	0.0	0.0	0.0
AT1G06603	0	0.0	0.0	0.0
AT3G11950	10	0.302307	2.422919	3.020732
AT1G12960	0	0.0	0.0	0.0
AT4G19140	54	3.611903	28.901705	36.032692
AT1G45191	44	1.639020	13.341439	16.633205
AT1G49830	0	0.000000	0.000000	0.000000
AT3G28530	0	0.0	0.0	0.0
AT5G48175	0	0.000000	0.000000	0.000000
AT5G19140	2144	109.751320	1127.630249	1405.853271
AT3G48360	20	0.515471	7.234878	9.019958
AT5G60580	22	0.680996	5.502250	6.859833
AT5G22608	5	0.225152	3.328850	4.150186
ATCG01090	720	110.853569	887.027466	1105.885864
AT4G28140	0	0.0	0.0	0.0
AT1G62760	3	0.174391	1.395441	1.739741
AT3G61750	0	0.000000	0.000000	0.000000
AT4G30050	0	0.0	0.0	0.0
AT2G27070	0	0.0	0.0	0.0
AT1G55240	0	0.0	0.0	0.0
AT1G54390	296	10.105573	99.301407	123.802292
AT5G49010	7	0.282443	2.260051	2.817679
AT3G18600	19	0.649956	5.686291	7.089283
AT5G06475	0	0.0	0.0	0.0
AT2G33010	0	0.0	0.0	0.0
AT2G05160	48	1.353300	11.144619	13.894359
AT2G41105	0	0.000000	0.000000	0.000000
AT3G19530	0	0.000000	0.000000	0.000000
AT1G14800	0	0.000000	0.000000	0.000000
AT2G42480	0	0.0	0.0	0.0
AT3G29390	57	1.235693	10.524303	13.120992
AT4G18290	8	0.204632	1.637423	2.041429
AT5G12000	0	0.0	0.0	0.0
AT3G25720	0	0.0	0.0	0.0
AT3G56000	0	0.000000	0.000000	0.000000
AT5G27889	0	0.0	0.0	0.0
AT2G06166	0	0.0	0.0	0.0
AT1G06393	0	0.0	0.0	0.0
AT5G18290	0	0.000000	0.000000	0.000000
AT3G26742	0	0.0	0.0	0.0
AT5G67260	38	1.763377	15.960538	19.898521
AT4G12000	0	0.000000	0.000000	0.000000
AT4G12555	0	0.0	0.0	0.0
AT1G02980	0	0.000000	0.000000	0.000000
AT3G61610	8	0.360775	2.886847	3.599126
AT2G02490	0	0.0	0.0	0.0
AT2G08630	0	0.0	0.0	0.0
AT2G15180	0	0.0	0.0	0.0
AT1G47786	0	0.0	0.0	0.0
AT3G04825	0	0.000000	0.000000	0.000000
AT5G63595	0	0.0	0.0	0.0
AT5G05800	15	0.568618	4.549964	5.672588
AT4G29290	0	0.0	0.0	0.0
AT3G18390	572	12.653835	116.962891	145.821426
AT3G23960	0	0.0	0.0	0.0
AT1G21790	9	0.461431	3.692276	4.603280
AT2G23440	0	0.0	0.0	0.0
AT2G31250	0	0.0	0.0	0.0
AT2G09055	0	0.000000	0.000000	0.000000
AT2G09500	0	0.000000	0.000000	0.000000
AT3G53510	32	0.886107	7.090446	8.839890
AT3G53460	653	27.650209	262.638550	327.440002
AT4G05800	0	0.0	0.0	0.0
AT5G60840	28	1.918033	18.433149	22.981205
AT1G42990	178	11.524776	92.218895	114.972282
AT3G58800	0	0.000000	0.000000	0.000000
AT3G29450	0	0.0	0.0	0.0
AT1G05217	0	0.0	0.0	0.0
AT1G07293	0	0.0	0.0	0.0
AT5G51140	32	1.299853	12.535227	15.628074
AT1G79940	52	1.628056	14.026353	17.487110
AT5G59895	0	0.000000	0.000000	0.000000
AT3G44235	0	0.0	0.0	0.0
AT5G65940	0	0.000000	0.000000	0.000000
AT2G09760	0	0.0	0.0	0.0
AT1G06453	1	0.066521	0.532287	0.663620
AT4G00900	0	0.000000	0.000000	0.000000
AT1G80830	41	1.336495	10.725317	13.371601
AT5G66360	51	2.753941	22.036469	27.473581
AT3G59950	26	0.849233	7.307790	9.110860
AT3G03045	0	0.0	0.0	0.0
AT1G35242	0	0.0	0.0	0.0
AT3G14790	44	1.290573	11.060496	13.789479
AT1G34392	0	0.0	0.0	0.0
AT1G54120	6	0.749201	5.994952	7.474102
AT5G00900	0	0.000000	0.000000	0.000000
AT2G07672	0	0.0	0.0	0.0
AT4G31441	0	0.000000	0.000000	0.000000
AT3G51530	10	0.413852	3.311558	4.128628
AT2G02350	5	0.224664	1.850823	2.307481
AT5G15740	18	0.389532	4.421471	5.512392
AT5G49665	5	0.125254	1.002257	1.249546
AT5G64855	0	0.0	0.0	0.0
AT2G06905	0	0.0	0.0	0.0
AT3G18450	0	0.0	0.0	0.0
AT4G24565	0	0.0	0.0	0.0
AT4G24415	0	0.0	0.0	0.0
AT4G15740	0	0.0	0.0	0.0
AT2G41340	6	0.207725	2.230372	2.780677
AT4G30230	5	0.316596	2.533336	3.158392
AT5G57000	16	0.849492	9.976364	12.437859
AT1G69490	35	2.194888	17.563044	21.896416
AT3G21800	0	0.0	0.0	0.0
AT3G17611	6	0.251986	2.320576	2.893138
AT5G34887	0	0.0	0.0	0.0
AT5G28824	0	0.0	0.0	0.0
AT1G26798	0	0.0	0.0	0.0
AT3G18120	0	0.0	0.0	0.0
AT3G07475	0	0.0	0.0	0.0
AT3G15570	89	3.431966	27.461885	34.237625
AT2G19780	8	0.284689	2.278023	2.840085
AT1G62500	12	0.567089	4.537730	5.657335
AT3G13226	20	0.734452	6.353864	7.921569
AT5G01720	15	0.327288	2.988062	3.725314
AT2G31030	0	0.0	0.0	0.0
AT2G09235	0	0.000000	0.000000	0.000000
AT1G54450	3	0.100498	0.804164	1.002578
AT3G44760	0	0.0	0.0	0.0
