geneId	readCount	Coverage	FPKM	TPM
AT1G72920	82	5.048891	3.458187	5.070078
AT5G46130	0	0.000000	0.000000	0.000000
AT3G27030	78	13.484848	9.236311	13.541434
AT5G18130	456	15.687500	15.551026	22.799494
AT4G06175	1	0.078235	0.053586	0.078563
AT1G74460	83	4.223135	2.892594	4.240857
AT1G54120	43	5.054313	3.461901	5.075522
AT3G21160	435	12.930732	10.188731	14.937786
AT3G55190	0	0.000000	0.000000	0.000000
AT5G61997	0	0.0	0.0	0.0
AT4G01770	0	0.000000	0.000000	0.000000
AT3G54280	800	8.629147	6.021524	8.828209
AT2G29370	67	4.503156	3.084391	4.522053
AT3G59660	586	18.031631	13.265373	19.448477
AT1G11850	911	78.472351	60.616905	88.870964
AT4G10020	4	0.158209	0.108364	0.158873
AT5G43930	255	6.096630	4.626640	6.783157
AT5G00855	0	0.0	0.0	0.0
AT3G49480	3	0.112593	0.111947	0.164127
AT1G62430	1056	36.734215	27.781565	40.730789
AT2G41200	119	8.487548	6.304799	9.243520
AT5G08250	0	0.0	0.0	0.0
AT1G24430	16	0.749339	0.513252	0.752483
AT1G73177	143	9.794930	14.187292	20.800112
AT3G05015	0	0.000000	0.000000	0.000000
AT5G08085	0	0.0	0.0	0.0
AT1G01360	119	7.525021	5.154187	7.556598
AT4G28260	651	20.090725	13.892111	20.367342
AT3G43153	0	0.0	0.0	0.0
AT2G31410	1475	105.615089	72.339989	106.058281
AT5G49310	0	0.000000	0.000000	0.000000
AT5G60290	0	0.000000	0.000000	0.000000
AT5G16740	0	0.0	0.0	0.0
AT5G48740	37	0.961591	0.658632	0.965626
AT4G31800	237	7.105603	7.305488	10.710637
AT3G05746	0	0.0	0.0	0.0
AT2G48010	31	0.902689	0.618288	0.906477
AT5G59890	1726	87.796471	95.737907	140.362152
AT3G57710	260	7.156755	4.901947	7.186787
AT1G04687	0	0.0	0.0	0.0
AT4G26180	87	4.033666	2.915187	4.273980
AT1G09267	0	0.000000	0.000000	0.000000
AT4G31073	0	0.000000	0.000000	0.000000
AT2G20970	0	0.0	0.0	0.0
AT3G20340	22	2.078740	1.423812	2.087463
AT1G23201	0	0.0	0.0	0.0
AT2G09385	0	0.0	0.0	0.0
AT1G06817	0	0.0	0.0	0.0
AT2G43660	0	0.000000	0.000000	0.000000
AT1G76390	387	9.503546	6.527197	9.569580
AT4G05105	3	1.981308	1.357077	1.989622
AT4G23980	450	11.256504	7.710029	11.303740
AT3G17170	3020	201.275757	137.861801	202.120377
AT2G13350	0	0.0	0.0	0.0
AT1G07477	17	1.584479	1.085273	1.591128
AT4G11543	1	0.018072	0.012378	0.018148
AT1G16510	47	3.975917	2.723264	3.992601
AT1G48510	0	0.000000	0.000000	0.000000
AT5G40910	375	5.552747	4.583819	6.720377
AT5G17750	0	0.0	0.0	0.0
AT5G52400	0	0.0	0.0	0.0
AT5G61370	152	6.018998	4.122652	6.044256
AT3G63480	70	2.416563	2.033610	2.981493
AT5G20045	0	0.0	0.0	0.0
AT1G07613	0	0.000000	0.000000	0.000000
AT2G06990	801	12.788408	9.493615	13.918671
AT2G16485	917	11.556237	7.975669	11.693197
AT1G39060	0	0.0	0.0	0.0
AT3G12200	592	15.504378	13.109726	19.220284
AT2G40520	210	5.212404	4.816472	7.061471
AT5G67040	0	0.0	0.0	0.0
AT1G29810	182	13.290829	9.992660	14.650325
