geneId	readCount	Coverage	FPKM	TPM
AT5G25640	391	21.110464	8.799341	18.159492
AT5G51020	1135	123.083603	51.303181	105.876068
AT3G57510	0	0.0	0.0	0.0
AT3G50230	0	0.0	0.0	0.0
AT5G16540	547	37.783596	17.461037	36.034920
AT2G32890	3	0.265577	0.110697	0.228448
AT5G55960	592	30.056900	12.528189	25.854837
AT5G48540	234	30.791771	12.834494	26.486971
AT5G21990	628	35.135113	14.644867	30.223097
AT3G22085	0	0.0	0.0	0.0
AT2G04935	0	0.0	0.0	0.0
AT2G46860	0	0.0	0.0	0.0
AT2G18860	388	28.150522	12.301701	25.387428
AT3G22250	0	0.000000	0.000000	0.000000
AT4G30872	0	0.0	0.0	0.0
AT1G56170	80	7.458652	3.688985	7.613080
AT4G04125	1	0.015959	0.006652	0.013728
AT4G06440	0	0.000000	0.000000	0.000000
AT3G04895	0	0.0	0.0	0.0
AT4G21585	85	5.655322	3.024209	6.241159
AT1G12330	344	19.186224	9.454486	19.511538
AT4G38180	111	4.821471	2.009665	4.147412
AT3G32930	755	67.834183	36.258915	74.828720
AT5G65130	0	0.0	0.0	0.0
AT1G31120	160	5.571627	2.574207	5.312477
AT5G32619	0	0.0	0.0	0.0
AT4G24910	7	0.539865	0.225024	0.464390
AT1G20480	17	0.755217	0.330229	0.681505
AT5G27460	141	10.944720	4.593026	9.478780
AT3G44695	2	0.160954	0.067088	0.138452
AT1G53970	0	0.0	0.0	0.0
AT5G17550	423	39.868622	18.337072	37.842823
AT2G39400	546	45.558720	20.563080	42.436710
AT2G08350	0	0.000000	0.000000	0.000000
AT5G41300	0	0.0	0.0	0.0
AT1G16710	660	11.940109	5.298697	10.935097
AT5G03130	16	2.048544	0.853865	1.762150
AT1G49340	848	15.004297	6.394848	13.197260
AT4G39810	7	0.787344	0.328177	0.677270
AT5G09285	0	0.000000	0.000000	0.000000
AT5G04665	0	0.0	0.0	0.0
AT3G02070	225	15.324236	9.538037	19.683962
AT5G09050	0	0.0	0.0	0.0
AT5G11470	54	2.285518	0.989275	2.041600
AT4G29060	5153	191.718567	80.065201	165.233215
AT3G51840	3341	217.296082	90.572418	186.917313
AT1G02680	131	18.145535	7.563344	15.608724
AT3G53210	43	3.521888	1.658470	3.422639
AT2G27389	0	0.000000	0.000000	0.000000
AT4G01570	221	11.243831	4.686605	9.671903
AT1G34575	0	0.0	0.0	0.0
AT4G18975	515	45.452816	20.371204	42.040726
AT5G13250	27	1.753484	0.833516	1.720155
AT4G36260	13	0.899260	0.374826	0.773540
AT5G06930	62	2.414948	1.149921	2.373131
AT1G02816	148	11.573658	4.824082	9.955619
AT1G05340	42	5.790776	2.721680	5.616821
AT1G73065	0	0.000000	0.000000	0.000000
