geneId	readCount	Coverage	FPKM	TPM
AT5G37270	0	0.0	0.0	0.0
AT1G26796	0	0.0	0.0	0.0
AT3G22040	0	0.0	0.0	0.0
AT5G46800	475	20.725931	22.797037	34.601440
AT1G62790	1704	133.469559	133.549759	202.702393
AT5G18800	1409	134.706711	133.032532	201.917358
AT1G65660	551	20.778797	19.831230	30.099926
AT3G25720	0	0.0	0.0	0.0
AT1G79020	321	8.901464	10.383639	15.760332
AT1G56242	0	0.000000	0.000000	0.000000
AT4G21540	589	18.697559	21.098343	32.023155
AT5G40420	0	0.000000	0.000000	0.000000
AT1G66450	47	1.452412	1.412386	2.143725
AT4G16990	0	0.000000	0.000000	0.000000
AT1G75140	382	12.218182	11.661000	17.699118
ATMG00890	0	0.000000	0.000000	0.000000
AT1G69190	0	0.0	0.0	0.0
AT5G49750	0	0.0	0.0	0.0
AT3G42770	0	0.0	0.0	0.0
AT4G28300	1050	32.898685	37.076054	56.274197
AT5G63670	340	31.802916	31.101578	47.206112
AT3G62500	34	0.766269	0.757927	1.150385
AT3G24500	388	23.805357	25.091614	38.084160
AT1G67440	101	4.206857	4.015014	6.094005
AT1G19835	1322	21.817493	26.121141	39.646782
AT5G06600	2220	36.789715	38.296375	58.126408
AT1G57620	541	36.457195	34.794651	52.811474
AT2G27400	211	16.752687	15.988721	24.267748
AT5G42150	631	27.387323	26.138388	39.672962
AT3G49170	66	1.807807	1.725366	2.618768
AT2G41360	0	0.0	0.0	0.0
AT3G13820	0	0.0	0.0	0.0
AT5G39460	2	0.083333	0.079533	0.120715
AT4G25400	471	22.709719	31.769140	48.219337
AT1G01200	89	5.445733	5.197393	7.888626
AT4G13190	30	0.770802	0.980318	1.487931
AT1G07373	0	0.0	0.0	0.0
AT4G27810	15	0.965704	0.921665	1.398908
AT5G05670	396	24.487848	23.898466	36.273197
AT5G09240	45	2.661548	4.453193	6.759075
AT2G25810	1227	77.298126	73.773125	111.973175
AT2G04605	0	0.0	0.0	0.0
AT3G14670	0	0.000000	0.000000	0.000000
AT4G31130	829	53.826164	52.243031	79.294693
AT3G57350	366	9.248846	8.827074	13.397772
AT2G31920	41	1.384565	1.321425	2.005665
AT5G64820	0	0.000000	0.000000	0.000000
AT5G22820	138	3.991328	3.840799	5.829581
AT4G26470	367	20.452255	27.744017	42.109989
AT1G08010	397	17.878510	18.948498	28.760113
AT2G35060	371	7.944589	8.107702	12.305905
AT1G43860	552	11.790841	15.764905	23.928040
AT1G14080	378	14.184451	14.044282	21.316471
AT1G09307	0	0.0	0.0	0.0
AT4G37060	15	0.601580	0.607033	0.921357
AT2G07835	3	0.290844	0.277581	0.421313
AT1G72410	890	15.012566	14.960633	22.707314
AT2G14580	0	0.0	0.0	0.0
AT5G45870	10	0.936975	0.894246	1.357291
AT1G35560	90	4.668555	4.455657	6.762815
AT5G17310	360	10.810289	12.709128	19.289970
AT2G16586	98	6.327610	6.039054	9.166102
AT1G07187	0	0.0	0.0	0.0
AT2G08510	0	0.0	0.0	0.0
AT3G56340	3502	312.141571	297.907104	452.164673
AT5G66564	2	1.678571	1.602024	2.431559
AT4G03039	0	0.0	0.0	0.0
AT1G03660	77	4.159074	6.189827	9.394946
AT3G17480	0	0.0	0.0	0.0
AT4G12320	8	0.149768	0.228888	0.347408
AT3G28950	1146	93.598236	89.329910	135.585327
AT3G07995	0	0.000000	0.000000	0.000000
AT3G61110	3086	315.762085	301.362488	457.409302
AT2G40140	1292	38.786446	37.213276	56.482475
AT3G01705	0	0.000000	0.000000	0.000000
AT1G05385	66	5.464789	6.114297	9.280307
AT4G09635	0	0.0	0.0	0.0
