geneId	readCount	Coverage	FPKM	TPM
AT1G14020	279	14.111856	7.743174	13.175547
AT1G08623	0	0.0	0.0	0.0
AT4G36515	2	0.248711	0.136468	0.232209
AT2G47890	1041	36.502678	26.758430	45.531326
AT4G28485	0	0.000000	0.000000	0.000000
AT4G11040	2	0.146628	0.088500	0.150589
AT2G35170	120	6.127758	3.362300	5.721187
AT5G63080	137	7.786778	4.472667	7.610553
AT2G41930	0	0.0	0.0	0.0
AT1G01430	428	20.024368	10.987369	18.695768
AT1G50180	0	0.000000	0.000000	0.000000
AT1G09837	2	0.913224	0.501086	0.852632
AT3G47675	525	11.340105	14.493599	24.661863
AT5G11040	850	20.515942	11.695859	19.901316
AT3G05985	0	0.0	0.0	0.0
AT2G22730	39	1.793718	1.257229	2.139262
AT5G17100	0	0.0	0.0	0.0
AT3G16620	409	7.473857	5.554208	9.450870
AT2G30460	179	8.289698	5.649795	9.613518
AT5G52620	0	0.0	0.0	0.0
AT5G45850	0	0.000000	0.000000	0.000000
AT1G69680	57	4.060851	2.509525	4.270132
AT4G19485	0	0.0	0.0	0.0
AT5G41110	177	5.917899	3.782632	6.436410
AT1G74660	171	11.130502	9.901022	16.847277
AT5G24970	111	4.252605	2.458661	4.183583
AT2G24650	354	9.440118	5.522888	9.397577
AT4G08267	0	0.0	0.0	0.0
AT1G03700	20	2.383512	1.307833	2.225368
AT4G17100	636	36.604538	20.432196	34.766800
AT5G19485	348	11.085703	6.624367	11.271821
AT4G33550	600	77.879066	47.627453	81.041412
AT1G79330	51	3.191919	1.751406	2.980138
AT5G54470	48	4.121528	2.261482	3.848068
AT5G65330	0	0.0	0.0	0.0
AT2G20190	1403	28.558350	15.729084	26.764128
AT3G27640	40	2.021233	1.112507	1.893008
AT4G24970	65	2.194045	1.251511	2.129533
AT2G22170	1216	101.823280	55.870422	95.067398
AT4G05020	792	26.684938	18.178543	30.932049
AT3G58020	95	6.401921	4.321893	7.354001
AT3G07910	337	42.375107	23.251215	39.563557
AT3G27325	826	17.914278	11.918932	20.280890
AT2G35730	86	7.069942	6.133693	10.436904
AT5G05020	1	0.063584	0.034889	0.059365
AT2G24710	17	0.566800	0.311003	0.529193
AT3G04550	321	21.082541	11.567986	19.683731
AT3G04005	0	0.0	0.0	0.0
AT4G12820	0	0.0	0.0	0.0
AT1G78590	126	7.195977	4.046444	6.885305
AT5G09465	0	0.000000	0.000000	0.000000
AT5G09515	1	0.401569	0.220341	0.374925
AT3G50010	254	9.778078	5.365230	9.129312
AT3G56820	103	5.975096	5.185354	8.823239
AT4G09465	0	0.0	0.0	0.0
AT4G09515	0	0.0	0.0	0.0
AT2G17860	0	0.000000	0.000000	0.000000
AT2G05815	3	3.098765	1.700292	2.893165
AT1G21202	2	1.234043	0.677119	1.152165
AT1G32583	44	2.196247	1.240952	2.111565
AT5G59040	0	0.0	0.0	0.0
AT5G57820	6	0.776326	0.425970	0.724817
AT5G03955	0	0.0	0.0	0.0
AT2G19310	210	18.926895	10.385184	17.671114
AT5G02795	1	0.218421	0.119848	0.203929
AT2G14255	604	28.026083	16.885668	28.732134
AT2G20320	657	17.016846	9.500009	16.164925
AT2G02680	611	23.963879	14.109995	24.009134
AT1G61540	0	0.0	0.0	0.0
AT5G64520	45	1.750870	1.550174	2.637729
AT3G03890	219	11.385121	7.560989	12.865548
AT1G32090	555	19.182634	10.872209	18.499819
AT3G22840	724	61.256157	38.643963	65.755386
AT4G03955	0	0.000000	0.000000	0.000000
AT1G13580	132	6.593369	4.456396	7.582866
AT2G08925	0	0.0	0.0	0.0
AT2G28310	486	28.421453	17.876621	30.418312
AT5G17345	0	0.000000	0.000000	0.000000
AT5G42785	44	4.914845	3.162900	5.381893
AT1G53640	31	3.219307	1.766433	3.005709
AT2G42690	233	11.582967	7.764576	13.211965
AT4G06910	0	0.0	0.0	0.0
AT2G24400	50	2.943195	1.614931	2.747917
AT5G43770	15	2.156241	1.183129	2.013176
AT1G08930	2526	121.193855	72.283600	122.995552
AT2G39770	1495	68.287247	49.398682	84.055283
AT3G43880	0	0.0	0.0	0.0
AT5G35927	0	0.000000	0.000000	0.000000
AT5G06910	208	17.184341	9.429046	16.044176
AT4G17620	462	23.630514	12.993222	22.108870
AT5G26640	0	0.0	0.0	0.0
AT1G03410	332	12.444263	7.093764	12.070532
AT5G39910	0	0.0	0.0	0.0
AT1G03560	179	7.637297	4.190584	7.130569
AT2G40670	12	0.570809	0.313656	0.533707
AT5G40950	484	50.925262	27.942684	47.546417
AT5G17620	147	10.521928	5.886065	10.015548
AT3G16100	123	12.360618	6.782269	11.540502
AT1G75370	558	22.421127	12.478218	21.232553
AT2G43910	1332	81.186699	56.670792	96.429283
AT5G52100	51	3.833494	2.134597	3.632164
AT3G43540	150	9.149171	5.222547	8.886525
AT4G26640	778	18.331757	18.414938	31.334295
AT1G53325	0	0.0	0.0	0.0
AT4G39910	614	29.083055	19.663162	33.458233
AT4G24413	6	2.020806	1.108816	1.886727
AT1G30070	115	7.872238	5.562606	9.465160
AT3G50665	0	0.0	0.0	0.0
AT1G61880	0	0.0	0.0	0.0
AT2G39130	574	23.898884	15.371903	26.156361
AT2G42300	197	4.583373	4.109511	6.992618
AT5G43130	878	28.051216	16.807800	28.599636
AT5G00775	0	0.000000	0.000000	0.000000
AT5G24206	0	0.000000	0.000000	0.000000
AT2G15327	0	0.000000	0.000000	0.000000
AT1G08103	7	1.485294	0.814981	1.386746
AT4G34890	1564	35.073868	19.245026	32.746746
AT3G22580	0	0.000000	0.000000	0.000000
AT1G13840	0	0.0	0.0	0.0
AT1G21950	0	0.0	0.0	0.0
AT2G22440	0	0.000000	0.000000	0.000000
AT3G46030	996	133.113480	73.039345	124.281517
AT3G22960	2854	126.480499	69.399834	118.088623
AT4G16510	96	5.048586	3.397756	5.781518
AT4G04720	582	19.588165	15.037230	25.586889
AT4G16460	0	0.0	0.0	0.0
AT1G70200	191	9.431215	5.174906	8.805462
AT5G67180	39	1.955942	1.383999	2.354971
AT4G09240	0	0.000000	0.000000	0.000000
AT1G19600	753	47.316666	25.962646	44.177246
AT1G01740	102	4.705654	2.879900	4.900349
AT2G03490	0	0.0	0.0	0.0
AT2G25010	173	8.719716	5.014262	8.532114
AT3G52460	121	8.833822	4.847117	8.247705
AT2G34030	0	0.000000	0.000000	0.000000
AT3G52510	0	0.0	0.0	0.0
AT1G51450	167	8.654205	4.748561	8.080006
AT5G16510	529	32.217163	18.879484	32.124748
AT5G04720	922	31.491356	17.804972	30.296394
AT5G16460	0	0.000000	0.000000	0.000000
AT3G05705	0	0.0	0.0	0.0
AT1G18530	1	0.000394	0.000216	0.000368
AT5G09240	38	2.895856	2.224142	3.784531
AT3G09340	0	0.000000	0.000000	0.000000
AT4G39480	2	0.047574	0.026104	0.044418
AT1G28600	241	11.018426	7.715751	13.128885
AT2G29525	104	5.799666	4.225201	7.189473
AT5G13000	2036	31.691347	17.599613	29.946964
AT2G42475	0	0.0	0.0	0.0
AT4G14104	5	0.546780	0.300018	0.510502
AT2G43480	68	6.046461	3.317692	5.645284
AT2G15260	0	0.0	0.0	0.0
AT2G07215	0	0.0	0.0	0.0
AT1G03980	39	2.229817	1.289909	2.194870
AT4G13555	1	0.844037	0.463123	0.788036
AT5G39480	2	0.087873	0.048216	0.082043
AT3G48830	79	4.228909	2.340307	3.982195
AT1G29530	116	8.983766	5.120206	8.712385
AT4G13000	11	0.692521	0.379986	0.646573
AT3G24800	255	15.886392	8.716861	14.832344
AT1G49360	261	13.560481	8.673724	14.758943
AT2G45290	1389	38.185200	26.563965	45.200428
AT2G44340	14	1.230837	0.675360	1.149172
AT4G08190	0	0.0	0.0	0.0
AT1G15720	50	3.414313	1.873433	3.187776
AT5G06480	22	1.966070	1.308031	2.225706
AT3G55190	0	0.000000	0.000000	0.000000
AT3G61990	682	54.742973	30.037462	51.110825
AT1G19390	15	0.615611	0.337786	0.574766
AT5G08190	276	23.739206	14.299120	24.330946
AT3G47350	289	11.023707	6.048802	10.292457
AT3G09625	1	0.070265	0.038554	0.065603
AT3G53611	0	0.000000	0.000000	0.000000
AT1G76870	30	1.616760	0.941298	1.601685
AT5G51915	0	0.000000	0.000000	0.000000
AT2G32010	171	4.839789	3.248635	5.527777
AT3G54530	0	0.000000	0.000000	0.000000
AT1G59800	0	0.0	0.0	0.0
AT1G28390	270	11.669264	7.043216	11.984520
AT1G51120	0	0.0	0.0	0.0
AT1G78070	406	10.729067	9.443822	16.069319
AT1G13960	850	32.855659	20.703533	35.228500
AT5G46490	34	1.057322	0.650504	1.106878
AT5G36240	0	0.0	0.0	0.0
AT3G25719	0	0.0	0.0	0.0
AT1G65920	182	4.908327	2.880594	4.901530
AT5G47250	161	5.026662	2.758129	4.693147
AT5G48180	1132	65.468475	35.922543	61.124699
AT1G06377	0	0.0	0.0	0.0
AT5G54140	147	7.329299	4.899803	8.337354
AT4G36240	77	6.205169	3.404775	5.793461
AT1G62422	255	20.882500	11.458224	19.496965
AT3G20080	917	18.100628	16.268002	27.681133
AT1G19450	641	30.261568	16.604517	28.253740
AT2G34250	3761	159.423660	104.951218	178.581787
AT3G47490	132	5.321825	6.177380	10.511239
AT5G08645	0	0.0	0.0	0.0
AT1G51600	187	10.603134	5.895786	10.032089
AT1G60820	0	0.000000	0.000000	0.000000
AT1G32570	9	0.758845	0.437993	0.745275
AT5G37340	83	3.571615	2.484246	4.227117
AT1G28450	0	0.0	0.0	0.0
AT5G46350	17	1.197091	0.656844	1.117665
AT1G80360	829	33.565395	23.173452	39.431236
AT3G09105	0	0.000000	0.000000	0.000000
AT4G21705	90	4.949311	2.715686	4.620929
AT5G42905	0	0.0	0.0	0.0
AT1G63500	617	23.781610	13.048965	22.203722
AT3G07480	811	72.305084	39.673790	67.507706
AT3G15585	0	0.0	0.0	0.0
AT4G37340	171	9.638889	5.288857	8.999357
AT1G68810	521	26.617195	14.604851	24.851168
AT1G63055	41	6.438372	3.532734	6.011192
AT1G77780	0	0.0	0.0	0.0
AT5G66830	26	1.802366	0.988958	1.682781
AT1G07277	1	0.082248	0.045129	0.076791
AT4G31248	27	1.557858	0.854796	1.454496
AT1G11800	70	4.137455	2.270221	3.862938
AT2G03350	149	17.438452	9.568476	16.281425
AT5G55220	205	7.739106	5.487939	9.338109
AT1G47810	0	0.0	0.0	0.0
AT1G28120	361	22.103872	13.653745	23.232794
AT1G51390	148	10.064303	6.705865	11.410496
