geneId	readCount	Coverage	FPKM	TPM
AT4G19180	522	8.214240	7.909488	12.678799
AT5G05055	0	0.000000	0.000000	0.000000
AT5G05500	0	0.000000	0.000000	0.000000
AT3G61723	0	0.0	0.0	0.0
AT3G59630	388	8.787920	8.945491	14.339497
AT3G04525	0	0.0	0.0	0.0
AT2G25290	259	4.393209	4.034956	6.467978
AT2G24340	0	0.0	0.0	0.0
AT1G08380	10306	629.146545	566.471558	908.046143
AT4G05055	1	0.153595	0.138294	0.221683
AT5G19180	964	22.924284	24.216139	38.818130
AT5G60540	1314	55.931858	50.359985	80.726357
AT1G35750	0	0.000000	0.000000	0.000000
AT3G58500	2793	92.588531	83.364960	133.632858
AT3G15352	39977	1136.947144	1799.685181	2884.870117
AT3G62790	642	49.509258	44.577194	71.456627
AT1G67600	92	3.667200	3.301877	5.292863
AT3G53810	764	15.749897	14.180908	22.731798
AT3G54360	2617	63.883789	68.339569	109.547386
AT2G20495	330	9.480810	9.805899	15.718719
AT3G27350	203	3.584457	3.854628	6.178916
AT1G55280	307	8.638999	9.066435	14.533368
AT1G22610	0	0.000000	0.000000	0.000000
AT2G01120	99	2.809229	2.662501	4.267952
AT4G36160	43	1.071611	1.284564	2.059139
AT5G54260	75	1.392485	1.264113	2.026356
AT2G07095	0	0.0	0.0	0.0
AT1G48390	28	0.827176	0.803807	1.288491
AT4G28180	39	2.094300	1.885668	3.022700
AT1G72220	7	0.208054	0.187328	0.300284
AT4G27250	0	0.000000	0.000000	0.000000
AT5G36160	1967	53.696342	51.247684	82.149323
AT3G60130	918	21.877743	21.609543	34.639797
AT4G26490	30	1.450004	1.305556	2.092788
AT5G28180	0	0.0	0.0	0.0
AT3G12990	307	9.751267	11.430756	18.323341
AT3G13750	11781	168.635269	151.835999	243.390976
AT2G30270	677	35.263817	31.750870	50.896202
AT5G56990	68	2.845501	3.002439	4.812869
AT3G10970	2003	52.863708	55.094666	88.315987
AT5G09160	0	0.000000	0.000000	0.000000
AT2G32290	772	19.722370	17.757648	28.465261
AT1G09033	0	0.0	0.0	0.0
AT3G13610	28	0.932431	0.839543	1.345776
AT1G53490	17	0.360346	0.825603	1.323431
AT2G42440	0	0.0	0.0	0.0
AT3G26030	2217	43.888714	39.516563	63.344501
AT3G42960	0	0.0	0.0	0.0
AT1G02940	18	0.902564	0.812651	1.302669
AT2G01450	3363	66.866653	77.109756	123.605858
AT4G09160	52	1.047831	0.947086	1.518166
AT3G26782	1315	17.304672	16.138777	25.870235
AT3G19830	1000	11.905654	13.681358	21.931028
AT1G67390	0	0.0	0.0	0.0
AT1G14500	0	0.000000	0.000000	0.000000
AT2G38000	504	16.092756	14.489612	23.226646
AT2G45010	107	2.978665	2.805411	4.497035
AT1G18360	249	5.209684	5.485090	8.792522
AT1G22750	1225	27.360928	41.250664	66.124237
AT3G21760	0	0.000000	0.000000	0.000000
AT1G06627	0	0.0	0.0	0.0
AT2G22475	361	9.302374	10.416177	16.696985
AT1G35610	0	0.0	0.0	0.0
AT4G09275	1	0.205021	0.184597	0.295906
AT3G60770	3458	188.919128	170.099197	272.666656
AT4G31070	59	1.038821	0.975867	1.564301
AT1G48600	2717	57.036297	68.805557	110.294342
AT2G36800	5464	139.524521	125.625229	201.375504
AT1G36756	0	0.0	0.0	0.0
AT5G60880	0	0.0	0.0	0.0
AT5G52655	0	0.0	0.0	0.0
AT3G28830	34	0.803987	0.723895	1.160393
AT1G49530	9	0.351667	0.316634	0.507560
AT3G44800	0	0.000000	0.000000	0.000000
AT5G09275	0	0.000000	0.000000	0.000000
AT2G24625	0	0.0	0.0	0.0
AT1G64960	282	3.559615	3.337095	5.349317
AT2G17975	207	5.633882	6.343053	10.167826
AT5G65980	0	0.000000	0.000000	0.000000
AT1G10040	141	3.779414	3.565167	5.714912
AT1G53350	378	4.367825	5.127779	8.219760
AT4G05235	0	0.0	0.0	0.0
AT5G51180	988	16.250956	14.836759	23.783119
AT1G79980	0	0.0	0.0	0.0
AT3G03085	1	0.203252	0.183004	0.293353
AT2G01390	58	1.574660	1.417794	2.272704
AT1G67450	0	0.0	0.0	0.0
AT3G02070	395	10.741266	13.116640	21.025791
AT1G33870	0	0.0	0.0	0.0
AT5G05235	0	0.0	0.0	0.0
AT1G48120	342	3.563034	3.377713	5.414426
AT1G66290	0	0.0	0.0	0.0
AT4G00430	8209	205.306168	198.627670	318.397400
AT3G11630	9101	386.941315	348.394623	558.471680
AT1G05073	0	0.0	0.0	0.0
AT3G21055	8641	543.359741	656.969727	1053.113281
AT1G22065	22	1.420779	1.279242	2.050608
AT3G21500	267	5.292780	5.088156	8.156242
AT3G05335	6	3.043011	2.739869	4.391973
AT2G15695	885	24.846542	22.371355	35.860970
AT4G27030	314	12.461219	11.219845	17.985256
AT1G14760	0	0.0	0.0	0.0
AT1G06420	1	0.043478	0.039147	0.062752
AT5G15780	154	4.702323	4.233882	6.786854
AT2G46920	502	6.790388	6.505207	10.427756
AT1G62800	189	5.007215	5.492837	8.804942
AT2G41380	530	20.702343	18.639997	29.879654
AT3G59923	0	0.0	0.0	0.0
AT3G15870	0	0.000000	0.000000	0.000000
AT4G35905	135	6.246283	5.624035	9.015249
AT5G27030	809	10.356401	9.514908	15.252265
AT3G03847	0	0.0	0.0	0.0
AT4G15780	735	34.482628	31.047503	49.768715
AT2G06435	1	0.069735	0.062788	0.100648
AT3G13065	138	2.512043	2.386370	3.825318
AT5G64000	357	13.004683	13.032343	20.890665
AT1G69572	108	4.597529	4.775790	7.655525
AT2G39435	248	5.850569	6.080770	9.747390
AT3G57990	1883	48.550804	43.714226	70.073288
AT3G51830	836	16.898298	17.976728	28.816444
AT2G19740	1472	90.932014	81.873459	131.242020
AT2G01600	1865	38.909431	36.542736	58.577496
AT3G26250	2	0.050916	0.045844	0.073487
AT5G03920	0	0.0	0.0	0.0
AT1G09253	0	0.000000	0.000000	0.000000
AT1G06150	1084	18.131948	16.343346	26.198154
AT1G44790	928	49.075367	44.947010	72.049431
AT3G27490	0	0.0	0.0	0.0
AT1G67120	1120	3.352113	3.038006	4.869882
AT1G80530	915	19.321775	19.451920	31.181156
AT4G08670	0	0.0	0.0	0.0
AT1G49205	0	0.000000	0.000000	0.000000
AT3G55670	0	0.000000	0.000000	0.000000
AT1G61095	0	0.0	0.0	0.0
AT3G58760	553	11.219223	13.496475	21.634663
AT4G05760	4	0.812199	0.731289	1.172245
AT1G48450	3271	96.582130	90.197815	144.585846
AT5G08670	7116	171.286331	154.222961	247.217270
AT2G08950	0	0.0	0.0	0.0
AT4G26350	0	0.0	0.0	0.0
AT2G28740	366	25.579021	23.030867	36.918156
AT1G04780	2218	35.071178	31.577421	50.618172
AT5G66631	49	1.156011	1.040850	1.668469
AT5G05760	348	12.286998	11.062980	17.733803
AT5G37400	69	1.564289	1.546912	2.479679
AT3G09650	851	16.212101	14.597068	23.398897
AT5G61820	10230	218.277008	233.880478	374.907166
AT3G05727	8	0.765957	0.689653	1.105504
AT5G16270	1216	16.009750	14.414876	23.106844
AT5G50600	0	0.0	0.0	0.0
AT3G52270	0	0.000000	0.000000	0.000000
AT2G42170	13	0.316277	0.306422	0.491190
AT1G57540	124	4.543768	5.697540	9.133078
AT4G37400	170	4.576280	4.120396	6.604937
AT3G08035	0	0.0	0.0	0.0
AT2G44710	1021	14.613995	16.839657	26.993732
AT4G16270	0	0.000000	0.000000	0.000000
AT1G64840	295	8.262185	7.439115	11.924797
ATMG00770	0	0.0	0.0	0.0
AT4G16165	0	0.0	0.0	0.0
AT2G22145	0	0.0	0.0	0.0
AT3G06835	0	0.0	0.0	0.0
AT4G04615	2	0.610561	0.549738	0.881222
AT2G07575	3	0.703518	0.633434	1.015386
AT2G15470	0	0.0	0.0	0.0
AT1G25682	573	15.499458	18.853527	30.221937
AT5G52370	393	23.285629	20.965939	33.608109
AT1G75100	428	4.920914	7.153088	11.466300
AT4G32850	1692	21.025499	22.312128	35.766033
AT3G16370	1830	47.583248	52.663876	84.419456
AT5G04615	0	0.0	0.0	0.0
AT5G50717	0	0.0	0.0	0.0
AT1G17680	576	7.751822	8.333609	13.358659
ATMG00130	0	0.0	0.0	0.0
AT2G21930	7	0.219116	0.202286	0.324261
AT5G04755	0	0.0	0.0	0.0
AT5G50390	92	1.818757	1.637574	2.625009
AT4G10800	111	2.666022	2.502016	4.010696
AT1G21925	0	0.0	0.0	0.0
AT2G42730	52	0.720363	1.277541	2.047880
AT4G04755	0	0.0	0.0	0.0
AT5G48485	16	0.980045	0.882414	1.414497
AT1G34050	0	0.0	0.0	0.0
AT1G01310	4	0.153552	0.138255	0.221621
AT2G18550	12	0.560492	0.504656	0.808957
AT5G10800	54	0.740291	0.743036	1.191076
AT5G44970	0	0.0	0.0	0.0
AT4G13520	871	47.669956	63.478241	101.754745
AT5G06185	0	0.000000	0.000000	0.000000
AT2G44650	1737	74.147713	66.761192	107.017258
AT4G08495	0	0.0	0.0	0.0
AT5G25850	0	0.0	0.0	0.0
AT4G31590	572	9.177320	8.263084	13.245609
AT5G60215	0	0.000000	0.000000	0.000000
ATCG00550	12	4.723577	4.253019	6.817530
AT2G07681	6	0.114520	0.103112	0.165287
AT1G07660	542	37.521927	33.784031	54.155331
AT5G62040	62	4.185668	4.355471	6.981759
AT2G40190	256	6.708245	6.485249	10.395762
AT4G06185	0	0.0	0.0	0.0
AT5G13520	97	2.144462	1.930833	3.095098
AT1G79560	1118	14.519555	14.293959	22.913015
AT3G47640	495	14.732857	17.707138	28.384298
AT1G79410	1290	33.397205	30.070210	48.202129
AT5G08495	14	4.361290	3.926822	6.294642
AT4G21110	732	37.062881	36.123486	57.905441
AT5G02635	1	0.160256	0.144291	0.231297
AT3G50290	0	0.0	0.0	0.0
AT2G29550	982	27.026373	24.334032	39.007114
AT3G09710	2	0.033058	0.030303	0.048576
AT4G25850	6	0.101842	0.140863	0.225801
AT1G64580	69	1.740497	1.567111	2.512056
AT5G65410	85	2.723760	2.452422	3.931198
AT4G02489	0	0.0	0.0	0.0
AT5G65560	211	2.839600	2.586539	4.146186
AT5G44563	4	0.292969	0.263784	0.422842
AT2G37970	2221	132.811005	119.580513	191.685898
AT5G37650	0	0.0	0.0	0.0
AT1G56770	0	0.0	0.0	0.0
AT4G00740	1214	20.445755	18.854967	30.224249
