geneId	readCount	Coverage	FPKM	TPM
AT5G14030	1367	71.164352	41.269093	66.784973
AT4G30030	0	0.0	0.0	0.0
AT3G22360	0	0.000000	0.000000	0.000000
AT3G05030	279	8.991611	5.318959	8.607568
AT1G28990	0	0.000000	0.000000	0.000000
AT5G20590	433	23.424112	11.521276	18.644659
AT2G20784	0	0.000000	0.000000	0.000000
AT2G21770	15	0.360929	0.176391	0.285450
AT5G38120	0	0.0	0.0	0.0
AT3G28223	0	0.0	0.0	0.0
AT1G57390	0	0.0	0.0	0.0
AT5G46115	20	3.304778	1.615088	2.613665
AT5G05295	0	0.000000	0.000000	0.000000
AT3G52580	902	101.594307	49.650452	80.348358
AT1G09760	759	64.339905	31.443745	50.884800
AT5G04185	0	0.000000	0.000000	0.000000
AT1G16300	262	15.912389	7.893774	12.774340
AT1G35210	54	4.974406	2.431056	3.934132
AT1G48300	2907	243.228119	118.868721	192.362946
AT2G41040	125	9.025198	4.410731	7.137800
AT2G08260	0	0.000000	0.000000	0.000000
AT3G60010	4	0.587209	0.286977	0.464409
AT2G19610	3	0.107281	0.054153	0.087634
AT5G65850	37	2.719242	1.328929	2.150579
AT1G02160	1506	57.403530	30.114159	48.733162
AT2G35738	96	3.100555	1.965213	3.180267
AT1G18470	1041	36.555569	24.677317	39.934822
AT2G44110	119	6.302632	3.382503	5.473839
AT4G23860	604	25.971758	15.959968	25.827705
AT5G02900	0	0.000000	0.000000	0.000000
AT2G38440	1221	23.455740	12.332815	19.957956
AT5G36661	0	0.0	0.0	0.0
AT4G37340	43	2.460317	1.202389	1.945802
AT1G47810	0	0.0	0.0	0.0
AT4G00970	153	6.387924	3.418777	5.532541
AT2G35340	127	3.541412	1.823254	2.950537
AT3G02832	11	1.171135	0.572349	0.926221
AT4G33010	12839	361.567200	180.703613	292.429138
AT1G15370	451	46.563396	22.756134	36.825809
AT5G03850	1389	150.760208	73.678467	119.232430
AT5G66053	0	0.000000	0.000000	0.000000
AT3G56060	256	10.857624	5.306261	8.587020
AT2G17760	543	26.038061	13.169491	21.311930
AT1G45244	0	0.000000	0.000000	0.000000
AT3G63030	124	14.278991	6.978327	11.292892
AT4G15760	809	49.109509	24.531824	39.699375
AT5G13360	179	6.193624	3.817455	6.177713
AT5G62170	128	4.514701	2.486256	4.023459
AT5G24170	68	3.888697	3.585003	5.801542
AT2G03980	241	11.529326	7.361344	11.912720
AT4G36350	0	0.0	0.0	0.0
AT4G09225	1	0.149621	0.073122	0.118331
AT1G07610	1984	347.266907	169.713821	274.644592
AT4G12690	109	6.853919	3.349599	5.420591
AT3G12203	15	0.789062	0.440153	0.712291
AT3G24750	22	1.552906	1.040699	1.684142
AT3G62750	1887	67.749115	53.524059	86.616951
AT4G38660	502	27.272091	14.154431	22.905844
AT5G49500	133	6.846824	3.504103	5.670622
AT5G43650	4	0.315654	0.171926	0.278225
AT1G53530	124	11.377635	6.206082	10.043182
AT4G11540	0	0.0	0.0	0.0
AT2G32680	1	0.034083	0.016657	0.026955
AT4G26990	81	4.335477	2.118804	3.428819
AT5G04720	1679	58.004108	29.196678	47.248417
AT1G66560	0	0.0	0.0	0.0
AT5G67200	88	3.613366	1.765899	2.857720
AT1G73380	284	16.515047	8.861650	14.340635
AT3G15720	42	2.285793	1.138964	1.843163
AT3G04685	3	1.407147	0.687691	1.112877
AT3G12040	47	4.322284	2.174025	3.518182
AT1G14790	122	3.011313	1.561678	2.527233
AT5G01440	0	0.0	0.0	0.0
AT3G09265	0	0.0	0.0	0.0
AT5G15685	0	0.0	0.0	0.0
AT5G15022	0	0.000000	0.000000	0.000000
ATCG00580	140	56.087303	27.410589	44.358028
