geneId	readCount	Coverage	FPKM	TPM
AT5G19930	145	4.362069	6.140426	9.338923
AT4G10870	1	0.046935	0.052131	0.079286
AT2G28110	155	3.829008	4.572149	6.953743
AT3G10780	0	0.000000	0.000000	0.000000
AT4G19930	0	0.0	0.0	0.0
AT5G12043	0	0.0	0.0	0.0
AT4G15563	24	0.491060	0.636091	0.967425
AT2G47820	103	1.391326	1.588108	2.415339
AT4G00335	313	6.694737	12.941068	19.681963
AT2G38590	0	0.0	0.0	0.0
AT5G10870	189	8.448905	9.384309	14.272518
AT5G42860	108	3.723164	4.135367	6.289445
AT4G33040	61	2.349131	2.609210	3.968327
AT1G34575	0	0.0	0.0	0.0
AT1G26910	210	6.189288	11.784677	17.923216
AT4G11550	9	0.133017	0.147744	0.224702
AT2G20120	916	15.071232	40.463165	61.540092
AT3G62615	0	0.0	0.0	0.0
AT3G60980	311	10.380887	11.530187	17.536165
AT1G75730	586	9.594712	10.656972	16.208099
AT2G19110	805	8.933620	10.281396	15.636890
AT3G05430	82	1.245000	1.382838	2.103147
AT5G44900	0	0.000000	0.000000	0.000000
AT1G56410	0	0.000000	0.000000	0.000000
AT1G56560	320	5.775027	7.134558	10.850889
AT1G20135	0	0.0	0.0	0.0
AT5G11550	444	15.063756	16.731510	25.446815
AT3G16690	116	3.382388	5.981560	9.097304
AT1G61230	0	0.000000	0.000000	0.000000
AT5G52690	0	0.0	0.0	0.0
AT5G58430	2923	59.870819	66.499298	101.138237
AT4G28930	0	0.0	0.0	0.0
AT2G42100	0	0.000000	0.000000	0.000000
AT5G53910	0	0.000000	0.000000	0.000000
AT2G39330	70	1.299653	2.100026	3.193913
AT5G63850	858	20.000952	22.215319	33.787094
AT5G16200	138	6.098553	6.773743	10.302129
AT4G23410	38	1.422033	1.579471	2.402204
AT5G50670	549	11.096154	17.369068	26.416471
AT3G52200	1074	19.813629	24.073835	36.613697
AT4G23560	0	0.000000	0.000000	0.000000
AT3G46660	51	1.353297	1.503125	2.286090
AT5G05090	129	4.970399	5.520687	8.396367
AT5G37470	0	0.0	0.0	0.0
AT3G06436	0	0.000000	0.000000	0.000000
AT2G20450	1041	63.435322	70.458435	107.159653
AT1G04413	2	0.178048	0.197760	0.300772
ATMG00700	2	0.773973	0.859662	1.307453
AT1G04563	6	1.112450	1.235613	1.879233
AT1G06640	1152	24.345217	31.138958	47.358982
AT5G23410	195	9.111500	10.913263	16.597893
AT1G70510	29	0.776258	0.867898	1.319979
AT1G70460	19	0.315699	0.350651	0.533302
AT4G16200	0	0.000000	0.000000	0.000000
AT4G05090	305	9.478676	11.401687	17.340731
AT1G08303	0	0.0	0.0	0.0
AT2G34660	677	5.501577	6.552356	9.965425
AT4G37470	707	23.206434	25.775690	39.202030
AT5G43330	562	18.814524	20.897537	31.782890
AT3G58090	138	3.813454	5.336834	8.116747
AT2G07505	0	0.0	0.0	0.0
AT2G15400	52	1.549689	2.363345	3.594392
AT3G43230	622	14.346535	17.758532	27.008802
AT2G07050	1810	27.672495	32.662815	49.676601
AT1G48355	3	0.533598	0.592674	0.901393
AT3G56890	8	0.461176	0.512234	0.779053
AT5G45080	0	0.000000	0.000000	0.000000
AT5G12890	302	8.064375	8.957207	13.622941
AT2G27402	717	26.375282	38.875511	59.125443
AT4G26455	501	11.846451	13.158008	20.011904
AT5G66815	0	0.0	0.0	0.0
AT3G12955	8	0.528455	0.586962	0.892705
AT3G04040	21	1.083246	1.203175	1.829900
AT5G52300	28	0.610888	0.890783	1.354784
AT4G12890	0	0.000000	0.000000	0.000000
AT1G78520	0	0.0	0.0	0.0
AT1G75170	202	5.371642	7.475758	11.369818
AT3G16300	0	0.0	0.0	0.0
AT1G32020	0	0.0	0.0	0.0
AT4G02725	1379	23.305729	27.786110	42.259663
AT5G41310	0	0.0	0.0	0.0
AT1G31580	3031	171.092163	190.034302	289.021576
AT5G21430	653	28.239822	35.337330	53.744247
AT5G64590	0	0.0	0.0	0.0
AT3G03820	87	5.596053	6.215609	9.453268
AT5G17300	72	1.522656	1.996032	3.035749
AT5G02725	0	0.000000	0.000000	0.000000
AT2G20390	260	9.617603	14.424216	21.937670
AT5G65130	1	0.042060	0.057471	0.087406
AT2G15710	0	0.0	0.0	0.0
AT1G06447	0	0.000000	0.000000	0.000000
AT5G51930	4	0.076364	0.088401	0.134448
AT2G07765	1	0.216867	0.240877	0.366348
AT1G79130	1	0.073134	0.081231	0.123543
AT5G57890	175	6.383945	7.900578	12.015923
AT4G17300	819	18.568844	23.171007	35.240597
AT4G21430	352	5.866530	6.520472	9.916932
AT3G60328	0	0.000000	0.000000	0.000000
AT1G75891	19	0.690141	0.766549	1.165837
AT1G61050	7	0.201173	0.245949	0.374061
AT3G62060	185	4.436946	5.643127	8.582586
AT2G35370	4845	251.461868	279.301971	424.788055
AT1G04703	0	0.0	0.0	0.0
ATMG00560	20	0.889048	0.987477	1.501846
ATMG00410	19	0.669531	0.743657	1.131021
AT1G20816	145	8.316099	9.236799	14.048172
AT5G59550	1054	25.772839	29.527920	44.908768
AT2G44470	0	0.0	0.0	0.0
AT5G23700	208	3.497938	4.013472	6.104056
AT1G04970	944	22.198845	28.225815	42.928410
AT2G42620	972	19.831665	22.027288	33.501122
AT1G50380	364	6.641763	7.410028	11.269850
AT2G08995	0	0.0	0.0	0.0
AT4G23700	259	4.490948	5.063227	7.700619
AT5G47660	300	8.565598	9.513921	14.469645
AT2G22821	8	0.421736	0.468428	0.712428
AT1G09287	20	1.936728	2.151149	3.271665
AT4G12731	0	0.0	0.0	0.0
AT1G79770	32	1.309483	1.454460	2.212076
AT2G17785	0	0.0	0.0	0.0
AT5G65770	650	8.371354	10.212341	15.531865
AT4G16535	125	5.510502	6.120586	9.308749
AT5G17690	415	9.955776	11.683975	17.770060
AT2G37900	19	0.363711	0.406883	0.618825
AT3G09470	602	17.444050	19.375332	29.467785
AT1G56700	681	19.618868	27.812836	42.300312
AT1G13805	0	0.000000	0.000000	0.000000
AT3G52535	51	1.685819	2.005126	3.049579
AT4G17690	0	0.0	0.0	0.0
AT5G46874	0	0.000000	0.000000	0.000000
AT5G15970	145	9.472543	10.521276	16.001722
AT1G63210	0	0.0	0.0	0.0
AT3G21090	93	1.856735	2.062300	3.136535
AT1G31840	32	0.535530	0.612483	0.931520
AT2G14247	24	1.071277	1.189881	1.809681
AT2G22370	102	4.496377	5.392112	8.200818
AT4G15970	0	0.0	0.0	0.0
AT1G29465	132	10.396080	11.547062	17.561831
AT3G43505	0	0.0	0.0	0.0
AT3G09305	3	0.442371	0.491347	0.747286
AT1G80160	242	6.822468	10.311197	15.682214
AT5G46150	688	12.602177	15.604762	23.733152
AT2G04685	0	0.0	0.0	0.0
AT3G10900	0	0.0	0.0	0.0
AT5G04790	0	0.000000	0.000000	0.000000
AT5G37140	0	0.0	0.0	0.0
AT2G38070	95	2.083520	2.314193	3.519636
AT2G03420	631	14.805203	16.444332	25.010048
AT1G14570	1233	20.748367	36.504269	55.519039
AT4G37140	6	0.354659	0.427197	0.649720
AT4G04790	108	1.910753	2.127918	3.236334
AT1G34095	0	0.0	0.0	0.0
AT2G36870	239	6.102296	9.685466	14.730544
AT1G48670	0	0.0	0.0	0.0
AT3G60700	7	0.345842	0.384131	0.584222
AT4G31000	620	12.673631	14.976173	22.777138
AT3G22421	0	0.000000	0.000000	0.000000
AT5G13887	0	0.000000	0.000000	0.000000
AT5G58740	691	40.390213	44.861938	68.230148
AT1G72010	833	23.738068	26.366180	40.100105
AT3G55450	911	20.701765	25.798143	39.236183
AT5G44780	98	1.681481	2.029159	3.086132
AT4G08450	0	0.0	0.0	0.0
AT3G05740	65	1.409393	1.634974	2.486619
AT5G09205	0	0.0	0.0	0.0
AT3G44870	0	0.000000	0.000000	0.000000
AT1G75440	953	22.836821	54.032650	82.177811
AT5G08450	2387	33.716183	40.226349	61.179924
AT3G25950	0	0.0	0.0	0.0
AT4G37483	60	12.775661	14.190094	21.581594
AT5G08120	649	19.434950	22.739336	34.584068
AT5G05570	441	5.586118	6.327486	9.623421
AT3G09695	0	0.0	0.0	0.0
