geneId	readCount	Coverage	FPKM	TPM
AT2G26560	89	8.130170	1.466784	3.263841
AT2G15660	0	0.0	0.0	0.0
AT5G28840	5283	317.427826	79.934937	177.868668
AT1G49975	535	64.859100	11.916893	26.517092
AT3G12000	0	0.0	0.0	0.0
AT2G16450	2	0.201699	0.036389	0.080972
AT5G01400	1439	43.156849	8.041731	17.894205
AT2G19190	211	11.779260	2.125125	4.728761
AT4G17660	14	1.149826	0.220096	0.489752
AT2G38760	932	109.290985	19.717453	43.874649
AT5G67240	797	41.511013	8.002376	17.806631
AT2G45350	19	1.503731	0.271292	0.603670
AT1G05710	141	9.555478	2.535206	5.641259
AT5G62623	0	0.0	0.0	0.0
AT1G77765	3	0.341825	0.066132	0.147154
AT1G73490	1110	115.639503	24.782314	55.144821
AT1G76030	5695	432.505890	78.029442	173.628632
AT4G18340	238	21.161234	4.093836	9.109475
AT1G16825	105	16.754799	3.980645	8.857604
AT3G14540	3	0.176652	0.033201	0.073878
AT1G60730	1251	94.948685	21.875738	48.677197
AT3G61182	0	0.000000	0.000000	0.000000
AT5G66250	108	9.637053	2.260897	5.030877
AT5G05540	426	34.180882	6.546336	14.566699
AT1G02575	0	0.0	0.0	0.0
AT2G17440	1219	79.246017	14.296968	31.813156
AT4G15440	52	4.189305	0.755803	1.681788
AT1G79950	908	26.483814	5.508825	12.258063
AT3G10260	1294	105.732239	29.234852	65.052460
AT4G12110	694	71.348328	12.872127	28.642645
AT3G61320	261	16.292042	4.211250	9.370740
AT1G07190	0	0.0	0.0	0.0
AT1G31550	63	5.063193	1.121534	2.495601
AT5G15930	495	46.164497	8.795331	19.571091
AT2G22080	693	29.591696	14.906376	33.169193
AT5G63540	19	1.180101	0.215896	0.480404
AT3G04930	1101	72.170647	13.020482	28.972765
AT3G28020	0	0.0	0.0	0.0
AT5G17120	0	0.0	0.0	0.0
AT2G04890	223	14.182133	3.230976	7.189465
AT4G19710	1280	58.661198	10.887893	24.227392
AT3G58990	71	8.584646	1.548777	3.446289
AT1G52360	3966	146.026657	30.217018	67.237953
AT3G05455	0	0.0	0.0	0.0
AT5G23000	9	0.953538	0.172030	0.382796
AT4G20953	3	0.453838	0.081878	0.182192
AT3G06665	0	0.0	0.0	0.0
