geneId	readCount	Coverage	FPKM	TPM
AT4G22970	235	2.516935	1.676114	2.530248
AT5G53830	116	7.493506	4.979467	7.516964
AT2G19410	0	0.0	0.0	0.0
AT3G06745	0	0.0	0.0	0.0
AT5G66860	656	42.072773	27.957541	42.204479
AT5G20900	931	45.102310	42.604706	64.315720
AT3G01140	155	7.129546	5.757114	8.690893
AT1G28500	2	0.067568	0.044899	0.067780
AT1G73110	1314	56.702168	40.830791	61.637836
AT3G09960	0	0.000000	0.000000	0.000000
AT3G42560	0	0.0	0.0	0.0
AT2G28000	18872	636.983826	423.278534	638.977844
AT5G40390	474	11.877298	7.892517	11.914479
AT2G45130	45	3.660665	2.432528	3.672125
AT1G21340	2	0.088838	0.059033	0.089116
AT5G07175	6	0.615702	0.527591	0.796447
AT1G05800	2	0.053672	0.035665	0.053840
AT4G08240	200	14.370441	12.855475	19.406523
AT1G76910	0	0.0	0.0	0.0
AT1G21738	0	0.000000	0.000000	0.000000
AT3G07755	0	0.0	0.0	0.0
AT1G68040	0	0.000000	0.000000	0.000000
AT3G28790	0	0.0	0.0	0.0
AT1G05073	0	0.0	0.0	0.0
AT2G47920	90	6.395415	4.414114	6.663511
AT3G08135	0	0.0	0.0	0.0
AT5G43450	356	16.323511	11.525897	17.399403
AT4G38460	1470	82.294998	54.685387	82.552620
AT2G23840	634	35.166668	23.368404	35.276756
AT2G21210	660	35.270298	44.646416	67.397865
AT4G12490	460	43.834606	29.128286	43.971832
AT1G70130	0	0.0	0.0	0.0
AT1G62950	136	3.110310	2.066815	3.120047
AT1G12520	268	8.829264	10.975210	16.568090
AT1G07410	29	1.675144	1.225702	1.850309
AT1G63800	772	51.270870	39.676125	59.894760
AT3G55050	317	11.462023	8.601051	12.984078
AT1G06003	0	0.000000	0.000000	0.000000
AT2G37360	0	0.000000	0.000000	0.000000
AT4G16750	105	6.484673	4.309093	6.504973
AT5G50810	468	48.075447	33.892982	51.164574
AT5G02590	412	27.305906	18.144894	27.391386
AT4G35360	670	26.343653	20.995541	31.694700
AT1G06870	357	15.110577	10.041044	15.157881
AT3G10850	2341	133.036682	95.381950	143.987823
AT3G04010	64	1.895330	1.259455	1.901263
AT5G49990	222	6.215301	5.247930	7.922233
AT4G17740	916	37.099754	26.898396	40.605602
AT3G18080	15533	584.808350	388.607697	586.639038
AT5G41270	79	5.178288	3.440995	5.194499
AT1G20160	182	5.125424	3.405867	5.141469
AT5G15010	113	4.271854	2.838665	4.285227
AT3G46080	3	0.193384	0.128505	0.193989
AT2G15740	0	0.0	0.0	0.0
AT4G19800	0	0.000000	0.000000	0.000000
AT2G38640	136	10.378185	6.896350	10.410674
AT1G28335	0	0.0	0.0	0.0
AT1G18670	308	5.495931	4.991351	7.534903
AT1G07250	828	33.548954	22.293427	33.653976
AT5G43210	77	5.242368	4.135809	6.243385
AT1G20890	96	5.381459	4.370572	6.597781
AT4G38700	45	3.115996	2.070593	3.125751
AT2G21450	0	0.000000	0.000000	0.000000
AT5G41840	0	0.0	0.0	0.0
AT2G17600	0	0.0	0.0	0.0
AT3G07675	19	4.698676	3.122291	4.713385
AT4G01395	959	29.300165	19.470087	29.391890
AT4G20280	313	16.511662	12.713783	19.192627
AT4G26500	385	14.938690	9.926826	14.985456
AT1G04037	0	0.000000	0.000000	0.000000
AT3G14990	1562	32.277020	45.606266	68.846848
AT1G34390	0	0.0	0.0	0.0
AT2G23270	3	0.354992	0.235894	0.356103
AT5G38197	0	0.0	0.0	0.0
AT1G17130	819	40.479733	28.211054	42.587177
AT5G05990	229	17.989155	11.953872	18.045469
AT5G01640	23	1.487849	0.988682	1.492507
AT3G04485	90	3.487574	4.234955	6.393055
AT5G04315	0	0.000000	0.000000	0.000000
AT4G00320	3	0.099081	0.065840	0.099391
AT2G14830	0	0.0	0.0	0.0
AT1G65550	0	0.0	0.0	0.0
