"","geneId","FPKM","tissue","ExpressionLevel"
"1","AT1G10920",3.17693486363636,"leaves","Low Expression"
"2","AT1G12210",1.06803684090909,"leaves","Low Expression"
"3","AT1G12220",3.3586035,"leaves","Low Expression"
"4","AT1G12280",3.326826,"leaves","Low Expression"
"5","AT1G12290",1.41023620454545,"leaves","Low Expression"
"6","AT1G15890",1.29092,"leaves","Low Expression"
"7","AT1G17600",1.48593040909091,"leaves","Low Expression"
"8","AT1G17610",1.11425009090909,"leaves","Low Expression"
"9","AT1G17615",0.0790292954545455,"leaves","No Expression"
"10","AT1G27170",0.191319045454545,"leaves","No Expression"
"11","AT1G27180",2.25228420454545,"leaves","Low Expression"
"12","AT1G31540",8.39944729545454,"leaves","Low Expression"
"13","AT1G50180",0.0270603181818182,"leaves","No Expression"
"14","AT1G51480",0.0280661136363636,"leaves","No Expression"
"15","AT1G52660",0.0154573409090909,"leaves","No Expression"
"16","AT1G53350",3.23108847727273,"leaves","Low Expression"
"17","AT1G56510",5.12025188636364,"leaves","Low Expression"
"18","AT1G56520",3.56589084090909,"leaves","Low Expression"
"19","AT1G56540",0.867812159090909,"leaves","No Expression"
"20","AT1G57650",0.194574295454545,"leaves","No Expression"
"21","AT1G58390",0.121079113636364,"leaves","No Expression"
"22","AT1G58400",0.137268431818182,"leaves","No Expression"
"23","AT1G58410",0.119352090909091,"leaves","No Expression"
"24","AT1G58602",30.3561511590909,"leaves","Low Expression"
"25","AT1G58807",17.6115701590909,"leaves","Low Expression"
"26","AT1G58848",15.3915027954545,"leaves","Low Expression"
"27","AT1G59124",10.1073786590909,"leaves","Low Expression"
"28","AT1G59218",24.16112575,"leaves","Low Expression"
"29","AT1G59620",4.95317011363636,"leaves","Low Expression"
"30","AT1G59780",0.0130589318181818,"leaves","No Expression"
"31","AT1G61180",4.82940865909091,"leaves","Low Expression"
"32","AT1G61190",20.0276744090909,"leaves","Low Expression"
"33","AT1G61300",14.0285973409091,"leaves","Low Expression"
"34","AT1G61310",0.894763863636364,"leaves","No Expression"
"35","AT1G62630",5.89227331818182,"leaves","Low Expression"
"36","AT1G63350",1.57370577272727,"leaves","Low Expression"
"37","AT1G63360",9.24879086363636,"leaves","Low Expression"
"38","AT1G63730",0.704364022727273,"leaves","No Expression"
"39","AT1G63740",2.06258463636364,"leaves","Low Expression"
"40","AT1G63750",2.80465213636364,"leaves","Low Expression"
"41","AT1G63860",4.09286770454545,"leaves","Low Expression"
"42","AT1G63870",0.00650629545454545,"leaves","No Expression"
"43","AT1G63880",17.9379578181818,"leaves","Low Expression"
"44","AT1G64070",0.0142901818181818,"leaves","No Expression"
"45","AT1G65850",0.0208847727272727,"leaves","No Expression"
"46","AT1G66090",5.89352872727273,"leaves","Low Expression"
"47","AT1G69550",4.92356043181818,"leaves","Low Expression"
"48","AT1G72840",1.09617236363636,"leaves","Low Expression"
"49","AT1G72850",0.244795909090909,"leaves","No Expression"
"50","AT1G72860",0.0331354090909091,"leaves","No Expression"
"51","AT1G72870",0.173797522727273,"leaves","No Expression"
"52","AT1G72890",5.54797909090909,"leaves","Low Expression"
"53","AT1G72900",15.67897175,"leaves","Low Expression"
"54","AT1G72910",14.9420407954545,"leaves","Low Expression"
"55","AT1G72920",7.31410402272727,"leaves","Low Expression"
"56","AT1G72930",123.377792363636,"leaves","High Expression"
"57","AT1G72940",7.99486975,"leaves","Low Expression"
"58","AT1G72950",0.730457022727273,"leaves","No Expression"
"59","AT2G16870",0.954392909090909,"leaves","No Expression"
"60","AT2G17050",0.0289598636363636,"leaves","No Expression"
"61","AT2G17060",0.0277122727272727,"leaves","No Expression"
"62","AT3G04210",37.6852900227273,"leaves","Low Expression"
"63","AT3G04220",0.580916818181818,"leaves","No Expression"
"64","AT3G07040",2.74697568181818,"leaves","Low Expression"
"65","AT3G14460",0.366329272727273,"leaves","No Expression"
"66","AT3G14470",2.03958590909091,"leaves","Low Expression"
"67","AT3G15700",0,"leaves","No Expression"
"68","AT3G25510",0.362578113636364,"leaves","No Expression"
"69","AT3G50950",38.1227432272727,"leaves","Low Expression"
"70","AT3G51560",0.00985793181818182,"leaves","No Expression"
"71","AT3G51570",0.0125152045454545,"leaves","No Expression"
"72","AT4G10780",0.0261344090909091,"leaves","No Expression"
"73","AT4G11170",0.343697545454545,"leaves","No Expression"
"74","AT4G12010",2.06124909090909,"leaves","Low Expression"
"75","AT4G12020",3.56103886363636,"leaves","Low Expression"
"76","AT4G14370",1.01859063636364,"leaves","Low Expression"
"77","AT4G16860",18.50693175,"leaves","Low Expression"
"78","AT4G16890",38.0869289090909,"leaves","Low Expression"
"79","AT4G16900",3.50758461363636,"leaves","Low Expression"
"80","AT4G16920",5.27663093181818,"leaves","Low Expression"
"81","AT4G16930",0,"leaves","No Expression"
"82","AT4G16940",2.10121606818182,"leaves","Low Expression"
"83","AT4G16950",30.2397706590909,"leaves","Low Expression"
"84","AT4G16960",1.11314281818182,"leaves","Low Expression"
"85","AT4G16990",78.1024235,"leaves","Intermediate Expression"
"86","AT4G19500",10.3843692727273,"leaves","Low Expression"
"87","AT4G19510",9.20479079545455,"leaves","Low Expression"
"88","AT4G19520",7.39018156818182,"leaves","Low Expression"
"89","AT4G19530",23.3751240681818,"leaves","Low Expression"
"90","AT4G23510",0.0850952045454546,"leaves","No Expression"
