geneId	readCount	Coverage	FPKM	TPM
AT5G08045	0	0.0	0.0	0.0
AT1G51000	0	0.0	0.0	0.0
AT1G75500	7964	370.825714	83.153671	129.375046
AT4G23205	11	1.857385	0.363574	0.565668
AT3G52565	1	0.550000	0.106015	0.164943
AT1G58223	0	0.000000	0.000000	0.000000
AT2G07758	0	0.0	0.0	0.0
AT4G08045	0	0.0	0.0	0.0
AT4G11177	0	0.0	0.0	0.0
AT3G20680	1849	165.626038	31.925058	49.670757
AT1G66610	0	0.0	0.0	0.0
AT3G02320	838	38.010788	7.326726	11.399323
AT2G07175	2	0.159221	0.030690	0.047750
AT2G18420	0	0.0	0.0	0.0
AT5G62490	0	0.000000	0.000000	0.000000
AT4G13450	8	0.562450	0.140059	0.217911
AT1G05323	0	0.000000	0.000000	0.000000
AT3G26790	43	1.515836	0.382248	0.594723
AT1G29435	1	0.199073	0.038372	0.059701
AT2G23321	1	0.716312	0.138072	0.214820
AT4G06845	0	0.000000	0.000000	0.000000
AT5G54095	3	0.263364	0.050764	0.078982
AT1G09793	0	0.000000	0.000000	0.000000
AT5G02220	51	6.896739	1.329373	2.068312
ATCG00420	79	16.601677	3.200037	4.978794
AT5G13450	15851	587.179504	160.993774	250.482986
AT2G29420	404	45.919689	8.851198	13.771179
AT5G06845	2	0.232184	0.044754	0.069631
AT2G10560	0	0.0	0.0	0.0
AT1G57140	0	0.0	0.0	0.0
AT4G02220	933	53.953297	10.399707	16.180435
AT2G42570	402	22.165117	4.720831	7.344929
AT4G17486	828	62.872837	12.118982	18.855379
AT2G29150	0	0.0	0.0	0.0
AT4G21460	1547	91.264175	18.272961	28.430079
AT4G21510	195	13.044600	2.659178	4.137296
AT5G51960	273	27.691557	7.277893	11.323345
AT1G79160	918	72.784760	14.029543	21.827934
AT2G40590	2785	338.787048	65.302513	101.601234
AT5G13120	9349	666.762024	139.034439	216.317429
AT1G16950	2	0.256345	0.049411	0.076877
AT5G65160	22	0.797028	0.420416	0.654107
AT1G64180	349	16.467447	3.174164	4.938539
AT1G51538	24	1.043309	0.201102	0.312885
AT5G06585	0	0.0	0.0	0.0
AT1G07720	1817	87.383224	19.142727	29.783306
ATCG00150	187	25.076000	4.833496	7.520218
AT5G47630	897	104.803627	26.572531	41.343002
AT1G69818	0	0.0	0.0	0.0
AT5G60470	22	1.198241	0.245303	0.381655
AT3G02645	2	0.087450	0.016856	0.026226
AT2G18150	24	0.429536	0.331828	0.516276
AT1G66750	535	34.972126	7.179822	11.170762
AT2G37810	0	0.0	0.0	0.0
AT2G17280	114	8.525168	1.797973	2.797385
AT5G46595	0	0.0	0.0	0.0
ATMG00530	5	1.345487	0.259348	0.403508
AT3G62030	61436	4862.744141	1077.077881	1675.776855
AT2G34630	2179	126.332573	25.801041	40.142677
AT5G43360	0	0.0	0.0	0.0
AT1G26800	69	5.016776	0.967003	1.504516
AT3G42180	24	0.604309	0.282169	0.439014
AT2G25610	569	42.113525	10.445595	16.251831
AT1G70430	383	14.966161	3.200590	4.979653
AT5G23530	320	20.369785	3.926355	6.108839
AT5G09980	48	8.217241	1.583905	2.464327
AT1G04533	0	0.0	0.0	0.0
AT2G16594	0	0.0	0.0	0.0
AT1G58808	0	0.000000	0.000000	0.000000
AT1G33480	601	39.722946	8.053980	12.530826
AT1G07117	0	0.0	0.0	0.0
AT3G46630	2263	176.021576	33.928837	52.788349
AT1G05193	0	0.0	0.0	0.0
AT4G23530	609	31.729475	6.115979	9.515576
AT1G19000	11814	659.530823	146.851944	228.480331
AT4G09980	1669	49.105148	9.569739	14.889126
AT2G39360	453	14.249454	2.746637	4.273369
AT3G15480	1619	145.343994	28.015615	43.588238
AT3G07585	0	0.0	0.0	0.0
AT4G13600	44	5.179906	0.998447	1.553439
AT1G03240	6	1.107861	0.213544	0.332244
AT3G02190	709	130.133896	25.083811	39.026772
AT4G30074	0	0.0	0.0	0.0
AT3G23140	0	0.0	0.0	0.0
AT1G22290	2	0.225446	0.043847	0.068220
AT5G49990	601	22.662739	5.402350	8.405273
AT5G13600	2	0.113176	0.021815	0.033941
AT2G33990	735	38.599998	9.274963	14.430498
AT2G32750	10	0.593989	0.119420	0.185800
AT1G80315	1	0.013817	0.002663	0.004144
AT1G44030	0	0.0	0.0	0.0
AT1G28000	0	0.0	0.0	0.0
AT2G16380	883	36.865314	7.729733	12.026343
AT3G43260	0	0.0	0.0	0.0
AT3G07845	0	0.0	0.0	0.0
AT4G27790	0	0.000000	0.000000	0.000000
AT3G09025	0	0.0	0.0	0.0
AT5G42830	64	3.860312	0.744090	1.157696
AT5G50520	485	23.978624	4.965705	7.725917
AT2G30985	0	0.0	0.0	0.0
AT2G32610	0	0.0	0.0	0.0
AT4G19960	734	22.092676	4.644616	7.226349
AT3G13290	1717	34.006767	7.005285	10.899209
AT5G28491	2	1.031746	0.198873	0.309418
AT1G12140	2017	91.290565	23.862761	37.126995
AT2G04855	0	0.0	0.0	0.0
AT5G27790	0	0.0	0.0	0.0
AT1G20270	691	43.356075	9.601331	14.938279
AT5G62350	2547	208.437607	40.177155	62.509823
AT5G15533	1	0.012756	0.002459	0.003825
AT1G73920	3957	116.926964	27.994282	43.555042
AT5G19960	472	32.431881	6.502301	10.116637
AT1G35290	82	9.291855	1.791041	2.786600
AT1G34340	1480	67.413925	13.983220	21.755861
AT5G53800	1029	75.410675	14.535700	22.615438
AT4G13390	0	0.0	0.0	0.0
AT3G62250	19583	1993.780273	384.308838	597.928833
AT5G58510	1238	32.275654	7.480401	11.638419
AT1G61260	129	7.727652	1.489535	2.317500
AT5G58460	3	0.081640	0.015736	0.024484
AT4G36980	5675	215.883865	50.041317	77.857025
AT1G56530	0	0.0	0.0	0.0
AT4G31320	0	0.0	0.0	0.0
AT3G05460	0	0.0	0.0	0.0
AT2G05940	1244	56.596031	12.506594	19.458447
AT5G13390	1670	44.346951	9.019959	14.033749
AT3G05510	376	18.943415	3.929610	6.113903
AT5G28960	0	0.0	0.0	0.0
AT1G78670	1525	107.451149	20.711624	32.224285
AT5G36980	0	0.0	0.0	0.0
AT1G75760	715	41.858803	9.611846	14.954638
AT5G36410	0	0.0	0.0	0.0
AT1G25300	0	0.0	0.0	0.0
AT5G41270	228	20.316858	3.916153	6.092966
AT3G60530	678	46.741978	9.009697	14.017781
AT1G32690	100	10.566631	2.036759	3.168901
AT4G36410	419	57.586502	12.821831	19.948908
AT4G36560	0	0.0	0.0	0.0
AT2G01520	20	2.211173	0.426212	0.663124
AT1G49770	0	0.0	0.0	0.0
AT1G18745	294	30.662136	5.910245	9.195484
AT2G02080	2286	97.196541	21.269194	33.091778
AT4G28580	0	0.0	0.0	0.0
AT2G22668	0	0.000000	0.000000	0.000000
AT4G05100	24	1.791951	0.345405	0.537401
AT2G24230	1151	38.795395	7.477962	11.634625
AT4G04972	2	0.265110	0.051101	0.079506
AT3G58100	300	13.880327	4.756087	7.399782
AT2G35210	57	3.693559	0.711948	1.107687
AT5G60140	0	0.0	0.0	0.0
AT5G19580	122	5.377564	1.036546	1.612716
AT1G10350	685	34.197231	6.591649	10.255650
AT5G05100	1542	92.743301	17.876631	27.813444
AT4G19580	0	0.0	0.0	0.0
AT2G42090	3	0.183470	0.035365	0.055022
AT2G15880	19	0.687170	0.132455	0.206080
AT3G04125	0	0.0	0.0	0.0
AT1G68945	0	0.000000	0.000000	0.000000
AT1G53040	1653	62.716892	13.960794	21.720972
AT5G17020	6040	152.413132	29.378220	45.708252
AT2G40070	1487	49.030182	10.601127	16.493814
AT5G19840	376	14.823414	3.475838	5.407900
AT2G24765	1734	171.935349	35.639637	55.450108
AT3G04455	0	0.0	0.0	0.0
AT4G26040	0	0.0	0.0	0.0
AT1G32300	0	0.0	0.0	0.0
AT1G49130	436	23.055305	4.565178	7.102755
AT4G17020	784	37.769264	7.727019	12.022120
AT4G19840	8180	545.642334	105.174667	163.636520
AT2G07445	0	0.000000	0.000000	0.000000
AT3G15910	0	0.0	0.0	0.0
AT3G07965	0	0.0	0.0	0.0
AT5G26040	176	10.376972	2.360855	3.673147
AT1G14100	6	0.376531	0.072578	0.112921
AT1G63370	31	1.253248	0.417587	0.649704
AT4G09560	403	14.373450	3.509234	5.459859
AT1G76185	213	24.752018	4.771047	7.423057
AT3G21620	18	0.690994	0.133192	0.207227
AT5G28840	13600	546.788635	146.203186	227.470947
AT1G27970	2811	244.391907	57.004974	88.691467
AT1G30670	0	0.0	0.0	0.0
AT1G34822	0	0.0	0.0	0.0
AT5G44316	0	0.000000	0.000000	0.000000
AT3G66656	0	0.0	0.0	0.0
AT5G09410	4438	117.175499	25.079035	39.019341
AT1G33910	0	0.0	0.0	0.0
AT5G09560	0	0.0	0.0	0.0
AT1G57470	0	0.0	0.0	0.0
AT4G28840	0	0.0	0.0	0.0
AT3G08795	60	23.353727	4.501521	7.003714
AT3G18820	2495	233.751389	45.056484	70.101357
AT1G25145	363	29.785288	5.805629	9.032716
AT3G50750	891	57.482098	11.079896	17.238710
AT2G14635	0	0.0	0.0	0.0
AT1G80770	4105	211.206955	44.656277	69.478691
AT1G13485	0	0.0	0.0	0.0
AT3G04395	2	0.292191	0.056321	0.087627
AT3G05245	0	0.000000	0.000000	0.000000
AT5G09700	0	0.0	0.0	0.0
AT5G11640	1377	68.625000	13.740572	21.378340
AT3G44713	72	3.842371	0.740632	1.152316
AT1G12470	2053	62.380531	12.024089	18.707737
AT3G21100	655	26.316439	5.300848	8.247351
AT1G70740	419	18.648697	4.547078	7.074594
AT1G14620	994	84.877747	16.550245	25.749783
AT1G08023	0	0.0	0.0	0.0
AT5G63680	1334	60.971466	13.463141	20.946693
AT2G19365	0	0.0	0.0	0.0
AT1G01200	95	7.934548	1.529415	2.379548
AT4G30380	0	0.0	0.0	0.0
AT4G11640	344	24.628368	4.747213	7.385975
AT1G06507	0	0.0	0.0	0.0
AT1G06823	0	0.0	0.0	0.0
AT4G04295	0	0.0	0.0	0.0
AT3G27040	0	0.0	0.0	0.0
AT1G45170	773	76.031181	14.730921	22.919176
AT5G06965	0	0.0	0.0	0.0
AT1G48520	5967	275.607941	54.872063	85.372963
AT3G10810	1033	48.543064	9.887434	15.383413
AT1G31930	2099	58.122700	13.064921	20.327124
AT1G69080	200	16.206617	3.897756	6.064343
AT3G30280	0	0.0	0.0	0.0
AT3G16020	35	3.404686	0.671978	1.045501
AT5G52020	0	0.0	0.0	0.0
AT2G24050	3889	142.260773	27.421312	42.663586
AT5G51580	0	0.000000	0.000000	0.000000
AT1G74060	8725	458.876953	110.932388	172.594696
AT4G06965	0	0.0	0.0	0.0
AT2G04621	0	0.000000	0.000000	0.000000
AT1G54820	3863	176.362503	38.916039	60.547714
AT5G05620	1146	61.817745	11.915609	18.538960
AT2G09385	0	0.0	0.0	0.0
AT3G58620	620	20.149321	4.640991	7.220708
AT4G05620	0	0.0	0.0	0.0
AT1G80130	325	22.208136	4.280704	6.660154
AT1G67520	159	4.935825	1.026092	1.596450
AT1G03515	0	0.0	0.0	0.0
AT5G51840	756	51.986034	10.020509	15.590459
AT1G14345	4651	465.024750	89.635315	139.459549
AT4G36700	0	0.0	0.0	0.0
AT3G23470	0	0.000000	0.000000	0.000000
AT1G06550	4283	260.055023	51.861141	80.688408
AT1G10490	3095	78.909454	17.111599	26.623167
AT5G36700	17158	818.447815	217.577286	338.518738
AT3G53970	1038	74.969917	15.440731	24.023539
AT3G50610	0	0.0	0.0	0.0
AT5G11325	0	0.0	0.0	0.0
AT3G14820	0	0.0	0.0	0.0
AT4G23020	884	39.969070	9.108250	14.171115
AT2G05185	170	20.620461	4.072537	6.336277
AT2G13542	0	0.0	0.0	0.0
AT3G08395	0	0.0	0.0	0.0
AT1G76860	1156	197.804276	38.127537	59.320919
AT5G15805	0	0.0	0.0	0.0
AT2G26850	0	0.0	0.0	0.0
AT5G23020	506	25.878180	5.524010	8.594559
AT5G42053	0	0.0	0.0	0.0
AT1G63770	15516	412.963043	92.702621	144.231827
AT1G18620	5407	118.284569	26.300709	40.920090
AT2G19050	0	0.0	0.0	0.0
AT1G04023	1	0.036813	0.007096	0.011040
AT4G08295	9	4.458144	0.859325	1.336984
AT5G02550	170	25.777443	4.968702	7.730579
AT1G05947	0	0.0	0.0	0.0
AT1G79210	2405	207.413254	42.025345	65.385338
AT5G41540	0	0.000000	0.000000	0.000000
AT1G29620	0	0.0	0.0	0.0
AT2G28050	331	18.702265	3.604934	5.608754
AT1G10610	1471	46.535831	12.725449	19.798952
AT4G02550	252	14.257464	3.208330	4.991696
AT4G16892	2	0.117669	0.022681	0.035289
AT4G02005	313	14.850921	3.245946	5.050221
AT1G13970	141	6.131988	1.271428	1.978158
AT2G30140	741	42.495167	8.534892	13.279054
AT5G65210	724	24.670727	7.075808	11.008930
AT1G78060	1851	74.776283	14.413417	22.425186
AT1G32700	996	42.374683	12.940044	20.132833
AT5G56369	0	0.0	0.0	0.0
AT1G10750	294	14.422666	2.780025	4.325315
AT5G37200	0	0.0	0.0	0.0
AT5G16470	2777	242.916779	46.826275	72.854889
AT3G08605	0	0.000000	0.000000	0.000000
AT1G63130	944	33.764156	7.068735	10.997927
AT5G63063	0	0.0	0.0	0.0
AT3G52470	968	87.790649	16.921988	26.328157
AT5G50030	1	0.035635	0.006869	0.010687
AT3G54620	1630	75.801750	17.903851	27.855795
