"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"1","UpstreamIntergenic","H3-3",0,"control1_leaves",-60,"No Expression",70
"2","Promotor1000","H3-3",0,"control1_leaves",-40,"No Expression",70
"3","Promotor500","H3-3",0,"control1_leaves",-20,"No Expression",70
"4","Gene20","H3-3",0,"control1_leaves",20,"No Expression",70
"5","Gene40","H3-3",0,"control1_leaves",40,"No Expression",70
"6","Gene60","H3-3",0,"control1_leaves",60,"No Expression",70
"7","Gene80","H3-3",0,"control1_leaves",80,"No Expression",70
"8","Gene100","H3-3",0,"control1_leaves",100,"No Expression",70
"9","Downstream","H3-3",0,"control1_leaves",120,"No Expression",70
"10","DownstreamIntergenic","H3-3",0,"control1_leaves",140,"No Expression",70
"11","UpstreamIntergenic","H3K9me2",0,"control1_leaves",-60,"No Expression",70
"12","Promotor1000","H3K9me2",0,"control1_leaves",-40,"No Expression",70
"13","Promotor500","H3K9me2",0,"control1_leaves",-20,"No Expression",70
"14","Gene20","H3K9me2",0,"control1_leaves",20,"No Expression",70
"15","Gene40","H3K9me2",0,"control1_leaves",40,"No Expression",70
"16","Gene60","H3K9me2",0,"control1_leaves",60,"No Expression",70
"17","Gene80","H3K9me2",0,"control1_leaves",80,"No Expression",70
"18","Gene100","H3K9me2",0,"control1_leaves",100,"No Expression",70
"19","Downstream","H3K9me2",0,"control1_leaves",120,"No Expression",70
"20","DownstreamIntergenic","H3K9me2",0,"control1_leaves",140,"No Expression",70
"21","UpstreamIntergenic","H3K27me3",0.121639361987931,"control1_leaves",-60,"No Expression",70
"22","Promotor1000","H3K27me3",0.137,"control1_leaves",-40,"No Expression",70
"23","Promotor500","H3K27me3",0.288228571428571,"control1_leaves",-20,"No Expression",70
"24","Gene20","H3K27me3",0.387182293653705,"control1_leaves",20,"No Expression",70
"25","Gene40","H3K27me3",0.398770260370326,"control1_leaves",40,"No Expression",70
"26","Gene60","H3K27me3",0.386109660847248,"control1_leaves",60,"No Expression",70
"27","Gene80","H3K27me3",0.336940550284201,"control1_leaves",80,"No Expression",70
"28","Gene100","H3K27me3",0.31577452895115,"control1_leaves",100,"No Expression",70
"29","Downstream","H3K27me3",0.261642857142857,"control1_leaves",120,"No Expression",70
"30","DownstreamIntergenic","H3K27me3",0.12237371596442,"control1_leaves",140,"No Expression",70
"31","UpstreamIntergenic","H2A-Z",0.0729928579391965,"control1_leaves",-60,"No Expression",70
"32","Promotor1000","H2A-Z",0.151971428571429,"control1_leaves",-40,"No Expression",70
"33","Promotor500","H2A-Z",0.359257142857143,"control1_leaves",-20,"No Expression",70
"34","Gene20","H2A-Z",0.606158521561583,"control1_leaves",20,"No Expression",70
"35","Gene40","H2A-Z",0.675140206899236,"control1_leaves",40,"No Expression",70
"36","Gene60","H2A-Z",0.690961540336944,"control1_leaves",60,"No Expression",70
"37","Gene80","H2A-Z",0.636911612149387,"control1_leaves",80,"No Expression",70
"38","Gene100","H2A-Z",0.540974342936088,"control1_leaves",100,"No Expression",70
"39","Downstream","H2A-Z",0.391,"control1_leaves",120,"No Expression",70
"40","DownstreamIntergenic","H2A-Z",0.0764727237183915,"control1_leaves",140,"No Expression",70
"41","UpstreamIntergenic","H2AK121ub",0,"control1_leaves",-60,"No Expression",70
"42","Promotor1000","H2AK121ub",0,"control1_leaves",-40,"No Expression",70
"43","Promotor500","H2AK121ub",0,"control1_leaves",-20,"No Expression",70
"44","Gene20","H2AK121ub",0,"control1_leaves",20,"No Expression",70
"45","Gene40","H2AK121ub",0,"control1_leaves",40,"No Expression",70
"46","Gene60","H2AK121ub",0,"control1_leaves",60,"No Expression",70
"47","Gene80","H2AK121ub",0,"control1_leaves",80,"No Expression",70
"48","Gene100","H2AK121ub",0,"control1_leaves",100,"No Expression",70
"49","Downstream","H2AK121ub",0,"control1_leaves",120,"No Expression",70
"50","DownstreamIntergenic","H2AK121ub",0,"control1_leaves",140,"No Expression",70
"51","UpstreamIntergenic","H3ac",0,"control1_leaves",-60,"No Expression",70
"52","Promotor1000","H3ac",0,"control1_leaves",-40,"No Expression",70
"53","Promotor500","H3ac",0,"control1_leaves",-20,"No Expression",70
"54","Gene20","H3ac",0,"control1_leaves",20,"No Expression",70
"55","Gene40","H3ac",0,"control1_leaves",40,"No Expression",70
"56","Gene60","H3ac",0,"control1_leaves",60,"No Expression",70
"57","Gene80","H3ac",0,"control1_leaves",80,"No Expression",70
"58","Gene100","H3ac",0,"control1_leaves",100,"No Expression",70
"59","Downstream","H3ac",0,"control1_leaves",120,"No Expression",70
"60","DownstreamIntergenic","H3ac",0,"control1_leaves",140,"No Expression",70
"61","UpstreamIntergenic","H3K4me3",0.00190808443985618,"control1_leaves",-60,"No Expression",70
"62","Promotor1000","H3K4me3",0.0420571428571429,"control1_leaves",-40,"No Expression",70
"63","Promotor500","H3K4me3",0.05,"control1_leaves",-20,"No Expression",70
"64","Gene20","H3K4me3",0.0637702062284788,"control1_leaves",20,"No Expression",70
"65","Gene40","H3K4me3",0.0522669411849832,"control1_leaves",40,"No Expression",70
"66","Gene60","H3K4me3",0.028221896493394,"control1_leaves",60,"No Expression",70
"67","Gene80","H3K4me3",0.00955853626775541,"control1_leaves",80,"No Expression",70
"68","Gene100","H3K4me3",0.00798667946041702,"control1_leaves",100,"No Expression",70
"69","Downstream","H3K4me3",0.0228571428571429,"control1_leaves",120,"No Expression",70
"70","DownstreamIntergenic","H3K4me3",0,"control1_leaves",140,"No Expression",70
"71","UpstreamIntergenic","H3K36me3",0.000936242924780179,"control1_leaves",-60,"No Expression",70
"72","Promotor1000","H3K36me3",0.0513571428571429,"control1_leaves",-40,"No Expression",70
"73","Promotor500","H3K36me3",0.0461428571428571,"control1_leaves",-20,"No Expression",70
"74","Gene20","H3K36me3",0.0420189189149222,"control1_leaves",20,"No Expression",70
"75","Gene40","H3K36me3",0.0397677302965422,"control1_leaves",40,"No Expression",70
"76","Gene60","H3K36me3",0.0168903849309764,"control1_leaves",60,"No Expression",70
"77","Gene80","H3K36me3",0,"control1_leaves",80,"No Expression",70
"78","Gene100","H3K36me3",0.00783921274289903,"control1_leaves",100,"No Expression",70
"79","Downstream","H3K36me3",0.0177142857142857,"control1_leaves",120,"No Expression",70
"80","DownstreamIntergenic","H3K36me3",0,"control1_leaves",140,"No Expression",70
"81","UpstreamIntergenic","H3K27ac",0,"control1_leaves",-60,"No Expression",70
"82","Promotor1000","H3K27ac",0,"control1_leaves",-40,"No Expression",70
"83","Promotor500","H3K27ac",0,"control1_leaves",-20,"No Expression",70
"84","Gene20","H3K27ac",0,"control1_leaves",20,"No Expression",70
"85","Gene40","H3K27ac",0,"control1_leaves",40,"No Expression",70
"86","Gene60","H3K27ac",0,"control1_leaves",60,"No Expression",70
"87","Gene80","H3K27ac",0,"control1_leaves",80,"No Expression",70
"88","Gene100","H3K27ac",0,"control1_leaves",100,"No Expression",70
"89","Downstream","H3K27ac",0,"control1_leaves",120,"No Expression",70
"90","DownstreamIntergenic","H3K27ac",0,"control1_leaves",140,"No Expression",70
"91","UpstreamIntergenic","H4K5ac",0,"control1_leaves",-60,"No Expression",70
"92","Promotor1000","H4K5ac",0,"control1_leaves",-40,"No Expression",70
"93","Promotor500","H4K5ac",0,"control1_leaves",-20,"No Expression",70
"94","Gene20","H4K5ac",0,"control1_leaves",20,"No Expression",70
"95","Gene40","H4K5ac",0,"control1_leaves",40,"No Expression",70
"96","Gene60","H4K5ac",0,"control1_leaves",60,"No Expression",70
"97","Gene80","H4K5ac",0,"control1_leaves",80,"No Expression",70
"98","Gene100","H4K5ac",0,"control1_leaves",100,"No Expression",70
"99","Downstream","H4K5ac",0,"control1_leaves",120,"No Expression",70
"100","DownstreamIntergenic","H4K5ac",0,"control1_leaves",140,"No Expression",70
"101","UpstreamIntergenic","H4K8ac",0,"control1_leaves",-60,"No Expression",70
"102","Promotor1000","H4K8ac",0,"control1_leaves",-40,"No Expression",70
"103","Promotor500","H4K8ac",0,"control1_leaves",-20,"No Expression",70
"104","Gene20","H4K8ac",0,"control1_leaves",20,"No Expression",70
"105","Gene40","H4K8ac",0,"control1_leaves",40,"No Expression",70
"106","Gene60","H4K8ac",0,"control1_leaves",60,"No Expression",70
"107","Gene80","H4K8ac",0,"control1_leaves",80,"No Expression",70
"108","Gene100","H4K8ac",0,"control1_leaves",100,"No Expression",70
"109","Downstream","H4K8ac",0,"control1_leaves",120,"No Expression",70
"110","DownstreamIntergenic","H4K8ac",0,"control1_leaves",140,"No Expression",70
"111","UpstreamIntergenic","H3-1",0,"control1_leaves",-60,"No Expression",70
"112","Promotor1000","H3-1",0,"control1_leaves",-40,"No Expression",70
"113","Promotor500","H3-1",0,"control1_leaves",-20,"No Expression",70
"114","Gene20","H3-1",0,"control1_leaves",20,"No Expression",70
"115","Gene40","H3-1",0,"control1_leaves",40,"No Expression",70
"116","Gene60","H3-1",0,"control1_leaves",60,"No Expression",70
"117","Gene80","H3-1",0,"control1_leaves",80,"No Expression",70
"118","Gene100","H3-1",0,"control1_leaves",100,"No Expression",70
"119","Downstream","H3-1",0,"control1_leaves",120,"No Expression",70
"120","DownstreamIntergenic","H3-1",0,"control1_leaves",140,"No Expression",70
"121","UpstreamIntergenic","H3K9ac",0.00155565839592752,"control1_leaves",-60,"No Expression",70
"122","Promotor1000","H3K9ac",0.0329571428571429,"control1_leaves",-40,"No Expression",70
"123","Promotor500","H3K9ac",0.0378857142857143,"control1_leaves",-20,"No Expression",70
"124","Gene20","H3K9ac",0.0615147937740478,"control1_leaves",20,"No Expression",70
"125","Gene40","H3K9ac",0.0579482831708351,"control1_leaves",40,"No Expression",70
"126","Gene60","H3K9ac",0.0379257415403394,"control1_leaves",60,"No Expression",70
"127","Gene80","H3K9ac",0.00593734853600695,"control1_leaves",80,"No Expression",70
"128","Gene100","H3K9ac",0.00759157870972501,"control1_leaves",100,"No Expression",70
"129","Downstream","H3K9ac",0.0239285714285714,"control1_leaves",120,"No Expression",70
"130","DownstreamIntergenic","H3K9ac",0,"control1_leaves",140,"No Expression",70
"131","UpstreamIntergenic","H4K12ac",0,"control1_leaves",-60,"No Expression",70
"132","Promotor1000","H4K12ac",0,"control1_leaves",-40,"No Expression",70
"133","Promotor500","H4K12ac",0,"control1_leaves",-20,"No Expression",70
"134","Gene20","H4K12ac",0,"control1_leaves",20,"No Expression",70
"135","Gene40","H4K12ac",0,"control1_leaves",40,"No Expression",70
"136","Gene60","H4K12ac",0,"control1_leaves",60,"No Expression",70
"137","Gene80","H4K12ac",0,"control1_leaves",80,"No Expression",70
"138","Gene100","H4K12ac",0,"control1_leaves",100,"No Expression",70
"139","Downstream","H4K12ac",0,"control1_leaves",120,"No Expression",70
"140","DownstreamIntergenic","H4K12ac",0,"control1_leaves",140,"No Expression",70
"141","UpstreamIntergenic","H3K27me1",0.00490957072484166,"control1_leaves",-60,"No Expression",70
"142","Promotor1000","H3K27me1",0.0683,"control1_leaves",-40,"No Expression",70
