"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"1","UpstreamIntergenic","H3-3",0,"control1_root",-60,"No Expression",64
"2","Promotor1000","H3-3",0,"control1_root",-40,"No Expression",64
"3","Promotor500","H3-3",0,"control1_root",-20,"No Expression",64
"4","Gene20","H3-3",0,"control1_root",20,"No Expression",64
"5","Gene40","H3-3",0,"control1_root",40,"No Expression",64
"6","Gene60","H3-3",0,"control1_root",60,"No Expression",64
"7","Gene80","H3-3",0,"control1_root",80,"No Expression",64
"8","Gene100","H3-3",0,"control1_root",100,"No Expression",64
"9","Downstream","H3-3",0,"control1_root",120,"No Expression",64
"10","DownstreamIntergenic","H3-3",0,"control1_root",140,"No Expression",64
"11","UpstreamIntergenic","H3K9me2",0,"control1_root",-60,"No Expression",64
"12","Promotor1000","H3K9me2",0,"control1_root",-40,"No Expression",64
"13","Promotor500","H3K9me2",0,"control1_root",-20,"No Expression",64
"14","Gene20","H3K9me2",0,"control1_root",20,"No Expression",64
"15","Gene40","H3K9me2",0,"control1_root",40,"No Expression",64
"16","Gene60","H3K9me2",0,"control1_root",60,"No Expression",64
"17","Gene80","H3K9me2",0,"control1_root",80,"No Expression",64
"18","Gene100","H3K9me2",0,"control1_root",100,"No Expression",64
"19","Downstream","H3K9me2",0,"control1_root",120,"No Expression",64
"20","DownstreamIntergenic","H3K9me2",0,"control1_root",140,"No Expression",64
"21","UpstreamIntergenic","H3K27me3",0.0033891107953519,"control1_root",-60,"No Expression",64
"22","Promotor1000","H3K27me3",0.0595,"control1_root",-40,"No Expression",64
"23","Promotor500","H3K27me3",0.04725,"control1_root",-20,"No Expression",64
"24","Gene20","H3K27me3",0.0753598773096365,"control1_root",20,"No Expression",64
"25","Gene40","H3K27me3",0.0598529898627135,"control1_root",40,"No Expression",64
"26","Gene60","H3K27me3",0.046875,"control1_root",60,"No Expression",64
"27","Gene80","H3K27me3",0.0497442705254724,"control1_root",80,"No Expression",64
"28","Gene100","H3K27me3",0.0260646267049855,"control1_root",100,"No Expression",64
"29","Downstream","H3K27me3",0,"control1_root",120,"No Expression",64
"30","DownstreamIntergenic","H3K27me3",0.00537649907749077,"control1_root",140,"No Expression",64
"31","UpstreamIntergenic","H2A-Z",0,"control1_root",-60,"No Expression",64
"32","Promotor1000","H2A-Z",0,"control1_root",-40,"No Expression",64
"33","Promotor500","H2A-Z",0,"control1_root",-20,"No Expression",64
"34","Gene20","H2A-Z",0,"control1_root",20,"No Expression",64
"35","Gene40","H2A-Z",0,"control1_root",40,"No Expression",64
"36","Gene60","H2A-Z",0,"control1_root",60,"No Expression",64
"37","Gene80","H2A-Z",0,"control1_root",80,"No Expression",64
"38","Gene100","H2A-Z",0,"control1_root",100,"No Expression",64
"39","Downstream","H2A-Z",0,"control1_root",120,"No Expression",64
"40","DownstreamIntergenic","H2A-Z",0,"control1_root",140,"No Expression",64
"41","UpstreamIntergenic","H2AK121ub",0,"control1_root",-60,"No Expression",64
"42","Promotor1000","H2AK121ub",0,"control1_root",-40,"No Expression",64
"43","Promotor500","H2AK121ub",0,"control1_root",-20,"No Expression",64
"44","Gene20","H2AK121ub",0,"control1_root",20,"No Expression",64
"45","Gene40","H2AK121ub",0,"control1_root",40,"No Expression",64
"46","Gene60","H2AK121ub",0,"control1_root",60,"No Expression",64
"47","Gene80","H2AK121ub",0,"control1_root",80,"No Expression",64
"48","Gene100","H2AK121ub",0,"control1_root",100,"No Expression",64
"49","Downstream","H2AK121ub",0,"control1_root",120,"No Expression",64
"50","DownstreamIntergenic","H2AK121ub",0,"control1_root",140,"No Expression",64
"51","UpstreamIntergenic","H3ac",0.0064852105656616,"control1_root",-60,"No Expression",64
"52","Promotor1000","H3ac",0.06509375,"control1_root",-40,"No Expression",64
"53","Promotor500","H3ac",0.0615,"control1_root",-20,"No Expression",64
"54","Gene20","H3ac",0.0709069293479722,"control1_root",20,"No Expression",64
"55","Gene40","H3ac",0.0638553304252925,"control1_root",40,"No Expression",64
"56","Gene60","H3ac",0.0354438836104193,"control1_root",60,"No Expression",64
"57","Gene80","H3ac",0.03125,"control1_root",80,"No Expression",64
"58","Gene100","H3ac",0.03125,"control1_root",100,"No Expression",64
"59","Downstream","H3ac",0.055703125,"control1_root",120,"No Expression",64
"60","DownstreamIntergenic","H3ac",0.015625,"control1_root",140,"No Expression",64
"61","UpstreamIntergenic","H3K4me3",0,"control1_root",-60,"No Expression",64
"62","Promotor1000","H3K4me3",0.050796875,"control1_root",-40,"No Expression",64
"63","Promotor500","H3K4me3",0.038375,"control1_root",-20,"No Expression",64
"64","Gene20","H3K4me3",0.0656758532377964,"control1_root",20,"No Expression",64
"65","Gene40","H3K4me3",0.0514801290270087,"control1_root",40,"No Expression",64
"66","Gene60","H3K4me3",0.0114217633170422,"control1_root",60,"No Expression",64
"67","Gene80","H3K4me3",0.0143579070299388,"control1_root",80,"No Expression",64
"68","Gene100","H3K4me3",0.0179404627492193,"control1_root",100,"No Expression",64
"69","Downstream","H3K4me3",0,"control1_root",120,"No Expression",64
"70","DownstreamIntergenic","H3K4me3",0.00873500922509225,"control1_root",140,"No Expression",64
"71","UpstreamIntergenic","H3K36me3",0,"control1_root",-60,"No Expression",64
