"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"1","UpstreamIntergenic","H3-3",0,-60,"No Expression","control1_root"
"2","UpstreamIntergenic","H3K9me2",0,-60,"No Expression","control1_root"
"3","UpstreamIntergenic","H3K27me3",3.44827586206897,-60,"No Expression","control1_root"
"4","UpstreamIntergenic","H2A-Z",0,-60,"No Expression","control1_root"
"5","UpstreamIntergenic","H2AK121ub",0,-60,"No Expression","control1_root"
"6","UpstreamIntergenic","H3ac",3.44827586206897,-60,"No Expression","control1_root"
"7","UpstreamIntergenic","H3K4me3",0,-60,"No Expression","control1_root"
"8","UpstreamIntergenic","H3K36me3",0,-60,"No Expression","control1_root"
"9","UpstreamIntergenic","H3K27ac",0,-60,"No Expression","control1_root"
"10","UpstreamIntergenic","H4K5ac",0,-60,"No Expression","control1_root"
"11","UpstreamIntergenic","H4K8ac",0,-60,"No Expression","control1_root"
"12","UpstreamIntergenic","H3-1",0,-60,"No Expression","control1_root"
"13","UpstreamIntergenic","H3K9ac",0,-60,"No Expression","control1_root"
"14","UpstreamIntergenic","H4K12ac",0,-60,"No Expression","control1_root"
"15","UpstreamIntergenic","H3K27me1",0,-60,"No Expression","control1_root"
"16","UpstreamIntergenic","H4K16ac",0,-60,"No Expression","control1_root"
"17","UpstreamIntergenic","H3K14ac",0,-60,"No Expression","control1_root"
"18","UpstreamIntergenic","H2A",0,-60,"No Expression","control1_root"
"19","UpstreamIntergenic","H3",0,-60,"No Expression","control1_root"
"20","UpstreamIntergenic","H2A-X",0,-60,"No Expression","control1_root"
"21","UpstreamIntergenic","H3K18ac",0,-60,"No Expression","control1_root"
"22","Promotor1000","H3-3",0,-40,"No Expression","control1_root"
"23","Promotor1000","H3K9me2",0,-40,"No Expression","control1_root"
"24","Promotor1000","H3K27me3",18.9655172413793,-40,"No Expression","control1_root"
"25","Promotor1000","H2A-Z",0,-40,"No Expression","control1_root"
"26","Promotor1000","H2AK121ub",0,-40,"No Expression","control1_root"
"27","Promotor1000","H3ac",12.0689655172414,-40,"No Expression","control1_root"
"28","Promotor1000","H3K4me3",12.0689655172414,-40,"No Expression","control1_root"
"29","Promotor1000","H3K36me3",0,-40,"No Expression","control1_root"
"30","Promotor1000","H3K27ac",0,-40,"No Expression","control1_root"
"31","Promotor1000","H4K5ac",0,-40,"No Expression","control1_root"
"32","Promotor1000","H4K8ac",0,-40,"No Expression","control1_root"
"33","Promotor1000","H3-1",0,-40,"No Expression","control1_root"
"34","Promotor1000","H3K9ac",0,-40,"No Expression","control1_root"
"35","Promotor1000","H4K12ac",0,-40,"No Expression","control1_root"
"36","Promotor1000","H3K27me1",0,-40,"No Expression","control1_root"
"37","Promotor1000","H4K16ac",0,-40,"No Expression","control1_root"
"38","Promotor1000","H3K14ac",0,-40,"No Expression","control1_root"
"39","Promotor1000","H2A",0,-40,"No Expression","control1_root"
"40","Promotor1000","H3",0,-40,"No Expression","control1_root"
