"","geneId","FPKM","tissue","ExpressionLevel"
"1","AT4G27190",0.132362882352941,"root","No Expression"
"2","AT5G46270",1.10864605882353,"root","Low Expression"
"3","AT5G45200",1.76749852941176,"root","Low Expression"
"4","AT1G53350",2.36881329411765,"root","Low Expression"
"5","AT5G48780",2.19471588235294,"root","Low Expression"
"6","AT5G46510",7.41300929411765,"root","Low Expression"
"7","AT1G72950",1.78996117647059,"root","Low Expression"
"8","AT5G45210",5.00470364705882,"root","Low Expression"
"9","AT5G45490",52.4564679411765,"root","Intermediate Expression"
"10","AT1G58602",0.234525,"root","No Expression"
"11","AT5G11250",1.68603182352941,"root","Low Expression"
"12","AT3G51570",0.291332647058824,"root","No Expression"
"13","AT1G59124",0.711192,"root","No Expression"
"14","AT5G40090",3.19611929411765,"root","Low Expression"
"15","AT5G41750",4.33432817647059,"root","Low Expression"
"16","AT1G61190",0.694664882352941,"root","No Expression"
"17","AT5G66910",6.54990670588235,"root","Low Expression"
"18","AT3G50950",9.77646405882353,"root","Low Expression"
"19","AT1G59620",0.705842470588235,"root","No Expression"
"20","AT5G45000",4.17409452941176,"root","Low Expression"
"21","AT5G18360",0.584421294117647,"root","No Expression"
"22","AT5G48770",2.023586,"root","Low Expression"
"23","AT1G61180",5.73128811764706,"root","Low Expression"
"24","AT1G12210",1.17428176470588,"root","Low Expression"
"25","AT5G66900",2.75409023529412,"root","Low Expression"
"26","AT3G14470",5.28382117647059,"root","Low Expression"
"27","AT5G47260",0.00901311764705882,"root","No Expression"
"28","AT1G31540",6.12387358823529,"root","Low Expression"
"29","AT4G16860",1.68004005882353,"root","Low Expression"
"30","AT1G72870",4.47763035294118,"root","Low Expression"
"31","AT4G19510",3.74606852941176,"root","Low Expression"
"32","AT5G45250",4.86230576470588,"root","Low Expression"
"33","AT1G72900",5.68710282352941,"root","Low Expression"
"34","AT4G16940",1.81884776470588,"root","Low Expression"
"35","AT1G59218",1.40122876470588,"root","Low Expression"
"36","AT1G58390",0.105228294117647,"root","No Expression"
"37","AT4G36140",5.02192564705882,"root","Low Expression"
"38","AT2G17050",1.17389852941176,"root","Low Expression"
"39","AT1G58807",0.879398294117647,"root","No Expression"
"40","AT4G16930",0.00394758823529412,"root","No Expression"
"41","AT5G44510",2.66612947058824,"root","Low Expression"
"42","AT5G58120",0.605804294117647,"root","No Expression"
"43","AT4G16920",3.611439,"root","Low Expression"
"44","AT1G56510",0.338876058823529,"root","No Expression"
"45","AT5G22690",3.45634876470588,"root","Low Expression"
"46","AT1G57650",0.00544341176470588,"root","No Expression"
"47","AT5G05400",4.77885470588235,"root","Low Expression"
"48","AT1G63860",0.444198647058824,"root","No Expression"
"49","AT1G72910",0.0585578823529412,"root","No Expression"
"50","AT4G16960",1.18097970588235,"root","Low Expression"
"51","AT5G46470",6.49761447058824,"root","Low Expression"
"52","AT1G65850",0.723164117647059,"root","No Expression"
