geneId	readCount	Coverage	FPKM	TPM
AT3G17480	0	0.0	0.0	0.0
AT3G05585	0	0.0	0.0	0.0
AT2G09775	0	0.000000	0.000000	0.000000
AT3G51340	17	0.573176	0.534358	0.844235
AT4G30130	67	1.515257	1.218218	1.924669
AT2G41530	2039	108.920578	99.785851	157.652130
AT2G38920	7	0.343634	0.278856	0.440566
AT3G61182	0	0.000000	0.000000	0.000000
AT1G71697	248	11.096468	8.921206	14.094653
AT1G71350	383	16.058737	12.910710	20.397692
AT3G44428	0	0.0	0.0	0.0
AT2G21360	0	0.0	0.0	0.0
AT1G26921	1	0.166667	0.133995	0.211699
AT4G24570	101	7.149329	5.747832	9.081026
AT2G27610	19	0.600798	0.483022	0.763129
AT1G59740	250	9.601902	7.719621	12.196266
AT3G11825	0	0.0	0.0	0.0
AT4G32790	159	5.400885	5.209183	8.230012
AT4G33950	378	16.289421	13.746969	21.718903
AT1G54220	705	27.272564	22.266949	35.179657
AT1G07193	0	0.0	0.0	0.0
AT1G05117	0	0.0	0.0	0.0
AT1G68440	1489	73.204285	58.853901	92.983559
AT5G24570	440	82.641586	66.441185	104.970741
AT3G30540	0	0.0	0.0	0.0
AT2G30910	309	14.474401	12.997968	20.535551
AT1G09450	71	2.725170	2.190949	3.461491
AT1G77235	1	0.000267	0.000215	0.000339
AT2G33670	0	0.000000	0.000000	0.000000
AT3G04950	51	3.916206	3.277897	5.178765
AT1G80380	3962	124.071556	157.068329	248.153015
AT3G10210	203	12.035863	11.595412	18.319647
AT4G18320	0	0.0	0.0	0.0
AT4G04895	0	0.0	0.0	0.0
AT3G24740	519	15.814372	19.052364	30.100922
AT2G07940	0	0.0	0.0	0.0
AT3G07510	230	19.601254	18.598539	29.383921
AT3G07460	935	58.371044	47.065903	74.359650
AT4G30770	0	0.0	0.0	0.0
AT3G61070	610	28.235538	32.170273	50.825966
AT5G18320	7	0.300115	0.241283	0.381204
AT2G09135	0	0.0	0.0	0.0
AT1G77760	15606	420.429169	338.011597	534.026123
AT2G27750	0	0.000000	0.000000	0.000000
AT5G04895	116	2.483367	1.996547	3.154355
AT3G05845	0	0.0	0.0	0.0
AT4G25790	39	3.620267	2.910579	4.598437
AT3G20060	1062	88.340843	72.525436	114.583290
AT4G10310	58	2.511917	2.019501	3.190619
AT3G18220	0	0.0	0.0	0.0
AT4G09915	0	0.0	0.0	0.0
AT3G02242	0	0.000000	0.000000	0.000000
AT1G09407	0	0.0	0.0	0.0
AT5G25790	31	1.455378	1.219598	1.926849
AT2G25685	0	0.0	0.0	0.0
AT3G60805	0	0.0	0.0	0.0
AT1G01800	1079	68.887596	59.573902	94.121094
AT1G78990	6	0.298590	0.240057	0.379267
AT5G10310	20	1.866205	1.532179	2.420696
AT2G13350	0	0.0	0.0	0.0
AT5G09915	0	0.0	0.0	0.0
AT1G33415	281	3.453198	4.556924	7.199506
AT1G13980	990	17.049280	14.025540	22.159016
AT4G03555	0	0.0	0.0	0.0
AT2G22810	0	0.0	0.0	0.0
AT2G05260	161	9.782079	7.864478	12.425126
AT1G07323	149	30.107143	24.205179	38.241879
AT4G03000	659	16.106710	15.430995	24.379501
AT1G09717	0	0.0	0.0	0.0
AT1G36390	550	36.766239	36.100304	57.035046
AT5G64920	589	32.155636	25.852100	40.843857
AT5G48160	2606	86.989395	80.633003	127.392464
AT3G19340	422	19.718454	15.853006	25.046238
AT5G03555	1094	43.542862	35.007069	55.307827
AT4G28240	300	19.410583	15.605488	24.655184
AT1G61940	0	0.0	0.0	0.0
AT5G03000	0	0.0	0.0	0.0
AT2G20562	32	4.110765	3.304924	5.221464
AT1G55140	412	40.296066	32.553699	51.431747
AT1G77500	243	5.998835	4.822871	7.619677
AT5G14720	1561	40.848827	35.234631	55.667358
AT5G06510	4	0.120471	0.128635	0.203231
AT5G06460	765	18.525806	14.894156	23.531345
AT1G63780	275	18.985353	15.263616	24.115059
AT1G08530	18	0.926467	0.922863	1.458035
AT5G19240	145	8.833333	7.101717	11.220036
AT4G21585	60	2.665586	2.918945	4.611655
AT2G31420	9	0.985770	0.792527	1.252118
AT4G14720	428	18.365246	18.174644	28.714207
AT4G06460	0	0.0	0.0	0.0
AT2G08525	0	0.000000	0.000000	0.000000
AT1G09600	17	0.464839	0.373716	0.590435
AT1G11740	14	0.389983	1.462671	2.310881
AT4G16143	1885	61.849361	51.493618	81.355011
AT3G28340	74	3.584819	2.882080	4.553411
AT4G19240	0	0.0	0.0	0.0
AT2G31150	295	12.236976	9.838137	15.543319
AT5G45630	2	0.199528	0.160414	0.253439
AT4G39510	161	6.794935	5.462910	8.630877
AT4G39460	839	41.885319	39.634571	62.618847
AT5G40550	93	4.795426	4.528529	7.154644
AT2G24830	285	14.157601	11.382258	17.982883
AT2G43510	1141	127.365311	102.397629	161.778503
AT3G43940	0	0.0	0.0	0.0
AT2G43460	3563	473.862274	380.970093	601.896423
AT2G35810	240	19.423809	17.998821	28.436422
AT5G39510	1196	78.528244	67.687134	106.939217
AT1G03960	138	4.018396	3.699244	5.844453
AT3G01790	490	21.188478	24.865469	39.285072
AT5G39460	0	0.0	0.0	0.0
AT2G15280	356	11.201610	11.842400	18.709862
AT1G71490	79	2.284966	1.837039	2.902347
AT4G29190	311	17.225048	13.848387	21.879131
AT1G49380	516	20.637777	16.592112	26.213957
AT5G18190	1230	24.281630	26.961735	42.596973
AT3G22980	401	9.405309	8.103262	12.802381
AT4G16480	250	8.182311	7.755335	12.252691
AT5G41870	302	16.577044	13.327412	21.056042
AT5G67160	55	2.754491	2.214523	3.498734
AT1G09657	0	0.000000	0.000000	0.000000
AT4G18190	0	0.0	0.0	0.0
AT4G35025	0	0.000000	0.000000	0.000000
AT5G16480	280	16.156984	16.438576	25.971382
AT3G52480	137	9.182250	7.382235	11.663228
AT1G05720	281	28.357864	22.798815	36.019955
AT2G46000	196	17.870255	14.367112	22.698668
AT1G09390	251	10.644958	11.420462	18.043242
AT4G07345	0	0.000000	0.000000	0.000000
AT5G53200	0	0.000000	0.000000	0.000000
AT3G25040	580	32.606884	33.321877	52.645390
AT1G35890	0	0.0	0.0	0.0
AT1G61860	37	0.836794	0.811967	1.282830
AT5G16910	746	13.673579	11.316713	17.879330
AT3G62850	0	0.000000	0.000000	0.000000
AT3G50685	136	16.974752	13.647158	21.561207
AT3G52910	139	7.253391	6.984433	11.034739
AT5G66607	2	0.414110	0.332931	0.526000
AT5G07345	0	0.000000	0.000000	0.000000
AT3G22560	5	0.447132	0.359480	0.567944
AT1G21550	6	0.434783	0.349552	0.552258
AT3G22410	20	0.975876	0.810167	1.279987
AT5G38640	588	21.537823	17.315720	27.357185
AT3G13890	0	0.0	0.0	0.0
AT5G66710	0	0.000000	0.000000	0.000000
ATMG01070	0	0.000000	0.000000	0.000000
AT4G24090	461	25.309586	26.909456	42.514378
AT2G16130	0	0.0	0.0	0.0
AT4G13955	0	0.000000	0.000000	0.000000
AT3G07245	0	0.000000	0.000000	0.000000
AT1G68730	296	23.190779	32.516956	51.373695
AT5G42230	0	0.000000	0.000000	0.000000
AT1G02575	2	0.082139	0.066037	0.104332
AT1G45688	1401	68.521591	59.366188	93.792923
AT1G29930	37141	2566.643799	2063.499268	3260.132324
AT4G38640	669	25.879381	20.806194	32.871803
AT5G24090	57	3.801731	3.063701	4.840355
AT1G47265	2	0.143098	0.115046	0.181762
AT3G53300	0	0.0	0.0	0.0
AT1G40087	0	0.0	0.0	0.0
AT2G09310	0	0.000000	0.000000	0.000000
AT1G20870	25	1.203072	0.967231	1.528133
AT2G04255	0	0.0	0.0	0.0
AT2G29925	0	0.0	0.0	0.0
AT3G32040	11	0.626382	0.503591	0.795626
AT3G54930	70	2.703089	2.362106	3.731903
AT1G22890	120	13.583893	11.590559	18.311979
AT1G03840	15	0.660426	0.530961	0.838868
AT5G42765	393	22.328800	26.635063	42.080860
AT5G51465	0	0.000000	0.000000	0.000000
AT2G36310	456	20.857065	18.158388	28.688522
AT1G47730	0	0.0	0.0	0.0
AT3G61590	131	4.099065	3.945933	6.234198
AT3G48400	0	0.000000	0.000000	0.000000
AT3G24430	1599	65.962357	56.576775	89.385918
AT3G43860	0	0.0	0.0	0.0
AT2G22088	4	0.660520	0.531037	0.838988
AT3G44310	15092	519.102234	585.404419	924.883240
AT5G66650	68	1.458440	1.172539	1.852500
AT5G44210	90	6.614847	5.318125	8.402131
AT5G07620	69	4.541241	3.651013	5.768251
AT3G06100	0	0.0	0.0	0.0
AT3G45577	0	0.0	0.0	0.0
AT1G26200	10	0.498764	0.429670	0.678838
AT2G02660	0	0.0	0.0	0.0
AT3G53690	15	0.874541	0.703103	1.110836
AT2G16770	94	5.034307	4.255606	6.723452
AT1G68170	12	0.545666	0.438698	0.693101
AT1G65520	188	15.550343	12.501977	19.751934
AT1G13410	35	1.355535	1.089807	1.721791
AT1G13560	976	39.653175	38.032993	60.088501
AT1G32970	5	0.161248	0.129638	0.204816
AT4G07100	0	0.000000	0.000000	0.000000
AT1G13700	239	12.366538	16.381153	25.880661
AT2G37210	0	0.000000	0.000000	0.000000
AT3G20993	0	0.0	0.0	0.0
AT1G62310	335	4.867031	4.503808	7.115587
