geneId	readCount	Coverage	FPKM	TPM
AT5G47340	0	0.000000	0.000000	0.000000
AT3G02335	0	0.0	0.0	0.0
AT5G36350	0	0.0	0.0	0.0
AT3G56780	6	0.444505	0.041468	0.076863
AT1G65800	2406	97.099098	9.186406	17.027651
AT2G38740	2197	243.489883	21.796036	40.400486
AT3G12870	1118	166.019516	14.861262	27.546398
AT4G36350	7	0.617416	0.055268	0.102443
AT5G56870	1717	61.689171	5.522116	10.235631
AT1G18420	90	6.959389	0.650282	1.205344
AT1G07175	17	2.878327	0.412351	0.764321
AT4G12780	2838	103.503067	10.485106	19.434881
AT1G07260	375	29.104185	2.605266	4.829043
AT1G15215	548	59.985485	6.204791	11.501017
AT1G59920	6	1.680984	0.150474	0.278913
AT5G58070	7944	855.541260	76.583916	141.953659
AT5G60615	0	0.000000	0.000000	0.000000
AT5G62980	1385	158.334167	21.814365	40.434464
AT4G02235	0	0.0	0.0	0.0
AT3G54150	61	5.477232	0.543654	1.007702
AT2G44250	9	0.895349	0.081570	0.151196
AT3G27160	21478	2179.510254	247.328949	458.441650
AT1G10410	2868	102.877159	11.509516	21.333698
AT3G05070	1342	201.269165	18.016642	33.395111
AT1G10560	105	5.555902	0.497337	0.921850
AT1G29420	24	4.504841	0.403252	0.747455
AT3G50690	8752	380.595551	38.143410	70.701500
AT1G74140	4	0.461083	0.041274	0.076504
AT3G03865	0	0.000000	0.000000	0.000000
AT1G29150	6593	360.390656	43.209316	80.091499
AT4G37030	144	8.027903	0.780569	1.446839
AT2G16950	4550	174.550827	16.134342	29.906141
AT5G50200	1486	154.811401	16.581644	30.735245
AT3G08405	0	0.000000	0.000000	0.000000
AT3G04315	0	0.0	0.0	0.0
AT3G09250	1725	159.332047	18.505777	34.301758
AT4G02760	581	21.695063	2.520278	4.671512
AT4G16670	433	23.015354	3.322392	6.158288
AT5G37030	0	0.0	0.0	0.0
AT1G35545	0	0.0	0.0	0.0
AT5G02760	1260	80.889282	9.829454	18.219587
AT3G54420	510	24.532820	3.012645	5.584150
AT1G55917	1	0.001214	0.000109	0.000201
AT1G40083	0	0.0	0.0	0.0
AT4G04215	0	0.0	0.0	0.0
AT4G09350	1143	122.250778	10.943297	20.284172
AT4G10955	596	60.589535	5.774333	10.703133
AT3G10890	0	0.000000	0.000000	0.000000
AT1G18150	4753	275.715363	25.775999	47.777630
AT1G17280	2028	120.390755	19.752377	36.612423
AT1G22885	192	34.362282	3.115723	5.775212
AT5G04215	0	0.000000	0.000000	0.000000
AT1G55673	22	6.163488	0.551726	1.022662
AT5G09350	1000	30.246284	2.848984	5.280792
AT1G23870	1645	68.872169	6.745809	12.503832
AT3G50300	404	33.463963	2.995532	5.552429
AT2G26800	2470	140.044525	17.449657	32.344170
AT1G34630	785	54.264751	5.509370	10.212006
AT4G21070	666	29.106926	2.605511	4.829498
AT1G52280	645	80.759857	7.229231	13.399889
AT5G64740	15340	503.733337	45.091766	83.580765
AT1G75220	3456	199.067490	17.819557	33.029804
AT2G33480	489	45.519829	5.270936	9.770052
AT5G49480	3112	356.965668	31.953838	59.228687
