geneId	readCount	Coverage	FPKM	TPM
AT1G33265	1298	207.214890	31.464979	54.366261
AT3G24982	19	0.646505	0.094752	0.163715
AT1G43970	0	0.0	0.0	0.0
AT1G71750	399	67.623352	10.749457	18.573277
AT1G06533	0	0.0	0.0	0.0
AT4G39390	1099	86.436325	13.279627	22.944992
ATMG00550	0	0.0	0.0	0.0
AT1G46408	0	0.0	0.0	0.0
AT5G24470	833	48.011860	8.537186	14.750840
AT5G62470	154	10.453973	1.771075	3.060123
AT5G51300	2895	113.631569	19.323778	33.388279
AT3G55672	0	0.0	0.0	0.0
AT3G29796	0	0.0	0.0	0.0
AT4G11655	15	1.734272	0.274713	0.474658
AT1G70630	254	13.027910	2.106310	3.639354
AT1G55625	0	0.0	0.0	0.0
AT3G08635	0	0.000000	0.000000	0.000000
AT2G28305	324	19.008602	5.149226	8.897008
AT2G07676	0	0.0	0.0	0.0
AT2G44410	1214	87.627754	12.842709	22.190069
AT5G60022	10	1.126098	0.165041	0.285163
AT1G18170	1077	129.921234	19.041235	32.900093
AT2G38140	5580	1161.874390	188.671371	325.992828
AT3G66654	1847	150.061157	27.975420	48.336887
AT1G77145	36	3.225490	0.562554	0.971999
AT3G02205	2	1.663934	0.243866	0.421360
AT1G32240	265	14.125572	2.858778	4.939494
AT5G41020	1109	81.584709	11.957041	20.659784
AT1G50940	575	58.227173	8.533764	14.744928
AT3G47510	123	22.099873	3.646770	6.301014
AT4G03157	0	0.0	0.0	0.0
AT5G45960	25	2.364011	0.346469	0.598641
AT5G58540	93	5.885770	1.079215	1.864705
AT5G27680	320	12.481884	1.880721	3.249574
AT3G60720	83	5.465812	1.172078	2.025156
AT2G34200	185	16.578848	3.192939	5.516869
AT3G48835	32	3.217582	0.471568	0.814792
AT5G39645	0	0.0	0.0	0.0
AT4G30990	3356	47.256699	7.797650	13.473045
AT3G23326	6	2.600000	0.381056	0.658401
AT5G38420	97175	14654.079102	2147.699463	3710.867920
AT2G32310	0	0.0	0.0	0.0
AT5G14990	0	0.0	0.0	0.0
AT1G13143	55	5.068439	0.742830	1.283486
AT1G52880	212	17.579752	2.576485	4.451739
AT1G73610	0	0.0	0.0	0.0
AT3G01640	1277	122.477524	19.082417	32.971249
AT3G05990	683	44.107288	6.464357	11.169335
AT1G28030	0	0.0	0.0	0.0
AT1G45100	0	0.0	0.0	0.0
AT1G04920	15	0.560949	0.082213	0.142050
AT4G08515	0	0.0	0.0	0.0
AT3G04315	0	0.0	0.0	0.0
AT2G05830	2915	227.118073	37.554432	64.887825
AT1G61330	0	0.000000	0.000000	0.000000
AT4G33720	276	44.249714	6.485230	11.205401
AT5G35320	546	64.757607	9.490864	16.398638
AT1G02460	106	7.167869	1.050522	1.815127
AT5G54865	0	0.0	0.0	0.0
AT2G36730	286	23.969606	3.512981	6.069849
AT1G05223	0	0.0	0.0	0.0
AT3G43210	435	16.212517	2.831133	4.891728
AT1G78060	1951	110.074356	16.132479	27.874247
AT4G11910	9	0.898396	0.131669	0.227502
AT1G03445	21	0.981283	0.151775	0.262242
AT5G07675	0	0.0	0.0	0.0
AT2G45630	311	32.619583	5.345352	9.235881
AT2G04740	881	56.173767	8.790541	15.188597
AT4G34850	8	0.705270	0.120448	0.208114
AT3G49990	2364	173.138184	25.375103	43.843964
AT5G04010	0	0.0	0.0	0.0
AT1G09100	1650	152.630234	22.369461	38.650719
AT1G68820	833	48.681404	8.654047	14.952758
AT3G57157	123	72.835442	10.674749	18.444197
AT5G18255	763	56.074600	8.252465	14.258891
AT5G18080	8	1.664537	0.243954	0.421512
AT4G10457	0	0.0	0.0	0.0
AT4G13970	623	27.911345	4.124760	7.126901
AT5G46080	90	8.415498	1.233374	2.131066
AT3G27180	1990	146.992859	21.543247	37.223160
AT3G15010	499	21.332565	3.348046	5.784868
AT5G34828	0	0.0	0.0	0.0
AT1G34095	0	0.0	0.0	0.0
AT1G02700	4	0.392330	0.057500	0.099350
AT4G00651	6	2.528393	0.370561	0.640268
AT2G01420	1672	69.384239	12.158368	21.007645
AT1G35150	0	0.0	0.0	0.0
AT2G15042	82	6.629201	0.971575	1.678720
AT1G27220	0	0.0	0.0	0.0
AT1G80520	83	9.956148	1.459171	2.521206
AT1G61290	40	2.174755	0.341461	0.589988
AT5G08135	0	0.000000	0.000000	0.000000
AT1G69970	16	1.021453	0.260582	0.450242
