"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"1","UpstreamIntergenic","H3-3",0.0251663886372717,"control1_seedlings",-60,"No Expression",65
"2","Promotor1000","H3-3",0.100184615384615,"control1_seedlings",-40,"No Expression",65
"3","Promotor500","H3-3",0.163076923076923,"control1_seedlings",-20,"No Expression",65
"4","Gene20","H3-3",0.327801331092267,"control1_seedlings",20,"No Expression",65
"5","Gene40","H3-3",0.465784993465936,"control1_seedlings",40,"No Expression",65
"6","Gene60","H3-3",0.508503319750435,"control1_seedlings",60,"No Expression",65
"7","Gene80","H3-3",0.540847920340578,"control1_seedlings",80,"No Expression",65
"8","Gene100","H3-3",0.514933112430345,"control1_seedlings",100,"No Expression",65
"9","Downstream","H3-3",0.300615384615385,"control1_seedlings",120,"No Expression",65
"10","DownstreamIntergenic","H3-3",0.0604053652292263,"control1_seedlings",140,"No Expression",65
"11","UpstreamIntergenic","H3K9me2",0.0213928453331939,"control1_seedlings",-60,"No Expression",65
"12","Promotor1000","H3K9me2",0.0121384615384615,"control1_seedlings",-40,"No Expression",65
"13","Promotor500","H3K9me2",0.00596923076923077,"control1_seedlings",-20,"No Expression",65
"14","Gene20","H3K9me2",0.00665112665112665,"control1_seedlings",20,"No Expression",65
"15","Gene40","H3K9me2",0.0153846153846154,"control1_seedlings",40,"No Expression",65
"16","Gene60","H3K9me2",0.0153846153846154,"control1_seedlings",60,"No Expression",65
"17","Gene80","H3K9me2",0.0153846153846154,"control1_seedlings",80,"No Expression",65
"18","Gene100","H3K9me2",0.00237166484630988,"control1_seedlings",100,"No Expression",65
"19","Downstream","H3K9me2",0.0113846153846154,"control1_seedlings",120,"No Expression",65
"20","DownstreamIntergenic","H3K9me2",0.00671153611446137,"control1_seedlings",140,"No Expression",65
"21","UpstreamIntergenic","H3K27me3",0.189124587821519,"control1_seedlings",-60,"No Expression",65
"22","Promotor1000","H3K27me3",0.184476923076923,"control1_seedlings",-40,"No Expression",65
"23","Promotor500","H3K27me3",0.402215384615385,"control1_seedlings",-20,"No Expression",65
"24","Gene20","H3K27me3",0.47431253366451,"control1_seedlings",20,"No Expression",65
"25","Gene40","H3K27me3",0.514740329865654,"control1_seedlings",40,"No Expression",65
"26","Gene60","H3K27me3",0.468720679492005,"control1_seedlings",60,"No Expression",65
"27","Gene80","H3K27me3",0.444496824922164,"control1_seedlings",80,"No Expression",65
"28","Gene100","H3K27me3",0.406222692436672,"control1_seedlings",100,"No Expression",65
"29","Downstream","H3K27me3",0.319538461538462,"control1_seedlings",120,"No Expression",65
"30","DownstreamIntergenic","H3K27me3",0.128005011634352,"control1_seedlings",140,"No Expression",65
"31","UpstreamIntergenic","H2A-Z",0.108929366743038,"control1_seedlings",-60,"No Expression",65
"32","Promotor1000","H2A-Z",0.175076923076923,"control1_seedlings",-40,"No Expression",65
"33","Promotor500","H2A-Z",0.431846153846154,"control1_seedlings",-20,"No Expression",65
"34","Gene20","H2A-Z",0.701415865817074,"control1_seedlings",20,"No Expression",65
"35","Gene40","H2A-Z",0.761793378346923,"control1_seedlings",40,"No Expression",65
"36","Gene60","H2A-Z",0.747117032799869,"control1_seedlings",60,"No Expression",65
"37","Gene80","H2A-Z",0.74253469348131,"control1_seedlings",80,"No Expression",65
"38","Gene100","H2A-Z",0.582205117693659,"control1_seedlings",100,"No Expression",65
"39","Downstream","H2A-Z",0.425615384615385,"control1_seedlings",120,"No Expression",65
"40","DownstreamIntergenic","H2A-Z",0.111439027945795,"control1_seedlings",140,"No Expression",65
"41","UpstreamIntergenic","H2AK121ub",0.0464683889841424,"control1_seedlings",-60,"No Expression",65
"42","Promotor1000","H2AK121ub",0.0584,"control1_seedlings",-40,"No Expression",65
"43","Promotor500","H2AK121ub",0.135261538461538,"control1_seedlings",-20,"No Expression",65
"44","Gene20","H2AK121ub",0.336896190650722,"control1_seedlings",20,"No Expression",65
"45","Gene40","H2AK121ub",0.328168769840588,"control1_seedlings",40,"No Expression",65
"46","Gene60","H2AK121ub",0.337735891946275,"control1_seedlings",60,"No Expression",65
"47","Gene80","H2AK121ub",0.322026528731298,"control1_seedlings",80,"No Expression",65
"48","Gene100","H2AK121ub",0.305323383361043,"control1_seedlings",100,"No Expression",65
"49","Downstream","H2AK121ub",0.216230769230769,"control1_seedlings",120,"No Expression",65
"50","DownstreamIntergenic","H2AK121ub",0.0867917823788417,"control1_seedlings",140,"No Expression",65
"51","UpstreamIntergenic","H3ac",0,"control1_seedlings",-60,"No Expression",65
"52","Promotor1000","H3ac",0,"control1_seedlings",-40,"No Expression",65
"53","Promotor500","H3ac",0,"control1_seedlings",-20,"No Expression",65
"54","Gene20","H3ac",0,"control1_seedlings",20,"No Expression",65
"55","Gene40","H3ac",0,"control1_seedlings",40,"No Expression",65
"56","Gene60","H3ac",0,"control1_seedlings",60,"No Expression",65
"57","Gene80","H3ac",0,"control1_seedlings",80,"No Expression",65
"58","Gene100","H3ac",0,"control1_seedlings",100,"No Expression",65
"59","Downstream","H3ac",0,"control1_seedlings",120,"No Expression",65
"60","DownstreamIntergenic","H3ac",0,"control1_seedlings",140,"No Expression",65
"61","UpstreamIntergenic","H3K4me3",0.0045743675088928,"control1_seedlings",-60,"No Expression",65
"62","Promotor1000","H3K4me3",0.0794307692307692,"control1_seedlings",-40,"No Expression",65
"63","Promotor500","H3K4me3",0.116369230769231,"control1_seedlings",-20,"No Expression",65
"64","Gene20","H3K4me3",0.301350104428754,"control1_seedlings",20,"No Expression",65
"65","Gene40","H3K4me3",0.430595813631797,"control1_seedlings",40,"No Expression",65
"66","Gene60","H3K4me3",0.354583771928641,"control1_seedlings",60,"No Expression",65
"67","Gene80","H3K4me3",0.273087227589368,"control1_seedlings",80,"No Expression",65
"68","Gene100","H3K4me3",0.16457404756376,"control1_seedlings",100,"No Expression",65
