"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"1","UpstreamIntergenic","H3-3",10.7692307692308,-60,"No Expression","control1_seedlings"
"2","UpstreamIntergenic","H3K9me2",9.23076923076923,-60,"No Expression","control1_seedlings"
"3","UpstreamIntergenic","H3K27me3",26.1538461538462,-60,"No Expression","control1_seedlings"
"4","UpstreamIntergenic","H2A-Z",20,-60,"No Expression","control1_seedlings"
"5","UpstreamIntergenic","H2AK121ub",10.7692307692308,-60,"No Expression","control1_seedlings"
"6","UpstreamIntergenic","H3ac",0,-60,"No Expression","control1_seedlings"
"7","UpstreamIntergenic","H3K4me3",3.07692307692308,-60,"No Expression","control1_seedlings"
"8","UpstreamIntergenic","H3K36me3",1.53846153846154,-60,"No Expression","control1_seedlings"
"9","UpstreamIntergenic","H3K27ac",3.07692307692308,-60,"No Expression","control1_seedlings"
"10","UpstreamIntergenic","H4K5ac",3.07692307692308,-60,"No Expression","control1_seedlings"
"11","UpstreamIntergenic","H4K8ac",1.53846153846154,-60,"No Expression","control1_seedlings"
"12","UpstreamIntergenic","H3-1",9.23076923076923,-60,"No Expression","control1_seedlings"
"13","UpstreamIntergenic","H3K9ac",4.61538461538462,-60,"No Expression","control1_seedlings"
"14","UpstreamIntergenic","H4K12ac",3.07692307692308,-60,"No Expression","control1_seedlings"
"15","UpstreamIntergenic","H3K27me1",0,-60,"No Expression","control1_seedlings"
"16","UpstreamIntergenic","H4K16ac",1.53846153846154,-60,"No Expression","control1_seedlings"
"17","UpstreamIntergenic","H3K14ac",4.61538461538462,-60,"No Expression","control1_seedlings"
"18","UpstreamIntergenic","H2A",0,-60,"No Expression","control1_seedlings"
"19","UpstreamIntergenic","H3",3.07692307692308,-60,"No Expression","control1_seedlings"
"20","UpstreamIntergenic","H2A-X",0,-60,"No Expression","control1_seedlings"
"21","UpstreamIntergenic","H3K18ac",3.07692307692308,-60,"No Expression","control1_seedlings"
"22","Promotor1000","H3-3",41.5384615384615,-40,"No Expression","control1_seedlings"
"23","Promotor1000","H3K9me2",3.07692307692308,-40,"No Expression","control1_seedlings"
"24","Promotor1000","H3K27me3",55.3846153846154,-40,"No Expression","control1_seedlings"
"25","Promotor1000","H2A-Z",76.9230769230769,-40,"No Expression","control1_seedlings"
"26","Promotor1000","H2AK121ub",40,-40,"No Expression","control1_seedlings"
"27","Promotor1000","H3ac",0,-40,"No Expression","control1_seedlings"
"28","Promotor1000","H3K4me3",36.9230769230769,-40,"No Expression","control1_seedlings"
