Gene,Emoy2_0ddpi,Emoy2_1ddpi,Emoy2_3ddpi,Emoy2_5ddpi,Waco9_0ddpi,Waco9_1ddpi,Waco9_3ddpi,Waco9_5ddpi
AT1G10920,0,3.3725,3.112916667,2.749583333,0,2.084166667,4.216666667,4.2725
AT1G12210,0,1.599583333,1.9225,2.592083333,2.856666667,1.460833333,2.691666667,4.345
AT1G12220,2.015833333,4.314166667,5.700416667,6.159166667,6.614166667,3.721666667,5.794166667,5.8075
AT1G12280,7.7125,10.90708333,13.11583333,14.63083333,10.51,9.370833333,12.55416667,12.39666667
AT1G12290,9.675833333,0.785416667,2.418333333,1.81375,0,0.41625,2.573333333,5.088333333
AT1G15890,0,1.338333333,3.21625,3.327916667,0,1.256666667,3.255833333,4.315833333
AT1G17600,0,0.751666667,0.74125,1.643333333,0,0.479583333,1.399166667,2.620833333
AT1G17610,0,3.979583333,8.7375,8.17875,0,4.07625,12.96166667,12.80583333
AT1G17615,0,0,0,0,0,0,0,2.774166667
AT1G27170,0,0.205833333,0.099166667,0.31375,0,0.25625,0.0625,0.114166667
AT1G27180,0,1.292916667,0.85625,1.037083333,0,1.16625,1.565833333,1.054166667
AT1G31540,0,9.59,10.45208333,8.93875,4.564166667,4.81875,14.07833333,17.205
AT1G33560,0,2.422916667,5.327916667,5.29375,0,2.274166667,6.054166667,13.83166667
AT1G43180,0,0.11875,0.1275,0.145416667,0,0.064166667,0.31,0.59
AT1G50180,0,0.0375,0.17625,0.0925,0,0.03375,0.153333333,0.341666667
AT1G50210,0,0,0,0,0,0,0,0
AT1G51480,0,0.15625,0.019583333,0.155833333,0,0.060416667,0.036666667,0.1425
AT1G52660,0,0,0,0,0,0,0,0
AT1G53350,3.746666667,5.416666667,7.157083333,5.574583333,0,7.169583333,7.955,6.729166667
AT1G56510,0,7.325,10.59791667,11.98,0,6.399583333,14.10083333,16.9225
AT1G56520,3.566666667,3.597083333,4.020416667,5.151666667,0,3.928333333,5.635833333,5.295
AT1G56540,0,0.591666667,0.779583333,0.9925,0,0.373333333,1.031666667,1.601666667
AT1G57650,0,0.054166667,0.046666667,0.049583333,0,0,0.291666667,1.365
AT1G58390,0,0.035833333,0.12375,0.03625,0,0.040833333,0.356666667,0.095
AT1G58400,0,0.033333333,0,0,0,0,0.066666667,0
AT1G58410,0,0.052916667,0,0.0575,0,0,0.080833333,0
AT1G58602,1.9075,34.9425,39.75375,43.8225,16.03,26.82166667,44.26,49.21
AT1G58807,0,0,0,0,0,0,0,0
AT1G58848,0,0,0,0,0,0,0,0
AT1G59124,0,0,0,0,0,0,0,0
AT1G59218,0,0,0,0,0,0,0,0
AT1G59620,0,4.45,4.55875,3.642083333,0,3.222916667,6.476666667,5.7925
AT1G59780,0,0,0,0,0,0,0,0
AT1G61180,8.316666667,12.61333333,14.64666667,14.28375,5.625,11.44166667,12.9625,15.82333333
AT1G61190,0,23.95875,27.48666667,23.84958333,6.150833333,24.78458333,25.075,23.66416667
AT1G61300,0,14.43208333,15.67833333,16.19541667,1.4025,15.84875,15.47833333,16.81583333
AT1G61310,3.826666667,3.329583333,2.53875,4.374583333,0,3.464583333,4.361666667,3.055833333
AT1G62630,1.6325,9.14375,8.0875,10.21,2.893333333,10.56875,8.628333333,9.565833333
AT1G63350,0,1.390833333,3.269166667,3.187916667,0,2.050833333,3.465,5.375
AT1G63360,1.4775,12.505,12.45583333,14.04166667,8.106666667,13.51375,13.24833333,14.99333333
AT1G63730,0,0.558333333,0,0.2725,0,0.578333333,0.538333333,0.198333333
AT1G63740,0,2.593333333,1.68625,2.283333333,0,1.385,3.133333333,2.453333333
AT1G63750,0,0.689166667,1.091666667,1.44625,0,0.48625,1.356666667,3.674166667
AT1G63860,0,8.60625,11.42583333,10.58083333,0,6.136666667,11.7575,14.59833333
