"","Gene","Expression","Tissue","ExpressionLevel"
"2","AT1G10920",12.4363829787234,"leaves","Low Expression"
"9","AT1G12210",4.49687943262411,"leaves","Low Expression"
"26","AT1G12220",13.2016312056738,"leaves","Low Expression"
"152","AT1G12280",17.855390070922,"leaves","Low Expression"
"15","AT1G12290",6.17843971631206,"leaves","Low Expression"
"88","AT1G15890",5.70609929078014,"leaves","Low Expression"
"90","AT1G17600",7.21971631205674,"leaves","Low Expression"
"65","AT1G17610",14.3774468085106,"leaves","Low Expression"
"67","AT1G17615",0.264042553191489,"leaves","No Expression"
"55","AT1G27170",1.7741134751773,"leaves","Low Expression"
"115","AT1G27180",3.69070921985816,"leaves","Low Expression"
"95","AT1G31540",35.2659574468085,"leaves","Low Expression"
"110","AT1G33560",14.0160283687943,"leaves","Low Expression"
"41","AT1G43180",0.757517730496454,"leaves","No Expression"
"146","AT1G50180",5.00921985815603,"leaves","Low Expression"
"100","AT1G50210",0,"leaves","No Expression"
"47","AT1G51480",0.156808510638298,"leaves","No Expression"
"105","AT1G52660",0.00375886524822695,"leaves","No Expression"
"4","AT1G53350",11.1321985815603,"leaves","Low Expression"
"40","AT1G56510",41.4810638297872,"leaves","Low Expression"
"106","AT1G56520",15.6212056737589,"leaves","Low Expression"
"142","AT1G56540",6.33524822695035,"leaves","Low Expression"
"86","AT1G57650",1.19943262411348,"leaves","Low Expression"
"91","AT1G58390",1.00992907801418,"leaves","Low Expression"
"89","AT1G58400",0.449078014184397,"leaves","No Expression"
"111","AT1G58410",0.366808510638298,"leaves","No Expression"
"38","AT1G58602",57.1716312056738,"leaves","Intermediate Expression"
"113","AT1G58807",0.0137588652482269,"leaves","No Expression"
"32","AT1G58848",0.357872340425532,"leaves","No Expression"
"157","AT1G59124",0,"leaves","No Expression"
"62","AT1G59218",0.0166666666666667,"leaves","No Expression"
"25","AT1G59620",21.7988652482269,"leaves","Low Expression"
"117","AT1G59780",0.0075177304964539,"leaves","No Expression"
"10","AT1G61180",17.4151773049645,"leaves","Low Expression"
"149","AT1G61190",27.6037588652482,"leaves","Low Expression"
"99","AT1G61300",38.6360283687943,"leaves","Low Expression"
"74","AT1G61310",11.1433333333333,"leaves","Low Expression"
"143","AT1G62630",23.3718439716312,"leaves","Low Expression"
"87","AT1G63350",8.64709219858156,"leaves","Low Expression"
"28","AT1G63360",29.7007092198582,"leaves","Low Expression"
"123","AT1G63730",2.61858156028369,"leaves","Low Expression"
"102","AT1G63740",8.74,"leaves","Low Expression"
