"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"1","UpstreamIntergenic","H3-3",0,"control1_leaves",-60,"No Expression",61
"2","Promotor1000","H3-3",0,"control1_leaves",-40,"No Expression",61
"3","Promotor500","H3-3",0,"control1_leaves",-20,"No Expression",61
"4","Gene20","H3-3",0,"control1_leaves",20,"No Expression",61
"5","Gene40","H3-3",0,"control1_leaves",40,"No Expression",61
"6","Gene60","H3-3",0,"control1_leaves",60,"No Expression",61
"7","Gene80","H3-3",0,"control1_leaves",80,"No Expression",61
"8","Gene100","H3-3",0,"control1_leaves",100,"No Expression",61
"9","Downstream","H3-3",0,"control1_leaves",120,"No Expression",61
"10","DownstreamIntergenic","H3-3",0,"control1_leaves",140,"No Expression",61
"11","UpstreamIntergenic","H3K9me2",0,"control1_leaves",-60,"No Expression",61
"12","Promotor1000","H3K9me2",0,"control1_leaves",-40,"No Expression",61
"13","Promotor500","H3K9me2",0,"control1_leaves",-20,"No Expression",61
"14","Gene20","H3K9me2",0,"control1_leaves",20,"No Expression",61
"15","Gene40","H3K9me2",0,"control1_leaves",40,"No Expression",61
"16","Gene60","H3K9me2",0,"control1_leaves",60,"No Expression",61
"17","Gene80","H3K9me2",0,"control1_leaves",80,"No Expression",61
"18","Gene100","H3K9me2",0,"control1_leaves",100,"No Expression",61
"19","Downstream","H3K9me2",0,"control1_leaves",120,"No Expression",61
"20","DownstreamIntergenic","H3K9me2",0,"control1_leaves",140,"No Expression",61
"21","UpstreamIntergenic","H3K27me3",0.123192710477953,"control1_leaves",-60,"No Expression",61
"22","Promotor1000","H3K27me3",0.148147540983607,"control1_leaves",-40,"No Expression",61
"23","Promotor500","H3K27me3",0.323704918032787,"control1_leaves",-20,"No Expression",61
"24","Gene20","H3K27me3",0.417954766669542,"control1_leaves",20,"No Expression",61
"25","Gene40","H3K27me3",0.424023619088669,"control1_leaves",40,"No Expression",61
"26","Gene60","H3K27me3",0.418459372555505,"control1_leaves",60,"No Expression",61
"27","Gene80","H3K27me3",0.370259647867116,"control1_leaves",80,"No Expression",61
"28","Gene100","H3K27me3",0.364998850989309,"control1_leaves",100,"No Expression",61
"29","Downstream","H3K27me3",0.289590163934426,"control1_leaves",120,"No Expression",61
"30","DownstreamIntergenic","H3K27me3",0.132237970939944,"control1_leaves",140,"No Expression",61
"31","UpstreamIntergenic","H2A-Z",0.0735425650602734,"control1_leaves",-60,"No Expression",61
"32","Promotor1000","H2A-Z",0.137672131147541,"control1_leaves",-40,"No Expression",61
"33","Promotor500","H2A-Z",0.366426229508197,"control1_leaves",-20,"No Expression",61
"34","Gene20","H2A-Z",0.585790998653269,"control1_leaves",20,"No Expression",61
"35","Gene40","H2A-Z",0.645079589870132,"control1_leaves",40,"No Expression",61
"36","Gene60","H2A-Z",0.662387627527852,"control1_leaves",60,"No Expression",61
"37","Gene80","H2A-Z",0.624475029924305,"control1_leaves",80,"No Expression",61
"38","Gene100","H2A-Z",0.561478558063887,"control1_leaves",100,"No Expression",61
"39","Downstream","H2A-Z",0.418688524590164,"control1_leaves",120,"No Expression",61
"40","DownstreamIntergenic","H2A-Z",0.0826700519129555,"control1_leaves",140,"No Expression",61
"41","UpstreamIntergenic","H2AK121ub",0,"control1_leaves",-60,"No Expression",61
"42","Promotor1000","H2AK121ub",0,"control1_leaves",-40,"No Expression",61
"43","Promotor500","H2AK121ub",0,"control1_leaves",-20,"No Expression",61
"44","Gene20","H2AK121ub",0,"control1_leaves",20,"No Expression",61
"45","Gene40","H2AK121ub",0,"control1_leaves",40,"No Expression",61
"46","Gene60","H2AK121ub",0,"control1_leaves",60,"No Expression",61
"47","Gene80","H2AK121ub",0,"control1_leaves",80,"No Expression",61
"48","Gene100","H2AK121ub",0,"control1_leaves",100,"No Expression",61
"49","Downstream","H2AK121ub",0,"control1_leaves",120,"No Expression",61
"50","DownstreamIntergenic","H2AK121ub",0,"control1_leaves",140,"No Expression",61
"51","UpstreamIntergenic","H3ac",0,"control1_leaves",-60,"No Expression",61
"52","Promotor1000","H3ac",0,"control1_leaves",-40,"No Expression",61
"53","Promotor500","H3ac",0,"control1_leaves",-20,"No Expression",61
"54","Gene20","H3ac",0,"control1_leaves",20,"No Expression",61
"55","Gene40","H3ac",0,"control1_leaves",40,"No Expression",61
"56","Gene60","H3ac",0,"control1_leaves",60,"No Expression",61
"57","Gene80","H3ac",0,"control1_leaves",80,"No Expression",61
"58","Gene100","H3ac",0,"control1_leaves",100,"No Expression",61
"59","Downstream","H3ac",0,"control1_leaves",120,"No Expression",61
"60","DownstreamIntergenic","H3ac",0,"control1_leaves",140,"No Expression",61
"61","UpstreamIntergenic","H3K4me3",0.00218960509491693,"control1_leaves",-60,"No Expression",61
"62","Promotor1000","H3K4me3",0.0301311475409836,"control1_leaves",-40,"No Expression",61
"63","Promotor500","H3K4me3",0.0417704918032787,"control1_leaves",-20,"No Expression",61
"64","Gene20","H3K4me3",0.0175668321882718,"control1_leaves",20,"No Expression",61
"65","Gene40","H3K4me3",0.0168301377902298,"control1_leaves",40,"No Expression",61
"66","Gene60","H3K4me3",0,"control1_leaves",60,"No Expression",61
"67","Gene80","H3K4me3",0,"control1_leaves",80,"No Expression",61
"68","Gene100","H3K4me3",0.00916504200375723,"control1_leaves",100,"No Expression",61
"69","Downstream","H3K4me3",0.0262295081967213,"control1_leaves",120,"No Expression",61
"70","DownstreamIntergenic","H3K4me3",0,"control1_leaves",140,"No Expression",61
"71","UpstreamIntergenic","H3K36me3",0.00107437712679693,"control1_leaves",-60,"No Expression",61
"72","Promotor1000","H3K36me3",0.048344262295082,"control1_leaves",-40,"No Expression",61
"73","Promotor500","H3K36me3",0.0355737704918033,"control1_leaves",-20,"No Expression",61
"74","Gene20","H3K36me3",0.0163934426229508,"control1_leaves",20,"No Expression",61
"75","Gene40","H3K36me3",0.0163934426229508,"control1_leaves",40,"No Expression",61
"76","Gene60","H3K36me3",0.00362135430859236,"control1_leaves",60,"No Expression",61
"77","Gene80","H3K36me3",0,"control1_leaves",80,"No Expression",61
"78","Gene100","H3K36me3",0,"control1_leaves",100,"No Expression",61
"79","Downstream","H3K36me3",0.0039344262295082,"control1_leaves",120,"No Expression",61
"80","DownstreamIntergenic","H3K36me3",0,"control1_leaves",140,"No Expression",61
"81","UpstreamIntergenic","H3K27ac",0,"control1_leaves",-60,"No Expression",61
"82","Promotor1000","H3K27ac",0,"control1_leaves",-40,"No Expression",61
"83","Promotor500","H3K27ac",0,"control1_leaves",-20,"No Expression",61
"84","Gene20","H3K27ac",0,"control1_leaves",20,"No Expression",61
"85","Gene40","H3K27ac",0,"control1_leaves",40,"No Expression",61
"86","Gene60","H3K27ac",0,"control1_leaves",60,"No Expression",61
"87","Gene80","H3K27ac",0,"control1_leaves",80,"No Expression",61
"88","Gene100","H3K27ac",0,"control1_leaves",100,"No Expression",61
"89","Downstream","H3K27ac",0,"control1_leaves",120,"No Expression",61
"90","DownstreamIntergenic","H3K27ac",0,"control1_leaves",140,"No Expression",61
"91","UpstreamIntergenic","H4K5ac",0,"control1_leaves",-60,"No Expression",61
"92","Promotor1000","H4K5ac",0,"control1_leaves",-40,"No Expression",61
"93","Promotor500","H4K5ac",0,"control1_leaves",-20,"No Expression",61
"94","Gene20","H4K5ac",0,"control1_leaves",20,"No Expression",61
"95","Gene40","H4K5ac",0,"control1_leaves",40,"No Expression",61
"96","Gene60","H4K5ac",0,"control1_leaves",60,"No Expression",61
"97","Gene80","H4K5ac",0,"control1_leaves",80,"No Expression",61
"98","Gene100","H4K5ac",0,"control1_leaves",100,"No Expression",61
"99","Downstream","H4K5ac",0,"control1_leaves",120,"No Expression",61
"100","DownstreamIntergenic","H4K5ac",0,"control1_leaves",140,"No Expression",61
"101","UpstreamIntergenic","H4K8ac",0,"control1_leaves",-60,"No Expression",61
"102","Promotor1000","H4K8ac",0,"control1_leaves",-40,"No Expression",61
"103","Promotor500","H4K8ac",0,"control1_leaves",-20,"No Expression",61
"104","Gene20","H4K8ac",0,"control1_leaves",20,"No Expression",61
"105","Gene40","H4K8ac",0,"control1_leaves",40,"No Expression",61
"106","Gene60","H4K8ac",0,"control1_leaves",60,"No Expression",61
"107","Gene80","H4K8ac",0,"control1_leaves",80,"No Expression",61
"108","Gene100","H4K8ac",0,"control1_leaves",100,"No Expression",61
"109","Downstream","H4K8ac",0,"control1_leaves",120,"No Expression",61
"110","DownstreamIntergenic","H4K8ac",0,"control1_leaves",140,"No Expression",61
"111","UpstreamIntergenic","H3-1",0,"control1_leaves",-60,"No Expression",61
"112","Promotor1000","H3-1",0,"control1_leaves",-40,"No Expression",61
"113","Promotor500","H3-1",0,"control1_leaves",-20,"No Expression",61
"114","Gene20","H3-1",0,"control1_leaves",20,"No Expression",61
"115","Gene40","H3-1",0,"control1_leaves",40,"No Expression",61
"116","Gene60","H3-1",0,"control1_leaves",60,"No Expression",61
"117","Gene80","H3-1",0,"control1_leaves",80,"No Expression",61
"118","Gene100","H3-1",0,"control1_leaves",100,"No Expression",61
"119","Downstream","H3-1",0,"control1_leaves",120,"No Expression",61
"120","DownstreamIntergenic","H3-1",0,"control1_leaves",140,"No Expression",61
"121","UpstreamIntergenic","H3K9ac",0.00178518176581847,"control1_leaves",-60,"No Expression",61
"122","Promotor1000","H3K9ac",0.0360327868852459,"control1_leaves",-40,"No Expression",61
"123","Promotor500","H3K9ac",0.0398360655737705,"control1_leaves",-20,"No Expression",61
"124","Gene20","H3K9ac",0.00288616947589686,"control1_leaves",20,"No Expression",61
"125","Gene40","H3K9ac",0,"control1_leaves",40,"No Expression",61
"126","Gene60","H3K9ac",0,"control1_leaves",60,"No Expression",61
"127","Gene80","H3K9ac",0,"control1_leaves",80,"No Expression",61
"128","Gene100","H3K9ac",0.00871164769968443,"control1_leaves",100,"No Expression",61
"129","Downstream","H3K9ac",0.0274590163934426,"control1_leaves",120,"No Expression",61
"130","DownstreamIntergenic","H3K9ac",0,"control1_leaves",140,"No Expression",61
"131","UpstreamIntergenic","H4K12ac",0,"control1_leaves",-60,"No Expression",61
"132","Promotor1000","H4K12ac",0,"control1_leaves",-40,"No Expression",61
"133","Promotor500","H4K12ac",0,"control1_leaves",-20,"No Expression",61
"134","Gene20","H4K12ac",0,"control1_leaves",20,"No Expression",61
"135","Gene40","H4K12ac",0,"control1_leaves",40,"No Expression",61
"136","Gene60","H4K12ac",0,"control1_leaves",60,"No Expression",61
"137","Gene80","H4K12ac",0,"control1_leaves",80,"No Expression",61
"138","Gene100","H4K12ac",0,"control1_leaves",100,"No Expression",61
"139","Downstream","H4K12ac",0,"control1_leaves",120,"No Expression",61
"140","DownstreamIntergenic","H4K12ac",0,"control1_leaves",140,"No Expression",61
"141","UpstreamIntergenic","H3K27me1",0.00563393361867076,"control1_leaves",-60,"No Expression",61
"142","Promotor1000","H3K27me1",0.0575081967213115,"control1_leaves",-40,"No Expression",61
"143","Promotor500","H3K27me1",0.0704262295081967,"control1_leaves",-20,"No Expression",61
"144","Gene20","H3K27me1",0.1823359371281,"control1_leaves",20,"No Expression",61
"145","Gene40","H3K27me1",0.298232405529412,"control1_leaves",40,"No Expression",61
"146","Gene60","H3K27me1",0.316176599286619,"control1_leaves",60,"No Expression",61
"147","Gene80","H3K27me1",0.280504090815366,"control1_leaves",80,"No Expression",61
"148","Gene100","H3K27me1",0.217811139668188,"control1_leaves",100,"No Expression",61
"149","Downstream","H3K27me1",0.0966393442622951,"control1_leaves",120,"No Expression",61
"150","DownstreamIntergenic","H3K27me1",0.0054833774460374,"control1_leaves",140,"No Expression",61
"151","UpstreamIntergenic","H4K16ac",0,"control1_leaves",-60,"No Expression",61
"152","Promotor1000","H4K16ac",0,"control1_leaves",-40,"No Expression",61
"153","Promotor500","H4K16ac",0,"control1_leaves",-20,"No Expression",61
"154","Gene20","H4K16ac",0,"control1_leaves",20,"No Expression",61
"155","Gene40","H4K16ac",0,"control1_leaves",40,"No Expression",61
"156","Gene60","H4K16ac",0,"control1_leaves",60,"No Expression",61
"157","Gene80","H4K16ac",0,"control1_leaves",80,"No Expression",61
"158","Gene100","H4K16ac",0,"control1_leaves",100,"No Expression",61
"159","Downstream","H4K16ac",0,"control1_leaves",120,"No Expression",61
"160","DownstreamIntergenic","H4K16ac",0,"control1_leaves",140,"No Expression",61
"161","UpstreamIntergenic","H3K14ac",0,"control1_leaves",-60,"No Expression",61
"162","Promotor1000","H3K14ac",0,"control1_leaves",-40,"No Expression",61
"163","Promotor500","H3K14ac",0,"control1_leaves",-20,"No Expression",61
"164","Gene20","H3K14ac",0,"control1_leaves",20,"No Expression",61
"165","Gene40","H3K14ac",0,"control1_leaves",40,"No Expression",61
"166","Gene60","H3K14ac",0,"control1_leaves",60,"No Expression",61
"167","Gene80","H3K14ac",0,"control1_leaves",80,"No Expression",61
"168","Gene100","H3K14ac",0,"control1_leaves",100,"No Expression",61
