"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"1","UpstreamIntergenic","H3-3",0,-60,"No Expression","control1_leaves"
"2","UpstreamIntergenic","H3K9me2",0,-60,"No Expression","control1_leaves"
"3","UpstreamIntergenic","H3K27me3",16.3934426229508,-60,"No Expression","control1_leaves"
"4","UpstreamIntergenic","H2A-Z",14.7540983606557,-60,"No Expression","control1_leaves"
"5","UpstreamIntergenic","H2AK121ub",0,-60,"No Expression","control1_leaves"
"6","UpstreamIntergenic","H3ac",0,-60,"No Expression","control1_leaves"
"7","UpstreamIntergenic","H3K4me3",1.63934426229508,-60,"No Expression","control1_leaves"
"8","UpstreamIntergenic","H3K36me3",1.63934426229508,-60,"No Expression","control1_leaves"
"9","UpstreamIntergenic","H3K27ac",0,-60,"No Expression","control1_leaves"
"10","UpstreamIntergenic","H4K5ac",0,-60,"No Expression","control1_leaves"
"11","UpstreamIntergenic","H4K8ac",0,-60,"No Expression","control1_leaves"
"12","UpstreamIntergenic","H3-1",0,-60,"No Expression","control1_leaves"
"13","UpstreamIntergenic","H3K9ac",1.63934426229508,-60,"No Expression","control1_leaves"
"14","UpstreamIntergenic","H4K12ac",0,-60,"No Expression","control1_leaves"
"15","UpstreamIntergenic","H3K27me1",3.27868852459016,-60,"No Expression","control1_leaves"
"16","UpstreamIntergenic","H4K16ac",0,-60,"No Expression","control1_leaves"
"17","UpstreamIntergenic","H3K14ac",0,-60,"No Expression","control1_leaves"
"18","UpstreamIntergenic","H2A",0,-60,"No Expression","control1_leaves"
"19","UpstreamIntergenic","H3",0,-60,"No Expression","control1_leaves"
"20","UpstreamIntergenic","H2A-X",0,-60,"No Expression","control1_leaves"
"21","UpstreamIntergenic","H3K18ac",0,-60,"No Expression","control1_leaves"
"22","Promotor1000","H3-3",0,-40,"No Expression","control1_leaves"
"23","Promotor1000","H3K9me2",0,-40,"No Expression","control1_leaves"
"24","Promotor1000","H3K27me3",36.0655737704918,-40,"No Expression","control1_leaves"
"25","Promotor1000","H2A-Z",42.6229508196721,-40,"No Expression","control1_leaves"
"26","Promotor1000","H2AK121ub",0,-40,"No Expression","control1_leaves"
"27","Promotor1000","H3ac",0,-40,"No Expression","control1_leaves"
"28","Promotor1000","H3K4me3",9.83606557377049,-40,"No Expression","control1_leaves"
"29","Promotor1000","H3K36me3",11.4754098360656,-40,"No Expression","control1_leaves"
"30","Promotor1000","H3K27ac",0,-40,"No Expression","control1_leaves"
"31","Promotor1000","H4K5ac",0,-40,"No Expression","control1_leaves"
"32","Promotor1000","H4K8ac",0,-40,"No Expression","control1_leaves"
"33","Promotor1000","H3-1",0,-40,"No Expression","control1_leaves"
"34","Promotor1000","H3K9ac",13.1147540983607,-40,"No Expression","control1_leaves"
"35","Promotor1000","H4K12ac",0,-40,"No Expression","control1_leaves"
"36","Promotor1000","H3K27me1",22.9508196721311,-40,"No Expression","control1_leaves"
"37","Promotor1000","H4K16ac",0,-40,"No Expression","control1_leaves"
"38","Promotor1000","H3K14ac",0,-40,"No Expression","control1_leaves"
"39","Promotor1000","H2A",8.19672131147541,-40,"No Expression","control1_leaves"
"40","Promotor1000","H3",0,-40,"No Expression","control1_leaves"
"41","Promotor1000","H2A-X",1.63934426229508,-40,"No Expression","control1_leaves"
"42","Promotor1000","H3K18ac",0,-40,"No Expression","control1_leaves"
"43","Promotor500","H3-3",0,-20,"No Expression","control1_leaves"
"44","Promotor500","H3K9me2",0,-20,"No Expression","control1_leaves"
"45","Promotor500","H3K27me3",44.2622950819672,-20,"No Expression","control1_leaves"
"46","Promotor500","H2A-Z",54.0983606557377,-20,"No Expression","control1_leaves"
"47","Promotor500","H2AK121ub",0,-20,"No Expression","control1_leaves"
"48","Promotor500","H3ac",0,-20,"No Expression","control1_leaves"
"49","Promotor500","H3K4me3",6.55737704918033,-20,"No Expression","control1_leaves"
"50","Promotor500","H3K36me3",6.55737704918033,-20,"No Expression","control1_leaves"
"51","Promotor500","H3K27ac",0,-20,"No Expression","control1_leaves"
"52","Promotor500","H4K5ac",0,-20,"No Expression","control1_leaves"
"53","Promotor500","H4K8ac",0,-20,"No Expression","control1_leaves"
"54","Promotor500","H3-1",0,-20,"No Expression","control1_leaves"
"55","Promotor500","H3K9ac",6.55737704918033,-20,"No Expression","control1_leaves"
"56","Promotor500","H4K12ac",0,-20,"No Expression","control1_leaves"
"57","Promotor500","H3K27me1",16.3934426229508,-20,"No Expression","control1_leaves"
"58","Promotor500","H4K16ac",0,-20,"No Expression","control1_leaves"
"59","Promotor500","H3K14ac",0,-20,"No Expression","control1_leaves"
"60","Promotor500","H2A",3.27868852459016,-20,"No Expression","control1_leaves"
"61","Promotor500","H3",0,-20,"No Expression","control1_leaves"
"62","Promotor500","H2A-X",0,-20,"No Expression","control1_leaves"
"63","Promotor500","H3K18ac",0,-20,"No Expression","control1_leaves"
"64","Gene20","H3-3",0,20,"No Expression","control1_leaves"
