"","Gene","Expression","Tissue","ExpressionLevel"
"2","AT1G10920",1.90491803278689,"root","Low Expression"
"9","AT1G12210",4.19508196721311,"root","Low Expression"
"26","AT1G12220",6.37065573770492,"root","Low Expression"
"152","AT1G12280",5.95737704918033,"root","Low Expression"
"15","AT1G12290",9.10918032786885,"root","Low Expression"
"88","AT1G15890",6.83475409836066,"root","Low Expression"
"90","AT1G17600",0.258524590163934,"root","No Expression"
"65","AT1G17610",0.261967213114754,"root","No Expression"
"67","AT1G17615",0.177377049180328,"root","No Expression"
"55","AT1G27170",7.36147540983607,"root","Low Expression"
"115","AT1G27180",8.27950819672131,"root","Low Expression"
"95","AT1G31540",13.2511475409836,"root","Low Expression"
"110","AT1G33560",17.1649180327869,"root","Low Expression"
"41","AT1G43180",0.173606557377049,"root","No Expression"
"146","AT1G50180",0.934754098360656,"root","No Expression"
"100","AT1G50210",0,"root","No Expression"
"47","AT1G51480",1.37540983606557,"root","Low Expression"
"105","AT1G52660",9.27901639344262,"root","Low Expression"
"4","AT1G53350",5.2583606557377,"root","Low Expression"
"40","AT1G56510",0.375081967213115,"root","No Expression"
"106","AT1G56520",0.0126229508196721,"root","No Expression"
"142","AT1G56540",2.52803278688525,"root","Low Expression"
"86","AT1G57650",0.0816393442622951,"root","No Expression"
"91","AT1G58390",0.0675409836065574,"root","No Expression"
"89","AT1G58400",15.1945901639344,"root","Low Expression"
"111","AT1G58410",10.3693442622951,"root","Low Expression"
"38","AT1G58602",0.927704918032787,"root","No Expression"
"113","AT1G58807",0,"root","No Expression"
"32","AT1G58848",0.0247540983606557,"root","No Expression"
"157","AT1G59124",0,"root","No Expression"
"62","AT1G59218",0.00147540983606557,"root","No Expression"
"25","AT1G59620",2.01967213114754,"root","Low Expression"
"117","AT1G59780",9.26098360655738,"root","Low Expression"
"10","AT1G61180",14.3565573770492,"root","Low Expression"
"149","AT1G61190",1.38655737704918,"root","Low Expression"
"99","AT1G61300",0.736065573770492,"root","No Expression"
"74","AT1G61310",6.75360655737705,"root","Low Expression"
"143","AT1G62630",0.0316393442622951,"root","No Expression"
"87","AT1G63350",2.27475409836066,"root","Low Expression"
"28","AT1G63360",0.192131147540984,"root","No Expression"
"123","AT1G63730",6.12,"root","Low Expression"
"102","AT1G63740",11.2160655737705,"root","Low Expression"
"85","AT1G63750",3.26885245901639,"root","Low Expression"
"151","AT1G63860",1.3216393442623,"root","Low Expression"
"14","AT1G63870",0.0775409836065574,"root","No Expression"
"44","AT1G63880",2.20180327868852,"root","Low Expression"
"107","AT1G64070",0.0749180327868852,"root","No Expression"
"104","AT1G65850",2.74475409836066,"root","Low Expression"
"131","AT1G66090",3.36262295081967,"root","Low Expression"
"122","AT1G69550",2.39327868852459,"root","Low Expression"
"17","AT1G72840",13.6283606557377,"root","Low Expression"
"37","AT1G72850",7.37885245901639,"root","Low Expression"
"36","AT1G72852",8.26606557377049,"root","Low Expression"
"58","AT1G72860",2.31672131147541,"root","Low Expression"
"76","AT1G72870",8.89196721311475,"root","Low Expression"
"92","AT1G72890",10.2622950819672,"root","Low Expression"
"59","AT1G72900",18.3845901639344,"root","Low Expression"
"39","AT1G72910",0.210327868852459,"root","No Expression"
"20","AT1G72920",4.30114754098361,"root","Low Expression"
"156","AT1G72930",3.66704918032787,"root","Low Expression"
"136","AT1G72940",7.88524590163934,"root","Low Expression"
"119","AT1G72950",5.61803278688525,"root","Low Expression"
"112","AT2G16870",5.18196721311475,"root","Low Expression"
"139","AT2G17050",3.09934426229508,"root","Low Expression"
"84","AT2G17060",4.57688524590164,"root","Low Expression"
"6","AT3G04210",0.753606557377049,"root","No Expression"
"49","AT3G04220",5.43967213114754,"root","Low Expression"
"101","AT3G07040",3.92672131147541,"root","Low Expression"
"33","AT3G14460",2.45688524590164,"root","Low Expression"
"56","AT3G14470",13.3106557377049,"root","Low Expression"
"34","AT3G15700",6.80540983606557,"root","Low Expression"
"134","AT3G25510",5.3855737704918,"root","Low Expression"
"8","AT3G50950",31.0055737704918,"root","Low Expression"
"61","AT3G51560",0.250983606557377,"root","No Expression"
"83","AT3G51570",0.780819672131148,"root","No Expression"
"21","AT4G10780",0.429672131147541,"root","No Expression"
"71","AT4G11170",1.73803278688525,"root","Low Expression"
"79","AT4G12010",10.93,"root","Low Expression"
"150","AT4G12020",15.3070491803279,"root","Low Expression"
"147","AT4G14370",9.80114754098361,"root","Low Expression"
"35","AT4G16860",2.03295081967213,"root","Low Expression"
"138","AT4G16890",7.64360655737705,"root","Low Expression"
"82","AT4G16900",6.85409836065574,"root","Low Expression"
"42","AT4G16920",4.36622950819672,"root","Low Expression"
"63","AT4G16930",0,"root","No Expression"
