"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"1","UpstreamIntergenic","H3-3",0,"control1_root",-60,"No Expression",62
"2","Promotor1000","H3-3",0,"control1_root",-40,"No Expression",62
"3","Promotor500","H3-3",0,"control1_root",-20,"No Expression",62
"4","Gene20","H3-3",0,"control1_root",20,"No Expression",62
"5","Gene40","H3-3",0,"control1_root",40,"No Expression",62
"6","Gene60","H3-3",0,"control1_root",60,"No Expression",62
"7","Gene80","H3-3",0,"control1_root",80,"No Expression",62
"8","Gene100","H3-3",0,"control1_root",100,"No Expression",62
"9","Downstream","H3-3",0,"control1_root",120,"No Expression",62
"10","DownstreamIntergenic","H3-3",0,"control1_root",140,"No Expression",62
"11","UpstreamIntergenic","H3K9me2",0,"control1_root",-60,"No Expression",62
"12","Promotor1000","H3K9me2",0,"control1_root",-40,"No Expression",62
"13","Promotor500","H3K9me2",0,"control1_root",-20,"No Expression",62
"14","Gene20","H3K9me2",0,"control1_root",20,"No Expression",62
"15","Gene40","H3K9me2",0,"control1_root",40,"No Expression",62
"16","Gene60","H3K9me2",0,"control1_root",60,"No Expression",62
"17","Gene80","H3K9me2",0,"control1_root",80,"No Expression",62
"18","Gene100","H3K9me2",0,"control1_root",100,"No Expression",62
"19","Downstream","H3K9me2",0,"control1_root",120,"No Expression",62
"20","DownstreamIntergenic","H3K9me2",0,"control1_root",140,"No Expression",62
"21","UpstreamIntergenic","H3K27me3",0.00349843695004068,"control1_root",-60,"No Expression",62
"22","Promotor1000","H3K27me3",0.0610322580645161,"control1_root",-40,"No Expression",62
"23","Promotor500","H3K27me3",0.0455161290322581,"control1_root",-20,"No Expression",62
"24","Gene20","H3K27me3",0.0669801348201038,"control1_root",20,"No Expression",62
"25","Gene40","H3K27me3",0.0433231179383107,"control1_root",40,"No Expression",62
"26","Gene60","H3K27me3",0.0297788924442721,"control1_root",60,"No Expression",62
"27","Gene80","H3K27me3",0.0330184364989331,"control1_root",80,"No Expression",62
"28","Gene100","H3K27me3",0.023568715406373,"control1_root",100,"No Expression",62
"29","Downstream","H3K27me3",0.0092741935483871,"control1_root",120,"No Expression",62
"30","DownstreamIntergenic","H3K27me3",0.0012245229155448,"control1_root",140,"No Expression",62
"31","UpstreamIntergenic","H2A-Z",0,"control1_root",-60,"No Expression",62
"32","Promotor1000","H2A-Z",0,"control1_root",-40,"No Expression",62
"33","Promotor500","H2A-Z",0,"control1_root",-20,"No Expression",62
"34","Gene20","H2A-Z",0,"control1_root",20,"No Expression",62
"35","Gene40","H2A-Z",0,"control1_root",40,"No Expression",62
