"","Gene","Expression","Tissue","ExpressionLevel"
"2","AT1G10920",4.93112195121951,"seedlings","Low Expression"
"9","AT1G12210",3.5739512195122,"seedlings","Low Expression"
"26","AT1G12220",6.35648780487805,"seedlings","Low Expression"
"152","AT1G12280",6.95775609756098,"seedlings","Low Expression"
"15","AT1G12290",4.45380487804878,"seedlings","Low Expression"
"88","AT1G15890",3.31619512195122,"seedlings","Low Expression"
"90","AT1G17600",1.52678048780488,"seedlings","Low Expression"
"65","AT1G17610",2.12287804878049,"seedlings","Low Expression"
"67","AT1G17615",0.130731707317073,"seedlings","No Expression"
"55","AT1G27170",2.84278048780488,"seedlings","Low Expression"
"115","AT1G27180",4.10780487804878,"seedlings","Low Expression"
"95","AT1G31540",14.3750243902439,"seedlings","Low Expression"
"110","AT1G33560",13.261512195122,"seedlings","Low Expression"
"41","AT1G43180",0.41,"seedlings","No Expression"
"146","AT1G50180",3.80746341463415,"seedlings","Low Expression"
"100","AT1G50210",0.0432682926829268,"seedlings","No Expression"
"47","AT1G51480",0.441463414634146,"seedlings","No Expression"
"105","AT1G52660",2.57068292682927,"seedlings","Low Expression"
"4","AT1G53350",6.65492682926829,"seedlings","Low Expression"
"40","AT1G56510",15.5368292682927,"seedlings","Low Expression"
"106","AT1G56520",5.71673170731707,"seedlings","Low Expression"
"142","AT1G56540",2.48414634146341,"seedlings","Low Expression"
"86","AT1G57650",0.113853658536585,"seedlings","No Expression"
"91","AT1G58390",0.55219512195122,"seedlings","No Expression"
"89","AT1G58400",7.10658536585366,"seedlings","Low Expression"
"111","AT1G58410",4.18673170731707,"seedlings","Low Expression"
"38","AT1G58602",35.193512195122,"seedlings","Low Expression"
"113","AT1G58807",0.0233170731707317,"seedlings","No Expression"
"32","AT1G58848",0.465560975609756,"seedlings","No Expression"
"157","AT1G59124",0,"seedlings","No Expression"
"62","AT1G59218",0.0359512195121951,"seedlings","No Expression"
"25","AT1G59620",7.39273170731707,"seedlings","Low Expression"
"117","AT1G59780",2.04390243902439,"seedlings","Low Expression"
"10","AT1G61180",16.5579512195122,"seedlings","Low Expression"
"149","AT1G61190",14.7220487804878,"seedlings","Low Expression"
"99","AT1G61300",14.334487804878,"seedlings","Low Expression"
"74","AT1G61310",8.07873170731707,"seedlings","Low Expression"
"143","AT1G62630",8.73624390243902,"seedlings","Low Expression"
"87","AT1G63350",3.35492682926829,"seedlings","Low Expression"
"28","AT1G63360",13.6801463414634,"seedlings","Low Expression"
"123","AT1G63730",3.83687804878049,"seedlings","Low Expression"
"102","AT1G63740",8.10546341463415,"seedlings","Low Expression"
"85","AT1G63750",7.03117073170732,"seedlings","Low Expression"
"151","AT1G63860",7.41560975609756,"seedlings","Low Expression"
"14","AT1G63870",0.134292682926829,"seedlings","No Expression"
"44","AT1G63880",21.4117073170732,"seedlings","Low Expression"
"107","AT1G64070",0.0857073170731707,"seedlings","No Expression"
"104","AT1G65850",0.690829268292683,"seedlings","No Expression"
"131","AT1G66090",7.07019512195122,"seedlings","Low Expression"
"122","AT1G69550",8.85443902439024,"seedlings","Low Expression"
"17","AT1G72840",6.91609756097561,"seedlings","Low Expression"
"37","AT1G72850",2.41424390243902,"seedlings","Low Expression"
"36","AT1G72852",8.5679512195122,"seedlings","Low Expression"
"58","AT1G72860",0.611317073170732,"seedlings","No Expression"
"76","AT1G72870",2.5569756097561,"seedlings","Low Expression"
"92","AT1G72890",8.96268292682927,"seedlings","Low Expression"
"59","AT1G72900",23.3868780487805,"seedlings","Low Expression"
"39","AT1G72910",7.44180487804878,"seedlings","Low Expression"
"20","AT1G72920",7.50029268292683,"seedlings","Low Expression"
"156","AT1G72930",37.7701463414634,"seedlings","Low Expression"
"136","AT1G72940",14.0445365853659,"seedlings","Low Expression"
"119","AT1G72950",1.70458536585366,"seedlings","Low Expression"
"112","AT2G16870",2.39385365853659,"seedlings","Low Expression"
"139","AT2G17050",0.703560975609756,"seedlings","No Expression"
"84","AT2G17060",1.25951219512195,"seedlings","Low Expression"
"6","AT3G04210",14.1291707317073,"seedlings","Low Expression"
"49","AT3G04220",1.09921951219512,"seedlings","Low Expression"
"101","AT3G07040",7.51365853658537,"seedlings","Low Expression"
"33","AT3G14460",1.6520487804878,"seedlings","Low Expression"
"56","AT3G14470",5.816,"seedlings","Low Expression"
"34","AT3G15700",1.83673170731707,"seedlings","Low Expression"
"134","AT3G25510",1.96551219512195,"seedlings","Low Expression"
"8","AT3G50950",37.3698048780488,"seedlings","Low Expression"
"61","AT3G51560",0.113756097560976,"seedlings","No Expression"
