"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"1","UpstreamIntergenic","H3-3",0.0318666014552437,"control1_seedlings",-60,"No Expression",44
"2","Promotor1000","H3-3",0.12775,"control1_seedlings",-40,"No Expression",44
"3","Promotor500","H3-3",0.115363636363636,"control1_seedlings",-20,"No Expression",44
"4","Gene20","H3-3",0.328477601380563,"control1_seedlings",20,"No Expression",44
"5","Gene40","H3-3",0.481346856979767,"control1_seedlings",40,"No Expression",44
"6","Gene60","H3-3",0.541749786938329,"control1_seedlings",60,"No Expression",44
"7","Gene80","H3-3",0.57211707046459,"control1_seedlings",80,"No Expression",44
"8","Gene100","H3-3",0.527156797899735,"control1_seedlings",100,"No Expression",44
"9","Downstream","H3-3",0.311022727272727,"control1_seedlings",120,"No Expression",44
"10","DownstreamIntergenic","H3-3",0.0956831142003377,"control1_seedlings",140,"No Expression",44
"11","UpstreamIntergenic","H3K9me2",0.031603066969491,"control1_seedlings",-60,"No Expression",44
"12","Promotor1000","H3K9me2",0.0223409090909091,"control1_seedlings",-40,"No Expression",44
"13","Promotor500","H3K9me2",0.00881818181818182,"control1_seedlings",-20,"No Expression",44
"14","Gene20","H3K9me2",0,"control1_seedlings",20,"No Expression",44
"15","Gene40","H3K9me2",0,"control1_seedlings",40,"No Expression",44
"16","Gene60","H3K9me2",0,"control1_seedlings",60,"No Expression",44
"17","Gene80","H3K9me2",0,"control1_seedlings",80,"No Expression",44
"18","Gene100","H3K9me2",0,"control1_seedlings",100,"No Expression",44
"19","Downstream","H3K9me2",0.0168181818181818,"control1_seedlings",120,"No Expression",44
"20","DownstreamIntergenic","H3K9me2",0.00991476925999975,"control1_seedlings",140,"No Expression",44
"21","UpstreamIntergenic","H3K27me3",0.21524798709593,"control1_seedlings",-60,"No Expression",44
"22","Promotor1000","H3K27me3",0.423545454545455,"control1_seedlings",-40,"No Expression",44
"23","Promotor500","H3K27me3",0.431818181818182,"control1_seedlings",-20,"No Expression",44
"24","Gene20","H3K27me3",0.527899867357765,"control1_seedlings",20,"No Expression",44
"25","Gene40","H3K27me3",0.579232665037705,"control1_seedlings",40,"No Expression",44
"26","Gene60","H3K27me3",0.544683118942207,"control1_seedlings",60,"No Expression",44
"27","Gene80","H3K27me3",0.543006673180469,"control1_seedlings",80,"No Expression",44
"28","Gene100","H3K27me3",0.514529789073685,"control1_seedlings",100,"No Expression",44
"29","Downstream","H3K27me3",0.422613636363636,"control1_seedlings",120,"No Expression",44
"30","DownstreamIntergenic","H3K27me3",0.198222136237247,"control1_seedlings",140,"No Expression",44
"31","UpstreamIntergenic","H2A-Z",0.0898627565577361,"control1_seedlings",-60,"No Expression",44
"32","Promotor1000","H2A-Z",0.348863636363636,"control1_seedlings",-40,"No Expression",44
"33","Promotor500","H2A-Z",0.370454545454545,"control1_seedlings",-20,"No Expression",44
"34","Gene20","H2A-Z",0.683155983758018,"control1_seedlings",20,"No Expression",44
"35","Gene40","H2A-Z",0.7617402180125,"control1_seedlings",40,"No Expression",44
"36","Gene60","H2A-Z",0.794315902448023,"control1_seedlings",60,"No Expression",44
"37","Gene80","H2A-Z",0.787716230985212,"control1_seedlings",80,"No Expression",44
"38","Gene100","H2A-Z",0.655884235234616,"control1_seedlings",100,"No Expression",44
"39","Downstream","H2A-Z",0.484204545454545,"control1_seedlings",120,"No Expression",44
"40","DownstreamIntergenic","H2A-Z",0.12267520263359,"control1_seedlings",140,"No Expression",44
"41","UpstreamIntergenic","H2AK121ub",0.0374815601194706,"control1_seedlings",-60,"No Expression",44
"42","Promotor1000","H2AK121ub",0.100340909090909,"control1_seedlings",-40,"No Expression",44
"43","Promotor500","H2AK121ub",0.102,"control1_seedlings",-20,"No Expression",44
"44","Gene20","H2AK121ub",0.304142038853246,"control1_seedlings",20,"No Expression",44
"45","Gene40","H2AK121ub",0.314042449029696,"control1_seedlings",40,"No Expression",44
"46","Gene60","H2AK121ub",0.362710176227946,"control1_seedlings",60,"No Expression",44
"47","Gene80","H2AK121ub",0.347767943546311,"control1_seedlings",80,"No Expression",44
"48","Gene100","H2AK121ub",0.345633598998431,"control1_seedlings",100,"No Expression",44
"49","Downstream","H2AK121ub",0.248863636363636,"control1_seedlings",120,"No Expression",44
"50","DownstreamIntergenic","H2AK121ub",0.106570627017814,"control1_seedlings",140,"No Expression",44
"51","UpstreamIntergenic","H3ac",0,"control1_seedlings",-60,"No Expression",44
"52","Promotor1000","H3ac",0,"control1_seedlings",-40,"No Expression",44
"53","Promotor500","H3ac",0,"control1_seedlings",-20,"No Expression",44
"54","Gene20","H3ac",0,"control1_seedlings",20,"No Expression",44
"55","Gene40","H3ac",0,"control1_seedlings",40,"No Expression",44
"56","Gene60","H3ac",0,"control1_seedlings",60,"No Expression",44
"57","Gene80","H3ac",0,"control1_seedlings",80,"No Expression",44
"58","Gene100","H3ac",0,"control1_seedlings",100,"No Expression",44
"59","Downstream","H3ac",0,"control1_seedlings",120,"No Expression",44
