"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"1","UpstreamIntergenic","H3-3",16.5217391304348,-60,"No Expression","clusteredNLRs_Root"
"2","UpstreamIntergenic","H3K9me2",5.21739130434783,-60,"No Expression","clusteredNLRs_Root"
"3","UpstreamIntergenic","H3K27me3",10.4347826086957,-60,"No Expression","clusteredNLRs_Root"
"4","UpstreamIntergenic","H2A-Z",15.6521739130435,-60,"No Expression","clusteredNLRs_Root"
"5","UpstreamIntergenic","H2AK121ub",10.4347826086957,-60,"No Expression","clusteredNLRs_Root"
"6","UpstreamIntergenic","H3ac",0,-60,"No Expression","clusteredNLRs_Root"
"7","UpstreamIntergenic","H3K4me3",4.34782608695652,-60,"No Expression","clusteredNLRs_Root"
"8","UpstreamIntergenic","H3K36me3",0.869565217391304,-60,"No Expression","clusteredNLRs_Root"
"9","UpstreamIntergenic","H3K27ac",4.34782608695652,-60,"No Expression","clusteredNLRs_Root"
"10","UpstreamIntergenic","H4K5ac",6.95652173913043,-60,"No Expression","clusteredNLRs_Root"
"11","UpstreamIntergenic","H4K8ac",5.21739130434783,-60,"No Expression","clusteredNLRs_Root"
"12","UpstreamIntergenic","H3-1",9.56521739130435,-60,"No Expression","clusteredNLRs_Root"
"13","UpstreamIntergenic","H3K9ac",13.9130434782609,-60,"No Expression","clusteredNLRs_Root"
"14","UpstreamIntergenic","H4K12ac",5.21739130434783,-60,"No Expression","clusteredNLRs_Root"
"15","UpstreamIntergenic","H3K27me1",6.95652173913043,-60,"No Expression","clusteredNLRs_Root"
"16","UpstreamIntergenic","H4K16ac",6.08695652173913,-60,"No Expression","clusteredNLRs_Root"
"17","UpstreamIntergenic","H3K14ac",6.95652173913043,-60,"No Expression","clusteredNLRs_Root"
"18","UpstreamIntergenic","H2A",2.60869565217391,-60,"No Expression","clusteredNLRs_Root"
"19","UpstreamIntergenic","H3",4.34782608695652,-60,"No Expression","clusteredNLRs_Root"
