"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"1","UpstreamIntergenic","H3-3",16,-60,"No Expression","clusteredNLRs_Seedling"
"2","UpstreamIntergenic","H3K9me2",6,-60,"No Expression","clusteredNLRs_Seedling"
"3","UpstreamIntergenic","H3K27me3",12,-60,"No Expression","clusteredNLRs_Seedling"
"4","UpstreamIntergenic","H2A-Z",15,-60,"No Expression","clusteredNLRs_Seedling"
"5","UpstreamIntergenic","H2AK121ub",11,-60,"No Expression","clusteredNLRs_Seedling"
"6","UpstreamIntergenic","H3ac",0,-60,"No Expression","clusteredNLRs_Seedling"
"7","UpstreamIntergenic","H3K4me3",3,-60,"No Expression","clusteredNLRs_Seedling"
"8","UpstreamIntergenic","H3K36me3",1,-60,"No Expression","clusteredNLRs_Seedling"
"9","UpstreamIntergenic","H3K27ac",4,-60,"No Expression","clusteredNLRs_Seedling"
"10","UpstreamIntergenic","H4K5ac",6,-60,"No Expression","clusteredNLRs_Seedling"
"11","UpstreamIntergenic","H4K8ac",5,-60,"No Expression","clusteredNLRs_Seedling"
"12","UpstreamIntergenic","H3-1",11,-60,"No Expression","clusteredNLRs_Seedling"
"13","UpstreamIntergenic","H3K9ac",11,-60,"No Expression","clusteredNLRs_Seedling"
"14","UpstreamIntergenic","H4K12ac",5,-60,"No Expression","clusteredNLRs_Seedling"
"15","UpstreamIntergenic","H3K27me1",8,-60,"No Expression","clusteredNLRs_Seedling"
"16","UpstreamIntergenic","H4K16ac",6,-60,"No Expression","clusteredNLRs_Seedling"
"17","UpstreamIntergenic","H3K14ac",6,-60,"No Expression","clusteredNLRs_Seedling"
"18","UpstreamIntergenic","H2A",3,-60,"No Expression","clusteredNLRs_Seedling"
"19","UpstreamIntergenic","H3",5,-60,"No Expression","clusteredNLRs_Seedling"
"20","UpstreamIntergenic","H2A-X",1,-60,"No Expression","clusteredNLRs_Seedling"
"21","UpstreamIntergenic","H3K18ac",5,-60,"No Expression","clusteredNLRs_Seedling"
"22","Promotor1000","H3-3",44,-40,"No Expression","clusteredNLRs_Seedling"
"23","Promotor1000","H3K9me2",6,-40,"No Expression","clusteredNLRs_Seedling"
"24","Promotor1000","H3K27me3",26,-40,"No Expression","clusteredNLRs_Seedling"
"25","Promotor1000","H2A-Z",67,-40,"No Expression","clusteredNLRs_Seedling"
"26","Promotor1000","H2AK121ub",30,-40,"No Expression","clusteredNLRs_Seedling"
"27","Promotor1000","H3ac",0,-40,"No Expression","clusteredNLRs_Seedling"
"28","Promotor1000","H3K4me3",39,-40,"No Expression","clusteredNLRs_Seedling"
"29","Promotor1000","H3K36me3",27,-40,"No Expression","clusteredNLRs_Seedling"
"30","Promotor1000","H3K27ac",24,-40,"No Expression","clusteredNLRs_Seedling"
"31","Promotor1000","H4K5ac",36,-40,"No Expression","clusteredNLRs_Seedling"
"32","Promotor1000","H4K8ac",35,-40,"No Expression","clusteredNLRs_Seedling"
"33","Promotor1000","H3-1",34,-40,"No Expression","clusteredNLRs_Seedling"
"34","Promotor1000","H3K9ac",43,-40,"No Expression","clusteredNLRs_Seedling"
"35","Promotor1000","H4K12ac",30,-40,"No Expression","clusteredNLRs_Seedling"
"36","Promotor1000","H3K27me1",24,-40,"No Expression","clusteredNLRs_Seedling"
"37","Promotor1000","H4K16ac",30,-40,"No Expression","clusteredNLRs_Seedling"
"38","Promotor1000","H3K14ac",33,-40,"No Expression","clusteredNLRs_Seedling"
"39","Promotor1000","H2A",20,-40,"No Expression","clusteredNLRs_Seedling"
"40","Promotor1000","H3",14,-40,"No Expression","clusteredNLRs_Seedling"
"41","Promotor1000","H2A-X",5,-40,"No Expression","clusteredNLRs_Seedling"
"42","Promotor1000","H3K18ac",14,-40,"No Expression","clusteredNLRs_Seedling"
"43","Promotor500","H3-3",32,-20,"No Expression","clusteredNLRs_Seedling"
"44","Promotor500","H3K9me2",3,-20,"No Expression","clusteredNLRs_Seedling"
"45","Promotor500","H3K27me3",28,-20,"No Expression","clusteredNLRs_Seedling"
"46","Promotor500","H2A-Z",84,-20,"No Expression","clusteredNLRs_Seedling"
"47","Promotor500","H2AK121ub",40,-20,"No Expression","clusteredNLRs_Seedling"
"48","Promotor500","H3ac",0,-20,"No Expression","clusteredNLRs_Seedling"
"49","Promotor500","H3K4me3",63,-20,"No Expression","clusteredNLRs_Seedling"
"50","Promotor500","H3K36me3",33,-20,"No Expression","clusteredNLRs_Seedling"
"51","Promotor500","H3K27ac",23,-20,"No Expression","clusteredNLRs_Seedling"
"52","Promotor500","H4K5ac",53,-20,"No Expression","clusteredNLRs_Seedling"
"53","Promotor500","H4K8ac",49,-20,"No Expression","clusteredNLRs_Seedling"
"54","Promotor500","H3-1",35,-20,"No Expression","clusteredNLRs_Seedling"
"55","Promotor500","H3K9ac",59,-20,"No Expression","clusteredNLRs_Seedling"
