"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"1","UpstreamIntergenic","H3-3",8.19672131147541,-60,"No Expression","clusteredNLRs_Leaf"
"2","UpstreamIntergenic","H3K9me2",6.55737704918033,-60,"No Expression","clusteredNLRs_Leaf"
"3","UpstreamIntergenic","H3K27me3",14.7540983606557,-60,"No Expression","clusteredNLRs_Leaf"
"4","UpstreamIntergenic","H2A-Z",11.4754098360656,-60,"No Expression","clusteredNLRs_Leaf"
"5","UpstreamIntergenic","H2AK121ub",8.19672131147541,-60,"No Expression","clusteredNLRs_Leaf"
"6","UpstreamIntergenic","H3ac",0,-60,"No Expression","clusteredNLRs_Leaf"
"7","UpstreamIntergenic","H3K4me3",0,-60,"No Expression","clusteredNLRs_Leaf"
"8","UpstreamIntergenic","H3K36me3",0,-60,"No Expression","clusteredNLRs_Leaf"
"9","UpstreamIntergenic","H3K27ac",1.63934426229508,-60,"No Expression","clusteredNLRs_Leaf"
"10","UpstreamIntergenic","H4K5ac",1.63934426229508,-60,"No Expression","clusteredNLRs_Leaf"
"11","UpstreamIntergenic","H4K8ac",3.27868852459016,-60,"No Expression","clusteredNLRs_Leaf"
"12","UpstreamIntergenic","H3-1",11.4754098360656,-60,"No Expression","clusteredNLRs_Leaf"
"13","UpstreamIntergenic","H3K9ac",6.55737704918033,-60,"No Expression","clusteredNLRs_Leaf"
"14","UpstreamIntergenic","H4K12ac",3.27868852459016,-60,"No Expression","clusteredNLRs_Leaf"
"15","UpstreamIntergenic","H3K27me1",6.55737704918033,-60,"No Expression","clusteredNLRs_Leaf"
"16","UpstreamIntergenic","H4K16ac",3.27868852459016,-60,"No Expression","clusteredNLRs_Leaf"
"17","UpstreamIntergenic","H3K14ac",3.27868852459016,-60,"No Expression","clusteredNLRs_Leaf"
"18","UpstreamIntergenic","H2A",0,-60,"No Expression","clusteredNLRs_Leaf"
"19","UpstreamIntergenic","H3",3.27868852459016,-60,"No Expression","clusteredNLRs_Leaf"
"20","UpstreamIntergenic","H2A-X",0,-60,"No Expression","clusteredNLRs_Leaf"
"21","UpstreamIntergenic","H3K18ac",6.55737704918033,-60,"No Expression","clusteredNLRs_Leaf"
"22","Promotor1000","H3-3",45.9016393442623,-40,"No Expression","clusteredNLRs_Leaf"
"23","Promotor1000","H3K9me2",8.19672131147541,-40,"No Expression","clusteredNLRs_Leaf"
"24","Promotor1000","H3K27me3",39.344262295082,-40,"No Expression","clusteredNLRs_Leaf"
"25","Promotor1000","H2A-Z",70.4918032786885,-40,"No Expression","clusteredNLRs_Leaf"
"26","Promotor1000","H2AK121ub",26.2295081967213,-40,"No Expression","clusteredNLRs_Leaf"
"27","Promotor1000","H3ac",0,-40,"No Expression","clusteredNLRs_Leaf"
"28","Promotor1000","H3K4me3",39.344262295082,-40,"No Expression","clusteredNLRs_Leaf"
"29","Promotor1000","H3K36me3",29.5081967213115,-40,"No Expression","clusteredNLRs_Leaf"
"30","Promotor1000","H3K27ac",19.672131147541,-40,"No Expression","clusteredNLRs_Leaf"
"31","Promotor1000","H4K5ac",34.4262295081967,-40,"No Expression","clusteredNLRs_Leaf"
"32","Promotor1000","H4K8ac",31.1475409836066,-40,"No Expression","clusteredNLRs_Leaf"
