"","Region","Modification","Frequency","n","axisGroup","Expression","SampleGenes"
"1","UpstreamIntergenic","H3-3",15.625,15,-60,"No Expression","clusteredNLRs_Leaf"
"2","UpstreamIntergenic","H3K9me2",6.25,6,-60,"No Expression","clusteredNLRs_Leaf"
"3","UpstreamIntergenic","H3K27me3",12.5,12,-60,"No Expression","clusteredNLRs_Leaf"
"4","UpstreamIntergenic","H2A-Z",13.5416666666667,13,-60,"No Expression","clusteredNLRs_Leaf"
"5","UpstreamIntergenic","H2AK121ub",11.4583333333333,11,-60,"No Expression","clusteredNLRs_Leaf"
"6","UpstreamIntergenic","H3ac",0,0,-60,"No Expression","clusteredNLRs_Leaf"
"7","UpstreamIntergenic","H3K4me3",2.08333333333333,2,-60,"No Expression","clusteredNLRs_Leaf"
"8","UpstreamIntergenic","H3K36me3",1.04166666666667,1,-60,"No Expression","clusteredNLRs_Leaf"
"9","UpstreamIntergenic","H3K27ac",4.16666666666667,4,-60,"No Expression","clusteredNLRs_Leaf"
"10","UpstreamIntergenic","H4K5ac",5.20833333333333,5,-60,"No Expression","clusteredNLRs_Leaf"
"11","UpstreamIntergenic","H4K8ac",5.20833333333333,5,-60,"No Expression","clusteredNLRs_Leaf"
"12","UpstreamIntergenic","H3-1",10.4166666666667,10,-60,"No Expression","clusteredNLRs_Leaf"
"13","UpstreamIntergenic","H3K9ac",10.4166666666667,10,-60,"No Expression","clusteredNLRs_Leaf"
"14","UpstreamIntergenic","H4K12ac",5.20833333333333,5,-60,"No Expression","clusteredNLRs_Leaf"
"15","UpstreamIntergenic","H3K27me1",8.33333333333333,8,-60,"No Expression","clusteredNLRs_Leaf"
"16","UpstreamIntergenic","H4K16ac",5.20833333333333,5,-60,"No Expression","clusteredNLRs_Leaf"
"17","UpstreamIntergenic","H3K14ac",5.20833333333333,5,-60,"No Expression","clusteredNLRs_Leaf"
"18","UpstreamIntergenic","H2A",2.08333333333333,2,-60,"No Expression","clusteredNLRs_Leaf"
"19","UpstreamIntergenic","H3",4.16666666666667,4,-60,"No Expression","clusteredNLRs_Leaf"
"20","UpstreamIntergenic","H2A-X",1.04166666666667,1,-60,"No Expression","clusteredNLRs_Leaf"
"21","UpstreamIntergenic","H3K18ac",5.20833333333333,5,-60,"No Expression","clusteredNLRs_Leaf"
"22","Promotor1000","H3-3",44.7916666666667,43,-40,"No Expression","clusteredNLRs_Leaf"
"23","Promotor1000","H3K9me2",6.25,6,-40,"No Expression","clusteredNLRs_Leaf"
"24","Promotor1000","H3K27me3",27.0833333333333,26,-40,"No Expression","clusteredNLRs_Leaf"
"25","Promotor1000","H2A-Z",66.6666666666667,64,-40,"No Expression","clusteredNLRs_Leaf"
"26","Promotor1000","H2AK121ub",30.2083333333333,29,-40,"No Expression","clusteredNLRs_Leaf"
"27","Promotor1000","H3ac",0,0,-40,"No Expression","clusteredNLRs_Leaf"
"28","Promotor1000","H3K4me3",38.5416666666667,37,-40,"No Expression","clusteredNLRs_Leaf"
"29","Promotor1000","H3K36me3",28.125,27,-40,"No Expression","clusteredNLRs_Leaf"
"30","Promotor1000","H3K27ac",25,24,-40,"No Expression","clusteredNLRs_Leaf"
"31","Promotor1000","H4K5ac",36.4583333333333,35,-40,"No Expression","clusteredNLRs_Leaf"
"32","Promotor1000","H4K8ac",35.4166666666667,34,-40,"No Expression","clusteredNLRs_Leaf"
"33","Promotor1000","H3-1",34.375,33,-40,"No Expression","clusteredNLRs_Leaf"
"34","Promotor1000","H3K9ac",42.7083333333333,41,-40,"No Expression","clusteredNLRs_Leaf"
"35","Promotor1000","H4K12ac",30.2083333333333,29,-40,"No Expression","clusteredNLRs_Leaf"
"36","Promotor1000","H3K27me1",25,24,-40,"No Expression","clusteredNLRs_Leaf"
"37","Promotor1000","H4K16ac",29.1666666666667,28,-40,"No Expression","clusteredNLRs_Leaf"
"38","Promotor1000","H3K14ac",32.2916666666667,31,-40,"No Expression","clusteredNLRs_Leaf"
"39","Promotor1000","H2A",18.75,18,-40,"No Expression","clusteredNLRs_Leaf"
"40","Promotor1000","H3",13.5416666666667,13,-40,"No Expression","clusteredNLRs_Leaf"
"41","Promotor1000","H2A-X",5.20833333333333,5,-40,"No Expression","clusteredNLRs_Leaf"
"42","Promotor1000","H3K18ac",14.5833333333333,14,-40,"No Expression","clusteredNLRs_Leaf"
"43","Promotor500","H3-3",33.3333333333333,32,-20,"No Expression","clusteredNLRs_Leaf"
"44","Promotor500","H3K9me2",3.125,3,-20,"No Expression","clusteredNLRs_Leaf"
"45","Promotor500","H3K27me3",29.1666666666667,28,-20,"No Expression","clusteredNLRs_Leaf"
"46","Promotor500","H2A-Z",84.375,81,-20,"No Expression","clusteredNLRs_Leaf"
"47","Promotor500","H2AK121ub",40.625,39,-20,"No Expression","clusteredNLRs_Leaf"
"48","Promotor500","H3ac",0,0,-20,"No Expression","clusteredNLRs_Leaf"
"49","Promotor500","H3K4me3",64.5833333333333,62,-20,"No Expression","clusteredNLRs_Leaf"
"50","Promotor500","H3K36me3",33.3333333333333,32,-20,"No Expression","clusteredNLRs_Leaf"
"51","Promotor500","H3K27ac",23.9583333333333,23,-20,"No Expression","clusteredNLRs_Leaf"
"52","Promotor500","H4K5ac",54.1666666666667,52,-20,"No Expression","clusteredNLRs_Leaf"
"53","Promotor500","H4K8ac",50,48,-20,"No Expression","clusteredNLRs_Leaf"
"54","Promotor500","H3-1",36.4583333333333,35,-20,"No Expression","clusteredNLRs_Leaf"
"55","Promotor500","H3K9ac",59.375,57,-20,"No Expression","clusteredNLRs_Leaf"
"56","Promotor500","H4K12ac",45.8333333333333,44,-20,"No Expression","clusteredNLRs_Leaf"
"57","Promotor500","H3K27me1",14.5833333333333,14,-20,"No Expression","clusteredNLRs_Leaf"
"58","Promotor500","H4K16ac",33.3333333333333,32,-20,"No Expression","clusteredNLRs_Leaf"
"59","Promotor500","H3K14ac",35.4166666666667,34,-20,"No Expression","clusteredNLRs_Leaf"
"60","Promotor500","H2A",6.25,6,-20,"No Expression","clusteredNLRs_Leaf"
"61","Promotor500","H3",10.4166666666667,10,-20,"No Expression","clusteredNLRs_Leaf"
"62","Promotor500","H2A-X",4.16666666666667,4,-20,"No Expression","clusteredNLRs_Leaf"
"63","Promotor500","H3K18ac",10.4166666666667,10,-20,"No Expression","clusteredNLRs_Leaf"
"64","Gene20","H3-3",56.25,54,20,"No Expression","clusteredNLRs_Leaf"
"65","Gene20","H3K9me2",2.08333333333333,2,20,"No Expression","clusteredNLRs_Leaf"
"66","Gene20","H3K27me3",33.3333333333333,32,20,"No Expression","clusteredNLRs_Leaf"
"67","Gene20","H2A-Z",83.3333333333333,80,20,"No Expression","clusteredNLRs_Leaf"
"68","Gene20","H2AK121ub",44.7916666666667,43,20,"No Expression","clusteredNLRs_Leaf"
"69","Gene20","H3ac",0,0,20,"No Expression","clusteredNLRs_Leaf"
"70","Gene20","H3K4me3",77.0833333333333,74,20,"No Expression","clusteredNLRs_Leaf"
"71","Gene20","H3K36me3",53.125,51,20,"No Expression","clusteredNLRs_Leaf"
"72","Gene20","H3K27ac",36.4583333333333,35,20,"No Expression","clusteredNLRs_Leaf"
"73","Gene20","H4K5ac",56.25,54,20,"No Expression","clusteredNLRs_Leaf"
"74","Gene20","H4K8ac",59.375,57,20,"No Expression","clusteredNLRs_Leaf"
"75","Gene20","H3-1",65.625,63,20,"No Expression","clusteredNLRs_Leaf"
"76","Gene20","H3K9ac",75,72,20,"No Expression","clusteredNLRs_Leaf"
"77","Gene20","H4K12ac",52.0833333333333,50,20,"No Expression","clusteredNLRs_Leaf"
"78","Gene20","H3K27me1",48.9583333333333,47,20,"No Expression","clusteredNLRs_Leaf"
"79","Gene20","H4K16ac",52.0833333333333,50,20,"No Expression","clusteredNLRs_Leaf"
