"","Region","Modification","axisGroup","ModificationDifference","Cluster"
"1","UpstreamIntergenic","H3-3",-60,0,"cluster 1"
"2","UpstreamIntergenic","H3-3",-60,0,"cluster 1"
"3","UpstreamIntergenic","H3-3",-60,0,"cluster 1"
"4","UpstreamIntergenic","H3-3",-60,0,"cluster 1"
"5","UpstreamIntergenic","H3-3",-60,0,"cluster 1"
"6","UpstreamIntergenic","H3-3",-60,0,"cluster 1"
"7","UpstreamIntergenic","H3-3",-60,0,"cluster 2"
"8","UpstreamIntergenic","H3-3",-60,0,"cluster 2"
"9","UpstreamIntergenic","H3-3",-60,0,"cluster 2"
"10","UpstreamIntergenic","H3-3",-60,1,"cluster 3"
"11","UpstreamIntergenic","H3-3",-60,0,"cluster 4"
"12","UpstreamIntergenic","H3-3",-60,0,"cluster 4"
"13","UpstreamIntergenic","H3-3",-60,0,"cluster 4"
"14","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"15","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"16","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"17","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"18","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"19","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"20","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"21","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"22","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"23","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"24","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"25","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"26","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"27","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"28","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"29","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"30","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"31","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"32","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"33","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"34","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"35","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"36","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"37","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"38","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"39","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"40","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"41","UpstreamIntergenic","H3-3",-60,0,"cluster 5"
"42","UpstreamIntergenic","H3-3",-60,0.296596434359805,"cluster 6"
"43","UpstreamIntergenic","H3-3",-60,0,"cluster 6"
"44","UpstreamIntergenic","H3-3",-60,0,"cluster 6"
"45","UpstreamIntergenic","H3-3",-60,0.296596434359805,"cluster 6"
"46","UpstreamIntergenic","H3-3",-60,0.296596434359805,"cluster 6"
"47","UpstreamIntergenic","H3-3",-60,0,"cluster 6"
"48","UpstreamIntergenic","H3-3",-60,0.063049853372434,"cluster 7"
"49","UpstreamIntergenic","H3-3",-60,0.324251898168825,"cluster 8"
"50","UpstreamIntergenic","H3-3",-60,0.0843662296172073,"cluster 8"
"51","UpstreamIntergenic","H3-3",-60,0.324251898168825,"cluster 8"
"52","UpstreamIntergenic","H3-3",-60,0.324251898168825,"cluster 8"
"53","UpstreamIntergenic","H3-3",-60,0.324251898168825,"cluster 8"
"54","UpstreamIntergenic","H3-3",-60,0.324251898168825,"cluster 8"
"55","UpstreamIntergenic","H3-3",-60,0.408618127786033,"cluster 8"
"56","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"57","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"58","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"59","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"60","UpstreamIntergenic","H3-3",-60,0.408618127786033,"cluster 8"
"61","UpstreamIntergenic","H3-3",-60,0.408618127786033,"cluster 8"
"62","UpstreamIntergenic","H3-3",-60,0.408618127786033,"cluster 8"
"63","UpstreamIntergenic","H3-3",-60,0.408618127786033,"cluster 8"
"64","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"65","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"66","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"67","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"68","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"69","UpstreamIntergenic","H3-3",-60,0,"cluster 8"
"70","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"71","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"72","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"73","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"74","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"75","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"76","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"77","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"78","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"79","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"80","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"81","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"82","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"83","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"84","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"85","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"86","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"87","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"88","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"89","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"90","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"91","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"92","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"93","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"94","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"95","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"96","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"97","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"98","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"99","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"100","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"101","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"102","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"103","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"104","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"105","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"106","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"107","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"108","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"109","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"110","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"111","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"112","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"113","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"114","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"115","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"116","UpstreamIntergenic","H3-3",-60,0.832686980609418,"cluster 9"
"117","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"118","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"119","UpstreamIntergenic","H3-3",-60,0.0162534141758519,"cluster 9"
"120","UpstreamIntergenic","H3-3",-60,0.167313019390582,"cluster 9"
"121","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"122","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"123","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"124","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"125","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"126","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"127","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"128","UpstreamIntergenic","H3-3",-60,0.816433566433566,"cluster 9"
"129","UpstreamIntergenic","H3-3",-60,1,"cluster 9"
"130","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"131","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"132","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"133","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"134","UpstreamIntergenic","H3-3",-60,0,"cluster 9"
"135","UpstreamIntergenic","H3-3",-60,0.183566433566434,"cluster 9"
"136","UpstreamIntergenic","H3-3",-60,0,"cluster 10"
"137","UpstreamIntergenic","H3-3",-60,0,"cluster 11"
"138","UpstreamIntergenic","H3-3",-60,0,"cluster 12"
