"","Gene","seqnames","start","end","width","strand","ranges"
"1","AT1G01010","1",3631,5899,2269,"+","3631-5899"
"2","AT1G01020","1",5928,8737,2810,"-","5928-8737"
"4","AT1G01030","1",11649,13714,2066,"-","11649-13714"
"5","AT1G01040","1",23146,31227,8082,"+","23146-31227"
"7","AT1G01046","1",28500,28706,207,"+","28500-28706"
"8","AT1G01050","1",31170,33153,1984,"-","31170-33153"
"12","AT1G01060","1",33666,37840,4175,"-","33666-37840"
"15","AT1G01070","1",38752,40944,2193,"-","38752-40944"
"16","AT1G01073","1",44677,44787,111,"+","44677-44787"
"17","AT1G01080","1",45296,47019,1724,"-","45296-47019"
"19","AT1G01090","1",47485,49286,1802,"-","47485-49286"
"21","AT1G01100","1",50090,51108,1019,"-","50090-51108"
"25","AT1G01110","1",52869,54685,1817,"+","52869-54685"
"26","AT1G01115","1",56624,56740,117,"+","56624-56740"
"27","AT1G01120","1",57269,59167,1899,"-","57269-59167"
"28","AT1G01130","1",61905,63811,1907,"-","61905-63811"
"29","AT1G01140","1",64166,67625,3460,"-","64166-67625"
"32","AT1G01150","1",70115,72138,2024,"-","70115-72138"
"33","AT1G01160","1",72339,74096,1758,"+","72339-74096"
"36","AT1G01170","1",73931,74737,807,"-","73931-74737"
"37","AT1G01180","1",75583,76758,1176,"+","75583-76758"
"38","AT1G01183","1",78932,79032,101,"-","78932-79032"
"39","AT1G01190","1",83045,84864,1820,"-","83045-84864"
"40","AT1G01200","1",86515,88213,1699,"-","86515-88213"
"41","AT1G01210","1",88898,89745,848,"+","88898-89745"
"42","AT1G01220","1",91376,95651,4276,"+","91376-95651"
"43","AT1G01225","1",95987,97407,1421,"+","95987-97407"
"44","AT1G01230","1",97456,99240,1785,"+","97456-99240"
"46","AT1G01240","1",99922,101834,1913,"+","99922-101834"
"48","AT1G01250","1",104491,105330,840,"-","104491-105330"
"50","AT1G01260","1",109032,111609,2578,"+","109032-111609"
"52","AT1G01270","1",111890,111961,72,"-","111890-111961"
"53","AT1G01280","1",112263,113947,1685,"+","112263-113947"
"54","AT1G01290","1",114286,115549,1264,"+","114286-115549"
"56","AT1G01300","1",116943,118764,1822,"+","116943-118764"
"57","AT1G01305","1",119397,119997,601,"+","119397-119997"
"58","AT1G01310","1",120154,121130,977,"+","120154-121130"
"60","AT1G01320","1",121124,130570,9447,"-","121124-130570"
"61","AT1G01340","1",132328,135322,2995,"-","132328-135322"
"63","AT1G01350","1",136124,138162,2039,"+","136124-138162"
"64","AT1G01355","1",138513,139568,1056,"+","138513-139568"
"65","AT1G01360","1",141971,143183,1213,"+","141971-143183"
"66","AT1G01370","1",143564,145650,2087,"+","143564-145650"
"68","AT1G01380","1",147153,147942,790,"+","147153-147942"
