"","Gene","seqnames","start","end","width","strand","ranges"
"4541","AT1G31983","1",11501674,11503237,1564,"-","11501674-11503237"
"4543","AT1G31993","1",11503576,11507662,4087,"+","11503576-11507662"
"4544","AT1G32000","1",11508285,11508909,625,"-","11508285-11508909"
"4545","AT1G32010","1",11509341,11512040,2700,"-","11509341-11512040"
"4546","AT1G32020","1",11512552,11513067,516,"-","11512552-11513067"
"4547","AT1G32030","1",11514594,11515595,1002,"+","11514594-11515595"
"4548","AT1G32040","1",11518418,11520070,1653,"+","11518418-11520070"
"4549","AT1G32045","1",11520689,11520876,188,"-","11520689-11520876"
"4550","AT1G32049","1",11527728,11528207,480,"+","11527728-11528207"
"4551","AT1G32050","1",11528445,11531281,2837,"+","11528445-11531281"
"4552","AT1G32060","1",11532533,11534639,2107,"+","11532533-11534639"
"4555","AT1G32070","1",11534724,11536305,1582,"-","11534724-11536305"
"4556","AT1G32080","1",11537342,11539800,2459,"-","11537342-11539800"
"4557","AT1G32090","1",11540025,11544131,4107,"-","11540025-11544131"
"4558","AT1G32100","1",11546338,11547994,1657,"-","11546338-11547994"
"4559","AT1G32110","1",11552177,11552310,134,"-","11552177-11552310"
"4560","AT1G32120","1",11552926,11558777,5852,"+","11552926-11558777"
"4562","AT1G32130","1",11558881,11561865,2985,"-","11558881-11561865"
"4563","AT1G32140","1",11562742,11564833,2092,"-","11562742-11564833"
"4564","AT1G32150","1",11565518,11568531,3014,"+","11565518-11568531"
"4565","AT1G32160","1",11568665,11570387,1723,"+","11568665-11570387"
"4566","AT1G32170","1",11575320,11577927,2608,"+","11575320-11577927"
"4567","AT1G32172","1",11578506,11580547,2042,"+","11578506-11580547"
"4568","AT1G32180","1",11586516,11589651,3136,"-","11586516-11589651"
"4569","AT1G32190","1",11592955,11595982,3028,"-","11592955-11595982"
"4571","AT1G32200","1",11601781,11605060,3280,"-","11601781-11605060"
"4573","AT1G32210","1",11605857,11607768,1912,"-","11605857-11607768"
"4574","AT1G32220","1",11607854,11609733,1880,"+","11607854-11609733"
"4575","AT1G32225","1",11610114,11610625,512,"+","11610114-11610625"
"4576","AT1G32230","1",11612118,11616218,4101,"+","11612118-11616218"
"4579","AT1G32240","1",11625700,11630626,4927,"-","11625700-11630626"
"4580","AT1G32250","1",11639843,11640343,501,"+","11639843-11640343"
"4581","AT1G32260","1",11640581,11641871,1291,"-","11640581-11641871"
"4582","AT1G32270","1",11642593,11644962,2370,"+","11642593-11644962"
"4583","AT1G32280","1",11646220,11646816,597,"+","11646220-11646816"
"4584","AT1G32290","1",11650222,11650567,346,"-","11650222-11650567"
"4585","AT1G32300","1",11651342,11653365,2024,"+","11651342-11653365"
"4586","AT1G32310","1",11653564,11654794,1231,"+","11653564-11654794"
"4587","AT1G32320","1",11655156,11656073,918,"+","11655156-11656073"
"4588","AT1G32330","1",11656986,11660376,3391,"-","11656986-11660376"
"4589","AT1G32337","1",11661815,11662122,308,"+","11661815-11662122"
"4590","AT1G32340","1",11663070,11666058,2989,"-","11663070-11666058"
"4591","AT1G32350","1",11666977,11668690,1714,"-","11666977-11668690"
"4592","AT1G32360","1",11672931,11675339,2409,"+","11672931-11675339"
"4593","AT1G32361","1",11675531,11676748,1218,"+","11675531-11676748"
"4595","AT1G32370","1",11676962,11678007,1046,"+","11676962-11678007"
"4598","AT1G32375","1",11679230,11680679,1450,"+","11679230-11680679"
"4599","AT1G32380","1",11681752,11684478,2727,"+","11681752-11684478"
"4600","AT1G32385","1",11685060,11685144,85,"+","11685060-11685144"
"4601","AT1G32390","1",11688129,11688707,579,"+","11688129-11688707"
"4603","AT1G32400","1",11689106,11691531,2426,"-","11689106-11691531"
"4607","AT1G32410","1",11693832,11695566,1735,"+","11693832-11695566"
"4610","AT1G32415","1",11695611,11697896,2286,"+","11695611-11697896"
"4611","AT1G32420","1",11701995,11702903,909,"+","11701995-11702903"
"4612","AT1G32430","1",11704932,11706325,1394,"-","11704932-11706325"
"4613","AT1G32440","1",11712162,11715112,2951,"+","11712162-11715112"
"4614","AT1G32450","1",11715150,11719970,4821,"-","11715150-11719970"
"4615","AT1G32460","1",11738118,11739326,1209,"+","11738118-11739326"
"4616","AT1G32470","1",11739304,11740361,1058,"-","11739304-11740361"
"4617","AT1G32480","1",11741083,11741990,908,"+","11741083-11741990"
"4618","AT1G32490","1",11742054,11749775,7722,"-","11742054-11749775"
