TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:504952815	AT5G39185	AT5G39185.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.8e-17 P-value blast match to GB:BAA78424 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)gi|4996363|dbj|BAA78424.1| polyprotein (AtRE2) (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 	true
Gene:1006228044	AT2G15145	AT2G15145.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to P0458A05.18, blastp match of 30%25 identity and 2.6e-10 P-value to GP|11875196|dbj|BAB19409.1||AP002870 P0458A05.18 {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:1006228388	AT2G10614	AT2G10614.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228901	AT4G08135	AT4G08135.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.2e-10 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229336	AT5G40605	AT5G40605.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 1.7e-45 P-value blast match to GB:NP_038603 L1 repeat, Tf subfamily, member 23 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2085027	AT3G42730	AT3G42730.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT1G27780.1);(source:TAIR10)		 	false
Gene:2099763	AT3G31320	AT3G31320.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G40133.1);(source:TAIR10)		 collective leaf structure, flower, flowering stage, plant embryo, plant embryo bilateral stage	false
Gene:3440388	AT5G32600	AT5G32600.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G60930.1);(source:TAIR10)		 	false
Gene:2136581	AT4G04140	AT4G04140.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.3e-78 P-value blast match to Q9ZQM3 /24-192 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2137300	AT4G04230	AT4G04230.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.3e-95 P-value blast match to T27D20 reverse transcriptase (from Dan Voytas http://www.public.iastate.edu/~voytas) (Gypsy_Ty3-family);(source:TAIR10)		 carpel, cauline leaf, flowering stage, petal differentiation and expansion stage, root, stem	false
